ID	X	Y	cluster	func	noise	original_trajectory,,
174953	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	107.028428212,163.33968955,193.424138515,195.752557558,203.203120962,221.74539171,227.395256707,233.07545275,239.019477181,239.483550603,236.474340067,243.851029791,247.84510495,246.174926973,245.755533161,236.285329492,237.243008022,253.149479024,247.600454831,252.975393942	0	hyperbolic	0.2	132000,,
175342	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	46.3619159294,85.9634520054,119.795381877,128.679383218,149.968001422,143.827350088,155.493212392,164.359297182,169.257342321,171.471498887,167.91611794,176.359554541,164.654226655,167.315393646,173.402157124,170.191643044,182.304750485,169.296488141,170.235426654,174.864850094	0	hyperbolic	0.2	132000,,
174618	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	115.246262556,152.997654507,183.480815345,205.203945906,202.317203652,216.964358243,223.54178327,217.540529801,219.376294072,227.629177674,230.203268783,232.427141768,229.563030314,233.607582118,243.222125065,238.614603378,244.397416556,240.93098052,240.055755579,237.637343294	0	hyperbolic	0.2	132000,,
175331	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	134.321215771,178.82259216,203.564579332,221.149538201,239.928342269,241.593228658,245.308546439,242.552874883,258.936879863,253.276168885,251.761139437,264.949619223,255.29464011,256.198000394,257.53916626,260.133056524,273.864801279,261.060936821,271.353933696,272.066585626	0	hyperbolic	0.2	132000,,
174887	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-133.090046098,-77.6180378365,-48.7458852122,-48.4413592844,-24.8981011386,-24.7778169666,-18.1855762958,-8.33796465562,-14.7029586961,-11.3967877777,-11.0156532616,3.751401912,1.58999517916,7.68777758841,8.1714386621,-5.61388090072,1.46748367557,-3.39988845399,-2.3880622988,10.7694718115	0	hyperbolic	0.2	132000,,
173644	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-18.5340067228,44.2918260796,70.8384911639,73.0731744473,93.026923864,95.8254579091,106.85848182,100.678137386,114.995327237,105.571835702,110.857225807,110.963660662,115.779136521,117.235866195,126.805305316,127.201472785,118.862491326,130.599355854,128.425379726,121.080621674	0	hyperbolic	0.2	132000,,
173496	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	38.4912659885,87.5964797987,107.256223328,116.538870954,136.401626439,141.059904034,147.793361496,146.336377988,150.87363968,162.068150606,156.65236469,161.248678306,164.667392445,161.164671015,166.202192357,156.143565272,157.325382864,174.18024098,159.620584916,175.356560808	0	hyperbolic	0.2	132000,,
174097	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-106.923218912,-57.996594365,-27.7838455986,-15.4352293832,-4.5124497876,-5.47501688699,2.57572581349,12.8688820282,7.7526952706,21.1030626412,19.4209936552,24.4804931571,20.8090008998,13.6228894947,24.9463420687,26.1071034145,23.4652595383,30.9358776507,24.3227518376,23.3647411536	0	hyperbolic	0.2	132000,,
172608	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-25.4150465167,26.0342750276,46.254089178,68.5700818548,66.845607345,77.7912797483,77.1406037453,82.7974043848,87.0272908807,87.7060959677,98.5731036424,105.789812818,94.5429712676,104.568162233,109.377654177,107.964136291,100.36055089,109.196439795,98.8506097465,100.190288304	0	hyperbolic	0.2	132000,,
173508	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	5.85931249717,53.181214308,76.418533074,93.9440553951,93.2100993385,106.963763704,105.533240099,113.717222164,120.332335234,124.536492798,129.253105415,124.473302773,129.57444484,122.481274866,135.224824223,132.254765561,128.120657711,135.915370533,140.757525839,127.963283347	0	hyperbolic	0.2	132000,,
