ID	X	Y	cluster	func	noise	original_trajectory,,
350409	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.880028303,195.654523572,197.847044331,191.659200436,198.820704414,194.024934643,194.73968613,197.059291573,200.06105786,198.708485262,201.539762413,200.251749218,193.467971509,202.51357551,198.223846608,202.775774656,203.384762877,200.952719726,205.414806161,208.183835277	1	tan	0.2	308000,,
351022	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.607129929,199.474293383,205.899194853,202.61547435,207.482492493,199.712918396,201.91151532,204.831511919,201.247064188,208.896753239,205.033351833,205.621532502,208.853888833,208.38536946,208.106608678,204.16246612,204.101161628,209.789112786,212.49783123,212.142350946	1	tan	0.2	308000,,
348707	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	171.101877653,176.921922541,173.748453025,182.932422207,178.49235866,181.508689638,176.231130584,184.035060054,181.982961255,179.186842251,179.909134038,176.650449519,185.763244487,185.26839218,177.947097738,178.435601446,180.473734301,183.103316547,180.566047452,191.011333636	1	tan	0.2	308000,,
348553	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.83037497,189.961775896,188.086599385,196.511194535,198.427778572,194.847610441,196.712828154,194.222681737,191.122599934,198.767405691,196.535411738,195.773704679,193.72263581,192.029565502,199.569927769,201.059182334,192.935486175,197.343279953,199.438865703,197.386735713	1	tan	0.2	308000,,
351586	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.698000564,183.151997077,180.893193824,181.088023919,183.262755866,179.525520082,179.558534491,187.549723312,181.662905637,186.833047604,185.967439298,187.107926341,186.963297192,180.962223869,183.924315485,187.828965445,184.012742964,184.970170104,192.512092171,194.686139641	1	tan	0.2	308000,,
349010	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.385738553,188.489421175,191.801834545,191.313912767,189.307417664,189.01022098,190.949553358,188.999550786,186.060038502,189.853311061,189.873134236,190.168126404,192.372016917,192.511415867,187.134235262,186.770577302,187.891701341,194.101900024,190.412727683,198.649511813	1	tan	0.2	308000,,
349053	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	185.417216416,192.630215041,189.033995928,190.000673602,193.14193352,190.825324305,191.093672773,195.517611289,198.297897326,198.178273688,195.38508988,193.595478968,194.364978812,192.108736088,196.645118749,191.424625704,200.451769661,202.19898561,201.439373211,198.746385484	1	tan	0.2	308000,,
351204	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.2717783,190.947552328,196.102724668,192.135846666,200.793664598,199.200376535,191.815731432,197.722867127,196.540575864,195.129038816,201.60281172,193.616669379,201.349449726,196.359986937,195.751654397,203.025910855,200.691196865,199.078710748,202.209928163,206.738941932	1	tan	0.2	308000,,
351854	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.763613838,190.271294953,194.590472989,193.475170401,195.415453669,198.438544782,201.51957663,197.000345454,200.576057398,199.675019566,197.929457565,197.098156579,199.749972099,199.825598468,201.82634499,198.843493512,200.056748408,196.835812997,201.882037411,207.279467622	1	tan	0.2	308000,,
349062	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.372849979,199.951131392,193.06319927,201.906319812,195.850715819,194.507687276,202.165083959,194.943668565,203.151343243,201.59389288,196.66597832,196.486920088,202.425542146,204.563567,201.850580638,202.84093582,200.930099244,205.778531468,203.517604799,209.073779053	1	tan	0.2	308000,,
349433	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.12991514,208.435757309,208.589808859,206.467384069,204.058616949,204.200356751,206.686695513,209.073960654,205.926674434,205.503756221,205.8930971,213.783799933,210.026271432,205.370535723,205.641520736,206.093801801,214.950634758,212.902072673,209.135846208,220.418464206	1	tan	0.2	308000,,
350371	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	197.844077975,209.391798858,206.524408785,205.603020179,210.421490991,203.913778445,211.528812412,213.512130165,212.76821879,209.280967969,211.638784951,207.361396753,210.472449678,213.084844912,207.621801311,211.450349691,214.540458976,212.01158602,207.560659901,215.538969274	1	tan	0.2	308000,,
348059	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.74980079,192.974855781,195.321611263,195.835292862,195.681335798,201.586795157,195.19012617,193.109631571,194.275131191,200.228999747,199.896947849,198.666907754,198.326164199,196.834728801,197.182490639,200.896338887,199.37017302,195.45419595,204.259948243,205.579609198	1	tan	0.2	308000,,
348359	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.316724522,189.485850869,190.560304697,195.025741889,186.400248005,192.615259221,187.798239783,193.857353516,191.258571812,190.980363076,196.685661998,193.610079943,195.198263463,195.510999765,190.811716043,193.643904763,189.214113564,199.226044717,192.856749803,201.213314315	1	tan	0.2	308000,,
349215	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.48558387,201.353155878,196.275856131,200.432449555,199.274368627,203.28052795,197.61714326,203.441735326,204.515297314,199.613366036,205.075329607,198.367988366,196.031071293,197.655367654,196.487771434,196.728188439,202.965373734,197.495970445,203.347663573,204.451885252	1	tan	0.2	308000,,
349618	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.47950325,199.807974419,202.25293063,201.060111286,207.329319223,207.722903054,200.391892139,206.406185997,200.162083405,201.523548463,201.347899293,201.269886818,206.694561067,207.422178266,210.357386883,210.221306106,207.698088784,208.933730811,204.769499272,206.517174269	1	tan	0.2	308000,,
348488	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	170.490504761,177.75705488,178.449068501,184.683998538,183.447435015,176.3054872,185.015766584,180.4601971,180.964082409,179.97061349,176.383541976,179.104155744,182.334551129,184.886076844,182.815843501,181.402897915,184.638011386,182.256960896,185.425524925,184.309696402	1	tan	0.2	308000,,
350988	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.027224622,211.488068541,212.182773697,211.811988583,209.159852934,214.871786655,211.772919406,212.14289851,212.99161058,215.755720055,213.730778522,218.10777199,211.935981289,212.554660196,212.897575194,218.946941938,218.515742773,215.356216742,216.516711198,220.378541572	1	tan	0.2	308000,,
350000	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.217719556,200.45118519,201.800772904,208.323512545,204.152502198,204.845033641,209.330978768,207.315364307,210.965954713,211.400650362,206.826559661,208.698348819,203.878481411,210.773103095,204.406294355,210.792703051,206.225074956,206.739264666,209.308322036,212.653369911	1	tan	0.2	308000,,
348343	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	198.843239949,199.023488668,206.250767817,201.921793302,206.063877424,205.926970756,206.535587322,204.689865683,203.228964007,210.092505978,209.370888744,210.919921997,208.374454418,201.606482656,201.669862738,203.828563777,210.63265598,209.568474451,209.275347306,215.388147561	1	tan	0.2	308000,,
351604	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.373029027,195.829414062,188.937470289,189.888778744,196.249454601,191.477450197,197.239635762,194.454901437,198.765240949,190.503486674,195.056822262,193.471277172,197.223508341,193.140029002,192.953346989,192.585152038,192.656654086,201.972433581,198.097284904,203.147658175	1	tan	0.2	308000,,
348585	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	179.844226575,183.710805128,183.47003154,189.375996322,187.778667944,185.708867381,185.124879703,191.774778446,185.123085346,193.752505968,194.45045232,194.517879649,193.649611981,187.936962304,191.833872849,190.698231356,186.873728121,191.745939017,190.228370986,198.731648898	1	tan	0.2	308000,,
348375	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.356500672,197.993887592,207.120399094,208.846778518,204.920682831,201.644874886,207.872257394,202.712022237,201.507638647,203.181960052,201.902965622,203.727671864,204.243830686,201.712120327,209.232868954,203.831287542,203.939868177,209.772493736,210.601669472,209.002497898	0	tan	0.2	308000,,
349975	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.380086493,208.435772576,215.842648512,209.678742368,211.282785231,207.711625509,210.452440532,215.330882026,214.954203389,209.213090212,211.696173846,209.648422862,208.561342258,213.279411633,214.542312521,217.198424022,217.55674457,211.31472188,220.304357506,218.368394836	1	tan	0.2	308000,,
350730	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.536015131,196.142619258,192.889450333,201.399495734,199.520858145,200.112082481,192.78900787,200.422912152,197.838148122,196.884415525,193.489095019,201.166185392,203.187156384,195.384333897,193.850899093,197.901933645,195.887162071,201.713431523,196.33142268,205.18957039	1	tan	0.2	308000,,
