ID	X	Y	cluster	func	noise	original_trajectory
143310	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-6.37624064973,42.8119154863,67.6821955587,84.496985292,94.6698452369,99.0829153922,107.030254923,111.121673585,112.833912408,114.556251606,117.512137477,121.225280471,121.735994134,124.714374159,126.250856874,124.310521271,125.099237362,129.202115077,127.058655677,129.082860719	A	hyperbolic	0.04	132000
142362	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-43.7732204541,7.14123766673,30.6148898205,46.2327048667,57.4365115648,64.9620386637,69.9676229187,71.9299025655,78.4677740705,78.2573388271,83.2978933287,82.3748643239,86.8981953585,86.3589945116,89.2432297712,89.0869139126,91.6337200653,89.7980533392,92.6438911593,93.9758549623	B	hyperbolic	0.04	132000
143869	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	28.9085909356,76.7192274329,103.589360704,118.507590431,127.674085561,133.753682254,139.849403517,142.875116176,147.984758372,148.733119351,153.573421514,155.827776701,154.574155385,157.535196576,158.122672391,160.753229258,158.990009948,161.289870219,163.701616666,161.359243623	A	hyperbolic	0.04	132000
141380	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	120.977398373,172.588401255,196.735944926,210.751941345,221.009628376,228.797885355,233.593497405,239.140680774,241.948632559,245.802704168,245.137521944,249.222293684,250.518753644,250.576651153,252.184930742,254.930786072,254.609397029,255.226988094,256.937390855,258.328724133	A	hyperbolic	0.04	132000
141318	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-48.3617195847,1.26754062309,27.1187324718,39.7001530063,50.1755512528,57.5375253775,64.8923446223,68.7432487144,71.4122496718,75.0167560189,74.5758158314,76.8814969598,78.456265054,80.337996307,80.7891673834,83.9911821114,85.1863125718,85.4182607076,85.0820309021,85.7050465776	B	hyperbolic	0.04	132000
141469	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-132.325466505,-83.3876194089,-59.6902662317,-43.0581380639,-32.7474556398,-27.5952987107,-19.934600985,-17.7559586673,-13.6789596612,-12.050101313,-8.52355580377,-6.09573190259,-4.50731397046,-4.98895272497,-2.38124779763,-3.01345625703,-2.29830378512,-0.83908049144,0.0290825579436,0.614309771995	B	hyperbolic	0.04	132000
141662	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-70.1149747686,-21.7132339491,2.63809067925,19.3335719397,28.4417627882,36.3746532243,39.2828901822,46.6598956572,49.3116400005,52.6912629725,54.420292614,54.4173012653,57.476082505,59.6877668473,60.9274274675,60.5979739983,62.8985684711,62.6180895277,63.9231446092,64.1557657362	B	hyperbolic	0.04	132000
141244	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-24.5390568851,26.4333713609,50.1400532006,63.880303493,75.304163167,83.4752506592,88.1713816423,92.1725296798,93.6466271173,96.075666092,98.9392619709,103.045897088,103.056776698,106.689212373,107.072757561,106.891970786,107.659069452,109.515385431,109.569756413,110.6741282	B	hyperbolic	0.04	132000
140281	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-92.7441982649,-43.1337948123,-19.014270616,-3.82893258266,8.30419989042,13.1837671931,20.0410816534,25.1731465897,28.3755226655,30.8324467556,32.2427671122,33.6065619077,35.691213643,36.6662808244,39.4299796975,38.9245894019,40.1178118001,42.1279073008,41.091245461,44.9364544183	B	hyperbolic	0.04	132000
141748	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	100.427776262,147.83137247,175.451959062,190.43565513,198.146452441,206.044627412,211.257226304,214.814627516,218.166360188,221.352247563,224.73990452,227.768134343,228.617727144,228.607897817,231.695501749,233.208824158,233.27203649,234.183465844,234.051636354,234.470321874	A	hyperbolic	0.04	132000
