ID	X	Y	cluster	func	noise	original_trajectory
141931	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	31.8442622986,79.1094216885,106.859144197,119.216443418,131.970213659,136.287928677,142.472343207,148.238387008,152.225288318,154.388713546,156.395102338,157.560634224,159.839941471,161.018559589,163.423046582,164.495262541,163.549973247,165.1960869,165.806018442,167.807202281	A	hyperbolic	0.04	132000
143780	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-19.972220972,30.3573281965,55.397309178,70.8307946885,80.0402770121,87.1584242035,91.7839690277,97.8591296218,101.693870872,104.00707797,106.823442726,109.144853177,109.324144132,111.52540534,113.090824983,113.000265635,113.654030569,113.639095689,114.764828674,117.915474549	C	hyperbolic	0.04	132000
143597	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.4711697574,127.030375668,154.239581921,167.616416651,178.587421968,187.185119366,192.054631077,194.00701148,198.651779937,202.814685224,203.638988897,206.600302954,207.064711278,210.228161463,209.907666701,212.701208292,210.383600471,213.553665154,211.987024185,216.08321878	A	hyperbolic	0.04	132000
140449	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	82.4071165061,134.296162445,157.040030721,171.982627948,184.394035177,190.058423357,196.675265409,200.549370291,202.192455187,206.491861304,206.540024335,208.447283619,211.550298495,212.924231475,212.951782381,215.683147955,217.617869178,216.849741788,219.075944694,217.272961834	A	hyperbolic	0.04	132000
142897	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	13.3239573126,64.12729168,89.7422003119,102.511681583,114.453521598,120.994413251,124.174341378,131.36871707,133.723302076,134.906544468,137.127384674,138.622503469,142.717370128,143.509585208,144.479243871,146.08780065,148.052648852,148.321532969,148.237219027,149.628929439	A	hyperbolic	0.04	132000
141766	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	11.1464175154,62.8349418942,87.5787746361,100.636245404,110.794301099,119.75109756,125.677145781,128.691115118,132.901231885,135.452932787,137.79586538,138.684130725,141.521581432,142.103942021,141.785631998,143.135134324,144.055860242,146.408788114,146.348024671,148.378693926	C	hyperbolic	0.04	132000
140917	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	20.15313583,70.8077466592,94.657301461,108.303111097,120.580635024,127.023805799,129.958798027,135.013715947,138.135113886,143.043079017,144.201625648,146.22251636,146.277419414,149.849239407,151.789124875,152.243546487,152.989523862,154.533478668,153.589521626,155.266037744	A	hyperbolic	0.04	132000
143706	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	73.3657025904,123.239571955,147.977035902,165.096121848,173.127408049,181.083327223,187.597250035,190.754440181,193.740239273,198.007147473,199.638276767,203.098094955,204.239209762,204.945682328,207.282309243,208.03715777,209.399160465,207.694107984,208.652558953,209.789684975	A	hyperbolic	0.04	132000
143015	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-77.4979025264,-29.8493167084,-5.16173911339,11.4384468523,21.7822143778,29.9878191315,32.1145219243,36.6566311179,41.1410927658,43.4096678581,45.3961712002,49.7557547453,48.6260371659,51.4667756797,52.5005088144,52.6297265344,54.4104181597,54.0345352532,55.8276846871,56.7700075431	B	hyperbolic	0.04	132000
140916	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-46.5215906952,3.85759697221,29.4423795288,45.3205778923,54.2967391523,61.6390925663,65.9185144358,69.0272694935,72.2785834014,75.0041294144,78.2612077797,81.5210111337,80.752545993,82.8722424046,84.489805357,85.3428455812,85.547665408,86.8773303832,89.6763132025,91.0590397192	C	hyperbolic	0.04	132000
142586	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-77.866472782,-27.1846158155,-2.74722801174,11.8863179258,22.6212605217,29.3011747546,34.1085924044,39.7057944058,41.3702525178,44.6483489741,45.1436824751,46.5460852101,48.3603140409,52.673294251,52.502987536,54.9607127286,56.3006237653,57.194407363,55.6840116508,57.2287973739	B	hyperbolic	0.04	132000
143367	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-47.766766022,2.14418446528,25.9553572708,40.4356155911,53.1594526215,59.2461338528,66.0179202232,68.8483649086,72.1479802803,74.6385313671,78.5654169241,79.2883828465,80.1329685091,82.5147607513,83.7928209475,82.7294691243,86.0776239783,86.8130549952,86.4466693969,88.8464008222	C	hyperbolic	0.04	132000
141993	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	30.0965637691,78.8200944933,103.216837255,120.21754999,129.990108292,135.960781607,141.595894918,145.894780606,148.916346917,153.056450528,153.676498062,156.669201978,157.217976143,159.9452762,158.892648258,161.813869035,162.879506255,164.028783417,163.338614594,165.721773403	A	hyperbolic	0.04	132000
143947	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-94.9529504991,-47.1409731569,-21.8413882143,-5.52804846856,5.44774154965,10.1449955593,17.0566253791,21.390315929,22.8826724204,27.4993952099,30.5037337788,31.0370851603,31.9672137685,34.5832078257,33.4563986097,36.7393311742,37.174708185,39.4552057593,38.074732571,39.9233540087	B	hyperbolic	0.04	132000
141378	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	79.758340869,128.828136881,155.682910657,170.544016575,181.127980419,187.020880392,191.699473694,195.65297951,199.718147454,203.082086791,205.451537002,205.964844831,208.955426487,208.871001969,211.523704609,210.944330394,211.500650584,215.166528329,214.789355941,215.591429536	A	hyperbolic	0.04	132000
141066	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-79.1577915509,-28.6937483437,-2.88344011024,9.92409987351,19.2913907667,27.6651386971,32.2008739284,36.4803857767,39.203111827,42.9616396385,46.2876366194,47.1602946351,50.2779410407,50.2793836946,51.9605703001,53.2868902493,53.1383888426,56.45130534,56.6321778829,57.630740985	B	hyperbolic	0.04	132000
141232	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-39.0532132016,11.2616829839,34.6694090502,51.9193682508,60.8533774596,69.0619125662,73.9654714793,78.8441940171,79.1575363856,83.7244394517,86.6412416444,88.1686726351,89.0833252048,90.0413063786,90.590228081,91.9145621185,93.2055505596,93.4637012751,97.1766758639,96.4526153318	C	hyperbolic	0.04	132000
143309	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.4250325952,90.6176462834,118.213414456,133.341126075,141.18030286,148.000751864,155.487873336,157.35326156,160.845000235,163.812680438,167.933445204,168.130051655,172.431664309,171.845507035,175.167256704,176.322709342,174.450555017,177.354955047,176.52745085,179.43961284	A	hyperbolic	0.04	132000
143493	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	53.4094590363,105.241014001,127.528084603,143.591777494,153.448382489,159.615833836,166.833591269,170.185759547,175.119690879,175.807088519,177.884812824,180.810679605,183.470388099,183.001897247,185.755041603,187.545307119,187.596170446,186.588690772,190.254779244,190.708620262	A	hyperbolic	0.04	132000
142301	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.9137220884,65.9970935019,89.0701439225,106.270434922,113.707421903,121.227025771,126.453148558,131.853518838,133.300425491,137.278391222,140.635809849,143.069681488,142.6609345,145.385088012,144.493427125,147.665502501,148.805451872,149.121785568,150.222477423,150.157335332	A	hyperbolic	0.04	132000
143921	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	17.8864078648,65.4898831902,91.8952735238,106.773930618,117.50650518,124.556155956,128.951951942,134.605641335,136.713606229,138.477430717,140.287716568,144.242707612,144.10934612,145.975096816,146.03439291,148.826300165,149.556514061,150.789377534,150.892098734,151.605416922	A	hyperbolic	0.04	132000
140815	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	113.58201175,164.33454159,189.489107446,204.950015901,215.971247021,223.387799383,229.10360501,232.333895967,233.651942081,236.310024231,239.573362602,242.245991009,242.268487145,246.365450036,247.582666863,248.052759519,249.199694918,249.236373923,248.881078974,252.290470995	A	hyperbolic	0.04	132000
