ID	X	Y	cluster	func	noise	original_trajectory
325667	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.087054096,199.035342478,199.557622488,200.23662882,202.839843646,202.778274723,201.920188447,203.4775133,201.18721855,203.920591001,203.40808806,201.780482511,203.139906501,204.343711559,204.467590728,205.206268827,204.597874124,207.107562119,204.856378417,209.856481931	B	tan	0.08	308000
324372	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.423727655,205.090225367,204.443966065,205.021207178,206.1154827,208.160454188,207.735732284,207.063853386,209.361419496,208.907264262,208.541756042,209.345019478,206.621198322,210.330314776,209.840511265,207.770578666,210.441143725,208.976931044,210.569147574,214.219669676	B	tan	0.08	308000
324692	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.768798204,186.844885899,189.114808668,187.199592307,187.54191684,189.034222522,187.41147524,188.751018409,191.365724204,188.095618275,189.458078435,188.957205433,191.801001924,191.882929739,191.107034614,189.545214847,192.021297277,192.730942469,191.190492497,194.920147737	B	tan	0.08	308000
326845	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.381505711,186.625648552,188.832377831,186.528711225,189.889304394,188.421119191,188.534762325,191.197322343,190.237084259,190.00249839,191.013248143,191.128346652,188.9267733,188.949693708,190.042160362,191.05181058,192.885498999,190.18452069,191.838492021,197.058797607	B	tan	0.08	308000
324703	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.764377555,208.529829644,206.725555597,210.553720132,207.964229775,209.54475235,209.055060243,209.036165818,210.738411135,211.969940948,209.408444725,212.040703975,209.837865439,211.663643124,213.388423305,210.793809049,212.441792896,210.879071895,215.791787182,217.598073973	B	tan	0.08	308000
326555	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.779855357,205.721091025,204.253617325,205.134568057,208.334528645,207.376467038,205.329481705,206.231864383,206.549777462,206.24860919,209.452453262,209.138229055,207.639221165,207.625225432,206.656671836,209.662901293,210.347231069,211.529886062,210.813361762,213.856881382	B	tan	0.08	308000
324141	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.607917912,183.839142802,186.210604183,187.760152557,188.10483576,185.431236653,188.135419581,187.394702003,185.012166652,185.566482212,187.252596864,187.392946142,189.063087189,187.611242162,186.638504012,188.230569392,188.362907068,188.453335278,189.147810292,193.253016028	B	tan	0.08	308000
324111	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.946876636,211.512755144,212.432888151,212.636383241,213.854136795,212.151404716,213.006270218,215.663154433,213.998675765,213.610341288,213.62025097,214.831254942,216.28783179,213.294926136,213.277042322,213.800748395,216.420124137,217.772584111,219.23076631,221.878268714	B	tan	0.08	308000
327328	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.57921673,177.088394035,177.645496663,181.09920536,179.720466177,179.750750571,179.754166051,181.162636671,179.355950974,181.559134056,181.062119869,181.700808801,181.918107715,183.100638001,180.401451078,181.971117626,182.104936842,181.877220743,184.592114579,186.286849038	B	tan	0.08	308000
326171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.80263752,196.980237315,199.271728849,196.432508782,197.890373697,197.209887596,198.803935123,200.486794453,200.375634971,199.491460577,201.328016117,198.622321884,198.203011044,200.968143837,199.967695397,198.57091435,200.191942594,203.39556668,203.008671859,204.558175556	B	tan	0.08	308000
326359	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.771114941,179.677390163,182.624310394,181.807305749,183.259482673,183.768479036,182.295766923,184.835878047,182.67353811,181.840880191,185.25410266,184.977498375,184.396556909,184.551154311,182.778396192,185.584438959,186.173452883,185.391021485,185.038144193,188.952943598	B	tan	0.08	308000
325092	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.031100651,200.168901129,200.550136289,200.464232798,203.882900025,202.897617547,202.005896186,203.878852769,202.026109547,201.337144756,202.715129045,202.092196087,203.937301343,201.857654213,202.914039664,203.118838993,204.034666964,205.350245652,204.504616371,210.521711939	B	tan	0.08	308000
326424	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.429654705,212.923928275,212.926093733,212.796349909,212.153483089,214.409529363,215.974329052,215.438326982,216.276551297,215.608925822,213.178710722,215.689325937,216.336050999,214.629369673,214.917542623,215.682537373,215.357289433,218.010090587,219.043391867,222.172697605	B	tan	0.08	308000
324429	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.437794833,179.513698282,184.321421755,183.881881339,183.424649265,182.972591164,182.600772868,184.419823398,182.849573831,182.804455278,184.7670876,185.364244884,185.447296203,184.136206644,185.711873546,186.141662268,187.751073792,185.990264824,188.68678139,190.485288477	B	tan	0.08	308000
327816	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.491374409,203.060172635,203.477251932,202.576782484,204.707374547,201.636633797,202.180803305,203.895500951,205.909267688,204.28667604,203.213297665,203.276401516,205.558737952,206.89337277,206.867979827,206.97733244,204.323866669,204.56920316,206.945481182,210.642540138	B	tan	0.08	308000
325722	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.037254794,176.305122339,176.96671685,178.696312748,180.240731682,181.23545782,181.830184389,180.172712338,180.391748686,181.141721797,182.008427329,180.265384429,180.845410992,183.020460834,180.224942823,181.246146124,182.645418648,184.397373018,182.849897804,186.096416914	B	tan	0.08	308000
327780	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.543319163,183.254380788,183.126381294,185.311173369,185.952230193,184.826384212,184.079821798,183.799706207,185.55906779,187.313852488,187.814036484,185.793774663,187.987166816,185.964958624,185.27396988,186.336273636,186.967453753,188.502959435,189.461736637,191.095743863	B	tan	0.08	308000
325057	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.475607908,199.669245712,202.109753801,202.333586317,201.988172477,203.085927006,204.775952197,204.683974476,203.079477874,206.061936733,203.423245836,206.804897822,204.971404262,204.578774282,203.615196262,206.967313427,205.725703869,208.179829893,207.68346586,209.500244876	B	tan	0.08	308000
324019	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.622693213,197.354302371,200.201799423,200.640374205,201.020197215,199.488896586,201.575651735,198.721621769,200.040767996,199.607810763,199.363300256,202.173905917,202.995801141,202.247500549,199.660243771,202.472122264,201.515263684,203.615826733,203.214245377,207.300635979	B	tan	0.08	308000
327202	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.505033528,201.063496711,204.692801204,202.218106209,204.887755414,204.344812481,203.724258626,205.235229857,205.53831185,206.271427306,205.048600005,206.785758381,204.297683928,207.043133788,204.336274267,207.477742069,206.703160947,207.827899139,207.021893981,212.255997718	B	tan	0.08	308000
325008	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.754938045,199.217875681,200.200642204,203.39335043,201.958029644,203.481870812,202.965587009,201.540298675,202.141022003,200.895434421,203.044468543,203.066810358,205.07498818,204.244456601,201.773159201,205.727889958,203.862160599,203.50316323,206.90269439,210.874883937	B	tan	0.08	308000
326181	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.818781684,200.201052029,202.270583026,203.96012481,203.521134827,201.829509641,203.803939452,205.076090277,204.708668064,205.983816368,205.983071341,204.860740425,204.323045204,204.850512645,206.108741318,205.229182674,205.219635678,205.394489713,205.724435434,210.969777771	B	tan	0.08	308000
326942	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.569028322,180.292117083,180.933734595,184.162879179,185.555500821,184.17426527,185.492468462,184.80864266,183.26809426,185.25017415,185.145018074,183.641618809,185.319789111,186.887643572,184.281124728,184.33973777,186.363206704,185.822095502,188.678099302,189.684434853	B	tan	0.08	308000
326112	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.551265888,202.681339293,203.146157152,201.01388802,202.621781398,203.143958963,204.928334142,204.198383607,204.390730668,203.522478768,204.628901386,204.16016189,204.811639789,203.154902788,204.718220168,206.945125085,204.984303102,205.648778937,208.215258633,210.935423625	B	tan	0.08	308000
327779	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.99349036,182.925736572,186.106620203,186.208116024,185.453822581,184.001390332,185.035345542,187.672924524,187.566326684,185.770019192,185.075652931,187.293545587,188.82707433,187.740144205,186.69109074,188.25670269,189.160215176,189.66046089,191.588974879,192.52482229	B	tan	0.08	308000
327428	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.927343358,213.877089504,218.708629697,219.063656865,219.719670142,217.656093041,217.143980849,219.478583464,216.886210309,220.668030989,218.556170634,220.647331101,219.123293605,218.39137765,221.592864649,220.284133609,220.600293068,221.599335321,223.652330139,227.167419555	B	tan	0.08	308000
324595	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.919405932,179.363216202,180.05289721,181.538141011,179.044406363,182.758989711,182.836937679,180.995582111,181.674880879,181.068536289,181.712739765,182.008040298,180.755831347,181.657620946,184.196489301,183.886876278,182.32163743,183.266920393,185.829670507,187.91568341	B	tan	0.08	308000
