ID	X	Y	cluster	func	noise	original_trajectory
148282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	77.2299665505,124.422756964,148.707730127,165.950466845,172.504628095,181.491652827,190.159283764,193.077306025,196.933998915,195.544952078,199.481427364,204.915269779,206.311193886,204.263554609,208.908509644,210.015699508,211.551230748,211.169879942,209.856326013,212.745037893	A	hyperbolic	0.08	132000
151089	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.8818427804,132.547083086,163.179259364,173.376631056,187.984544161,194.108377487,195.552854946,198.809788396,206.136735144,207.146138399,207.10832384,211.842795895,211.989161517,218.253614745,219.09061917,220.535871258,218.044618524,219.24228489,222.979428997,219.999783877	A	hyperbolic	0.08	132000
149105	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-75.6617998601,-27.6120626474,-2.27144337715,13.2543286575,21.7512640728,27.4294638145,32.2359148845,35.2528344887,44.3791875335,45.7979153927,48.8671011098,51.2889995607,49.0602341526,54.4558956387,51.8972379745,55.326314985,55.2335227408,58.6922521841,55.8323532842,55.208777228	C	hyperbolic	0.08	132000
149300	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-33.6747607747,20.9672541842,44.8525071259,59.6159894877,67.7363988879,76.7855779688,83.7112997182,83.1935455541,88.4010853636,91.3581288263,90.6252258518,97.0344132656,97.7265082035,98.1006695888,97.218002487,97.738851432,99.4565482906,102.073895991,105.148239814,103.414085346	B	hyperbolic	0.08	132000
150721	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	43.6165672754,92.0598877531,115.969981217,132.347501418,140.97470269,149.645257275,152.171853713,158.080137696,157.662381699,162.989262808,167.620276469,171.105205521,171.785595668,169.743767116,169.854826452,171.999421631,171.944966537,171.692874692,173.31900193,174.706430092	A	hyperbolic	0.08	132000
148787	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	96.712168817,149.055602175,169.641022154,190.782676801,195.971560281,206.264197253,211.029397369,210.697979519,214.246670411,218.668344144,220.438666928,226.375032621,224.13820946,230.529758042,228.149236373,227.207012214,232.203661753,228.580928546,234.248938329,231.605542299	A	hyperbolic	0.08	132000
148025	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-45.1312919674,2.09031316343,27.5266161049,43.0283235868,55.4010879668,60.2109320556,64.015516544,71.6542534266,72.6107489506,77.6390962003,74.9085442026,76.3490064093,83.0622367637,79.818582456,84.4786134809,82.0285174928,87.2755262391,85.0205694563,84.4325459885,88.1882668965	B	hyperbolic	0.08	132000
149894	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-115.968795896,-62.6665284194,-38.7102832053,-26.5863576304,-17.6946241278,-9.04383674068,-4.76451468262,3.47276231102,3.80848604357,5.48609469571,12.8212512487,14.2485639265,10.0411578403,15.6305966454,13.8158386894,17.6574219364,18.3222423836,15.7691825835,18.663363842,23.5761320369	C	hyperbolic	0.08	132000
150768	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	59.4763262247,104.675481786,131.586647471,145.881294258,159.909317196,163.799685709,168.706263756,172.652928166,176.118543125,180.274610688,180.147389452,187.191898493,184.071343513,190.353159934,186.143189153,191.390771745,188.818240532,191.967621747,195.541028614,190.643376643	A	hyperbolic	0.08	132000
150620	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-14.4083189401,39.1247931974,66.4293241573,75.125190101,85.3374459752,97.946238356,103.737168357,107.751517168,108.863084565,110.54050876,115.691542614,117.927873559,119.272965938,116.587658491,116.201721097,122.726189636,121.553598701,125.350316751,120.540183816,121.17823632	B	hyperbolic	0.08	132000
148488	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	92.4571977605,140.757604228,167.08167455,177.496683728,187.48502742,197.284930515,205.155612264,206.22500346,212.94756157,215.444085276,212.604040792,218.753620097,221.610859356,221.379563828,222.370575731,218.697469762,223.291848239,223.847179859,223.429268712,226.67786025	A	hyperbolic	0.08	132000
150962	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-26.411619316,22.0941121674,48.9303674795,64.5516361089,74.44556006,81.1949367511,84.4870199269,92.6438742077,90.9604154293,99.8421373248,100.205301376,100.774671312,103.63708622,105.045274452,103.385786288,106.716959495,107.302410974,105.245250309,110.484506182,109.295435005	B	hyperbolic	0.08	132000
148619	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-110.325721407,-58.904155431,-37.2880699866,-19.4425739052,-12.1376139783,-5.20967858737,0.533058203398,7.29252750724,7.12021713677,11.7606882932,15.1049370838,18.6224669014,21.712220894,20.1263224211,19.2197702062,20.6489417287,22.9559460775,24.2649359265,26.6268510414,26.1947702821	C	hyperbolic	0.08	132000
