ID	X	Y	cluster	func	noise	original_trajectory
335949	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.22379167,207.684450215,210.243270155,208.401382887,208.351441545,207.513886058,209.157113575,208.439845721,209.626801902,207.634656708,209.851316846,211.1335531,208.405949067,212.343823035,212.935151446,211.010244385,211.73994611,212.286278834,214.351511279,214.934762666	B	tan	0.12	308000
333656	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	173.521591163,181.218249735,177.726011992,178.942929421,180.510945137,181.955874607,180.08615021,179.18892159,180.055748225,179.884881933,183.173607134,183.503475307,179.598095797,182.534916018,181.048529227,184.445569581,181.256217051,181.158371312,185.721609976,190.647969837	B	tan	0.12	308000
333192	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.315289953,188.214774796,185.42339683,189.436460909,187.676898591,188.315193307,189.886476078,190.665449175,190.069147078,186.79282704,189.388610956,189.710503963,191.180939532,189.43073716,191.465578974,190.049978627,192.065385408,192.071406057,190.320736045,196.747113638	B	tan	0.12	308000
334544	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.534888036,195.359024316,195.168155382,198.697768263,198.452461541,198.570294171,196.546743498,198.984428268,199.902075734,195.987213275,198.089524946,198.520557692,199.141528137,199.053224339,196.993463691,201.163948188,199.537970153,201.965725624,204.727344293,206.222160707	B	tan	0.12	308000
334505	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.249871623,199.479574337,201.579236285,205.531599567,204.785928269,204.423667976,206.728805675,203.453974046,206.460612893,202.485635239,202.756850338,204.866498073,207.27176967,208.509345301,205.132100675,208.435345488,209.211940037,209.726054952,210.524339676,208.654218097	B	tan	0.12	308000
334450	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.925850748,193.28610302,194.334895237,196.97416617,198.829090367,196.706885653,198.729190964,194.96661399,197.094056876,196.882167374,199.665041181,199.949719606,198.141319146,198.768373795,199.934749424,201.013506829,199.766590189,200.823774693,203.909544915,206.170813354	B	tan	0.12	308000
335966	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.964044357,176.189635505,176.857089226,179.281950517,181.576659463,177.23892038,182.14502702,180.682878269,180.245314368,181.899484665,178.130237636,181.520708622,183.27232451,180.648536336,181.84308681,180.51046585,182.709333679,182.590902107,183.795017151,183.772728715	B	tan	0.12	308000
333269	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.716422057,186.779066077,186.542331878,187.782674602,191.166047082,186.725742165,189.221767765,190.14805577,192.492528053,189.825789834,190.029636832,192.758467227,187.744230623,188.474195052,190.887935373,192.359339005,190.373379653,188.93683025,195.62489825,198.320600239	B	tan	0.12	308000
332434	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.143616123,193.18371928,193.292568742,193.891879684,196.010724012,196.935832393,194.790537834,194.429147363,198.914192845,196.524936651,199.646599423,195.030892039,196.495793352,196.611942542,194.472685047,195.404184717,196.765843071,196.765460898,197.670505434,200.81373495	B	tan	0.12	308000
334084	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.49250308,201.55793458,200.7211329,198.280433452,202.666675392,201.828609744,201.238490981,200.870120579,201.262947071,203.21294215,200.085610373,204.262253037,200.701573472,202.733676545,204.680739653,201.703423035,206.279471825,205.526955922,205.453616856,208.684260833	B	tan	0.12	308000
334393	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.525192205,181.5390469,183.075247746,180.766797544,184.052103513,184.082515287,183.169252305,182.590518115,183.858286617,181.168237014,184.765639233,184.602778104,184.168938824,185.697143496,186.947378729,184.582211522,185.103351997,186.424841447,185.783067434,189.136563034	B	tan	0.12	308000
332174	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.512176517,191.622362653,191.012688233,189.41901444,192.797756677,193.967158328,193.560612621,193.253264069,195.454656967,193.173029319,195.507560781,190.829358341,192.972818551,192.405765569,191.928251938,195.316577278,197.390525867,196.635059352,195.716902829,202.232153017	B	tan	0.12	308000
334585	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.164196776,200.19298444,200.099304783,199.920994973,200.051251236,201.162515835,200.856449468,200.089833912,201.189338685,204.933531473,204.614206316,206.406713865,206.112661141,201.152653976,204.697456874,202.052157513,205.195180008,205.359749017,206.99402818,208.293056326	B	tan	0.12	308000
335374	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.650081787,195.162818117,199.99377207,200.359991357,198.68491694,197.56682189,200.855170291,196.806252765,196.140737183,198.079803466,197.172732803,198.687975522,200.11152394,202.408177405,197.902963657,198.311879279,199.223940561,199.386570989,201.348954786,204.768516767	B	tan	0.12	308000
332042	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.169559738,196.610524478,195.695655074,195.556566991,200.746203184,198.299536173,201.618052758,196.936281512,196.460479137,200.163631798,200.329981119,200.920108236,201.321130497,198.969168459,198.58880351,198.216573382,200.08100026,201.204959285,205.74497037,204.50111046	B	tan	0.12	308000
333378	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.343834894,190.930652466,193.400994722,190.649046918,193.132436416,193.104620374,193.372600304,193.030216643,195.664101198,192.161143153,197.622969467,193.02822859,197.079328201,197.213055314,196.074850858,195.994548329,194.250048963,195.39248884,195.851963593,202.210931861	B	tan	0.12	308000
332287	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.421257199,216.302012063,216.38650806,220.609824928,217.57558694,217.08166863,216.263505235,218.350931595,222.480450514,221.852333604,217.238876415,220.484849164,222.959758905,219.48750718,220.982576984,222.099508607,222.977000881,223.074679355,220.364535166,228.950906066	B	tan	0.12	308000
