ID	X	Y	cluster	func	noise	original_trajectory
164137	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-37.2943202346,16.9133222584,36.0420452742,56.0677604482,61.1521611945,78.9001343538,74.1146748191,86.4447179344,81.4785924702,92.2853032413,89.2417317018,85.8551624326,99.9308653056,95.5176560653,96.2798832548,92.5380271859,103.850170732,100.14683687,102.056708296,96.2253541938	C	hyperbolic	0.16	132000
166283	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-65.3354272164,-8.73349256246,21.4301472884,33.5389605987,44.1010740543,50.187334415,48.7141110184,62.2960493398,65.5282400403,62.4804871705,72.4153626641,62.5653001213,63.1016505357,71.8570952517,75.4973115967,72.5465178816,75.2828696944,74.9031343111,72.7202687172,72.5876679543	A	hyperbolic	0.16	132000
165134	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	128.942056375,184.486760351,209.654638534,215.943939896,223.416538555,231.654203298,243.678726711,241.977217846,254.580644869,250.300436526,254.275325258,260.323392713,252.662240975,253.256557078,252.548464247,266.957072902,255.03102624,264.996740773,264.136320718,263.844303108	B	hyperbolic	0.16	132000
164058	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	87.1933995542,139.050375995,162.924516358,176.10149572,199.293776547,202.642358898,201.970446063,210.733657799,211.472561048,219.199012707,217.076621301,217.701531076,222.589235723,217.139111285,228.749811487,224.957743397,229.513325937,230.259778759,226.364299486,222.817371522	B	hyperbolic	0.16	132000
167827	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.6642754271,107.192087813,123.484242309,149.432319291,159.536747099,157.984676519,165.073940946,171.440781219,168.542012452,178.96357989,176.779900079,176.145503328,183.961996493,181.826223188,185.448962852,182.204944199,182.477742296,180.783956557,183.697169133,185.312806885	B	hyperbolic	0.16	132000
165473	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	124.738683348,171.776993061,198.924528757,205.527822676,212.187420664,225.104910746,234.379429858,233.248188032,232.684201211,235.736292155,246.441621207,247.362320227,249.701418771,248.33590808,252.619664633,248.090478512,251.867400967,252.426635394,251.224936838,255.620603324	B	hyperbolic	0.16	132000
167509	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.1760829442,139.916542838,167.260224134,182.084349541,197.5359447,206.050199695,198.702352754,205.065146445,210.252527273,216.685720068,222.887337881,224.317010668,219.750080255,226.228116756,220.245794942,225.898310765,223.064491485,221.877780582,230.269048719,232.699081198	B	hyperbolic	0.16	132000
164458	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.314787096,173.355519817,200.164535994,218.718103209,222.016333269,236.610859693,244.366783745,238.393597029,242.499327594,251.283804652,252.984071802,248.715319424,262.992049616,261.003665009,254.144630761,257.706520266,262.419702393,262.319921981,268.688855838,270.3543982	B	hyperbolic	0.16	132000
166236	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-123.270893793,-81.0979721995,-51.6472464196,-32.2288471395,-27.6018286545,-21.1030868687,-16.188827494,-8.74919864476,-5.09529553666,-8.16990082909,-3.06849361869,4.08864323116,3.51628073897,7.6447615579,9.31029770028,6.20517181602,12.9019429658,14.1113333142,2.16442449149,10.8602384769	A	hyperbolic	0.16	132000
164353	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	93.2958273599,148.604416408,162.95855092,185.31165175,186.974902482,195.480988701,201.534401466,213.060647522,205.932842144,213.244163153,214.923126383,219.086482569,221.888675272,217.752020942,218.659226918,220.560247227,225.739756066,221.857473185,225.272668739,234.790469606	B	hyperbolic	0.16	132000
166104	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	115.626520987,158.058018092,188.391505892,198.545521696,211.074055835,223.321734027,229.877623179,225.75039273,234.883215624,229.818880266,233.774129576,242.393709985,237.590930044,246.881535399,247.344645356,247.476764777,239.160520095,243.194021231,247.241959662,246.693046545	B	hyperbolic	0.16	132000
164283	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	52.6544393179,109.342916695,121.446832835,148.036340277,155.336448401,166.232288598,169.27370808,167.306322462,178.503221896,173.844521869,180.332423745,183.12595652,185.910102756,181.058461513,183.431537999,182.234650925,181.327888823,181.723390561,181.213061166,190.763417996	B	hyperbolic	0.16	132000
