ID	X	Y	cluster	func	noise	original_trajectory
341329	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.561002873,194.598786208,192.812668729,195.532624355,194.55665692,190.973018912,196.936991919,197.339908779,197.054152106,194.258233925,190.417009778,192.763909623,195.726284693,191.635848091,198.581280512,196.107447891,196.675794406,195.436515196,197.633956114,200.706172566	B	tan	0.16	308000
342924	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.399249199,181.99629411,181.075812634,185.536956569,179.702053658,181.557815266,185.164929496,183.639142163,184.044041707,179.828341137,182.50268208,181.906202123,180.657730294,180.327550898,181.726021189,185.430226437,184.96412037,183.40327881,184.750708738,193.295625502	B	tan	0.16	308000
343873	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.884288051,191.443116713,187.039364125,192.2592244,190.778636108,189.028590597,192.348604633,189.012698506,192.52387293,195.362667797,192.591488689,189.3955629,192.041100985,188.906710351,194.704642824,189.842986332,193.031097272,194.523811123,192.847012632,199.735536643	B	tan	0.16	308000
342486	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.956054839,216.28138727,215.418407321,215.714700008,221.155554119,221.625325744,214.123036842,220.582853214,218.40532247,217.852434152,222.332423324,217.440353046,217.40905196,215.483625375,217.760496349,218.281948263,220.355039094,220.121833612,225.759883484,223.173879032	B	tan	0.16	308000
340089	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.44109989,200.821914272,195.367594454,196.131307627,201.297561676,202.695344195,202.463141896,196.453041385,202.142405243,203.086948122,203.079293091,201.702606162,201.367441171,198.699480661,202.773970608,200.583090879,205.433393216,202.504344471,200.117060455,207.184057207	B	tan	0.16	308000
343512	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	216.014897396,211.804155622,214.038337566,219.14754862,217.296429632,220.831676109,214.600428516,220.626326518,215.325453881,220.538086911,220.962496252,220.064954237,216.034484852,220.537426742,216.960644922,220.921537696,218.983652944,219.962284131,220.366087771,221.904435941	B	tan	0.16	308000
343076	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.28193872,187.247152747,184.289182767,192.294670111,187.568387863,189.58843003,187.446655537,186.597108103,189.107106248,185.968101295,191.495404072,187.810424629,191.164031787,187.256326154,191.308378138,190.499117979,187.60062135,194.878674975,194.803247503,200.270708471	B	tan	0.16	308000
343818	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.031876651,208.891497913,205.63130312,205.998601165,206.938832803,206.774517103,206.732391385,207.905380672,208.21429806,214.362722271,212.950786772,209.071194366,212.637616258,211.547060237,211.958659764,208.579316112,209.73328856,215.587773411,213.404971099,216.13054485	B	tan	0.16	308000
343483	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.947470588,208.134457181,213.56995572,212.277408333,211.295802334,214.415745291,207.729874787,212.325067645,213.053015266,210.159227538,216.11999513,209.933935691,210.17599864,215.314723916,210.341639986,215.425067879,213.66063955,211.008085013,213.710586571,220.966995336	B	tan	0.16	308000
341159	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.606438697,194.608156435,195.538077351,199.306603196,193.937515185,198.599471473,198.33671343,194.068564283,201.826748044,195.559489688,200.296430095,196.207498365,198.203425324,197.81369468,197.602953494,197.178481978,196.256588074,202.394616231,203.675732095,208.265090937	B	tan	0.16	308000
