ID	X	Y	cluster	func	noise	original_trajectory
167521	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-10.5436722946,40.8467241152,65.1420268967,77.6296080156,90.5623490105,97.4363647979,93.5142505172,99.2654298844,111.254954412,104.51656918,113.108118445,119.573753176,113.133212121,118.072991018,119.369661,117.475090292,115.287712782,118.536082139,119.39467386,126.189648841	B	hyperbolic	0.16	132000
165539	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	80.773365153,135.916425522,154.563817715,168.359185722,182.095397922,190.583500571,192.038409442,202.822849273,196.789099785,197.094492529,206.157207189,201.550075365,213.958428844,215.130484972,213.834090972,212.013105242,213.820454262,211.177159451,217.980472604,219.85183301	C	hyperbolic	0.16	132000
167856	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	96.3369815922,144.032820438,166.304255617,182.630597319,187.533222832,196.497820371,200.817557301,211.298145592,208.529813855,211.395902351,215.391797564,222.203096307,213.610216629,219.806798413,226.912955467,221.911918644,229.095881026,229.241743248,232.855611843,229.834178441	C	hyperbolic	0.16	132000
167000	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-113.77928586,-59.0725006303,-39.3583206138,-28.3655907733,-19.0232003113,-12.3952501442,-7.97194529732,5.86469552831,1.26952150757,15.1573719013,10.2219867754,11.1865654886,10.0066136474,16.460236582,14.7224301312,24.7814405536,14.6505988323,26.7328567842,21.6996017022,22.6691265935	A	hyperbolic	0.16	132000
167671	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	20.5048573299,74.510755562,90.3499813798,103.99168339,118.461408461,132.442540742,139.017055895,136.933524225,146.435033894,140.958676683,147.286012046,152.9082706,151.546436233,155.381176614,152.203865685,150.75709883,148.704059991,161.140929727,157.900411088,159.705844415	B	hyperbolic	0.16	132000
165646	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	51.9806031188,97.6009702689,122.853806174,133.595263281,149.070935438,153.272999253,162.744403537,164.953501691,175.906928602,179.24017721,177.024627208,171.560677535,172.22891723,177.479488944,177.361751793,177.517728274,177.029800304,183.240667815,178.497273624,191.618886114	B	hyperbolic	0.16	132000
167258	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	23.3196398584,74.3847910254,92.3299875376,112.07371202,129.235319556,124.571950991,135.890455593,134.803315041,147.140775702,148.687115115,151.509531604,154.266253802,153.777720155,158.842824477,149.764905176,157.189265981,162.481356428,152.955143926,152.463326001,164.937858374	B	hyperbolic	0.16	132000
164324	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.29748541197,58.0202285685,80.1450846795,102.374234202,113.361969949,121.650526465,127.672902107,126.840585891,132.867969806,131.212378705,133.257399717,140.235281711,139.915289578,147.692055348,140.993683454,143.342778579,142.592358705,143.413216696,147.72337953,142.585726593	B	hyperbolic	0.16	132000
164106	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-130.243100148,-83.6748903166,-59.6167594522,-46.0820143509,-30.2265496331,-19.4618507982,-18.1676066205,-7.95908174653,-6.69002086724,-2.69447904441,-6.85577136749,-1.61375343142,0.396890262245,-3.58579851123,-4.73656753044,-2.8412256093,3.90869587919,0.540094592881,8.91011665326,6.84854411097	A	hyperbolic	0.16	132000
164114	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-79.3269096311,-28.0555919384,-7.98685990526,3.88546013648,15.3459624265,26.7059863296,30.1558537333,28.4092155902,41.2970030378,39.1409843002,39.3377385951,41.2825723287,53.8657282933,52.2946869567,44.7296013065,46.8017256403,52.5243355147,52.7401316972,58.850454643,54.2028086711	A	hyperbolic	0.16	132000
164916	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-76.0898275725,-21.3772077177,2.14528425533,9.66070647052,28.6438540845,37.4880230812,29.8139367801,36.9877666968,47.034424641,46.9217043788,51.0312551037,49.1092680481,58.2765552561,60.0687480386,57.0399988786,50.4750835155,60.9022741571,59.5983229102,55.8002862029,60.2271182274	A	hyperbolic	0.16	132000
164463	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	78.0421004674,120.133532175,149.685984737,161.262321005,167.514517275,186.076161366,191.849601138,186.717463125,196.557931655,200.818451395,202.384205093,199.600413779,202.852629164,203.793464427,209.414650509,210.234278884,212.365764385,207.878405254,213.557397334,205.934275058	C	hyperbolic	0.16	132000
167280	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	29.3423161467,83.3686358612,108.745356162,118.953256976,134.478407433,135.342780661,141.114916571,153.662854434,151.580579249,155.07852142,163.082410592,160.904585992,161.221073472,167.082343859,167.271488301,159.106689668,168.686484157,159.203702815,161.227268961,171.209184757	B	hyperbolic	0.16	132000
