ID	X	Y	cluster	func	noise	original_trajectory
165861	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-96.5652142896,-44.0322682234,-31.3674584545,-10.8348743174,-0.760460125252,0.326322761799,9.69709339689,12.2692430003,19.706718198,23.1765912256,26.1148448962,27.2180614414,22.3459908093,24.861988773,35.4605375599,37.8767658243,26.8521825687,33.355345773,38.0333975347,33.6312759655	B	hyperbolic	0.16	132000
166589	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-46.428487885,8.85399614976,25.8783797303,43.5764780578,60.4173440673,59.3979572377,62.9975666525,77.9006073645,78.9051163784,76.6012926437,78.6643934155,88.0255886421,91.2401066937,88.6599589525,82.8581332814,90.148645126,94.6178400936,87.4606863747,94.4942635196,88.6702599397	B	hyperbolic	0.16	132000
166568	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	118.372987616,173.271977045,199.14709281,211.397873523,219.380722467,220.881310112,235.951545824,231.411383413,232.737159383,245.826514756,246.170309197,250.107319296,250.185008965,246.372280798,243.396463061,245.61779085,249.687346325,254.051352733,260.064820917,251.576007467	C	hyperbolic	0.16	132000
167579	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	58.7636744717,102.341938843,130.148450737,141.414914601,154.761524759,152.987370331,167.94271271,168.21028447,173.588618196,172.855557515,182.450561849,177.831011629,174.918196925,182.904903651,188.732379576,177.789337904,184.25001258,180.779506155,192.76238078,184.350090051	A	hyperbolic	0.16	132000
166342	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	82.0038220107,132.429338309,156.121109453,164.8716775,173.63306363,186.803187691,182.819155834,196.593197075,201.46529939,195.468039315,207.862014393,209.343719593,203.715777087,209.478295164,210.692004181,205.45395957,210.700939241,204.31702459,215.243235873,207.127432145	C	hyperbolic	0.16	132000
165814	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-10.882367148,46.8933388403,69.8071932005,83.8618806054,86.7910374014,96.6735118357,108.122427465,111.923802915,115.839199351,110.835164057,112.28031765,125.234114962,125.624567245,117.362616807,121.952129488,122.05922747,129.960492285,120.959296423,133.945727258,122.696167647	A	hyperbolic	0.16	132000
165303	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	62.642498528,119.316143962,138.636746051,161.516648335,169.427534892,168.858188468,179.688604713,184.836643858,187.497213119,193.065645286,190.555193557,190.961080996,194.629685974,204.126396841,206.46463066,205.931575658,204.906589278,209.369732452,202.260087582,206.303104509	C	hyperbolic	0.16	132000
167167	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	106.355106771,158.133311562,187.44083287,197.200271357,213.71446641,214.68179498,217.562028109,219.961477354,226.390815636,223.291828447,227.501837863,235.070688481,240.942687524,241.857456122,240.865188059,244.590030858,243.787158681,243.481533198,248.461360406,243.166358776	C	hyperbolic	0.16	132000
165703	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-78.8729352401,-20.957254565,2.65882362605,13.2469930027,19.8962324591,40.3331369935,32.8058064119,39.2565292143,46.7213894751,56.1419687522,47.199776471,52.4589407276,52.7335258402,52.0618081957,63.1865056178,60.3633135013,56.7135554226,57.7390573357,63.9489761757,55.4858222787	B	hyperbolic	0.16	132000
165971	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	83.733253152,134.268813613,164.938850801,171.491984527,178.420904056,191.315639838,199.426651367,203.457559111,208.143428186,204.029345628,206.839279651,213.889536965,217.003933528,210.773214142,214.432795906,220.339438727,214.706171817,221.100181105,222.179111674,222.355223253	C	hyperbolic	0.16	132000
166504	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-72.3557352045,-28.80407088,0.0933111956284,14.3252832593,20.918023742,30.201177477,39.9085147973,43.0510597416,51.8817245432,52.2520013983,45.0872837289,56.5284294163,57.6643482889,62.2205211205,63.6949722805,60.8814933177,59.0720320468,56.325343043,54.3401057799,55.8940989214	B	hyperbolic	0.16	132000
