ID	X	Y	cluster	func	noise	original_trajectory
342884	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.745390608,185.793596449,190.675001833,184.989522778,192.206320188,191.723228208,188.09319789,189.369004605,187.804544948,191.081687905,189.234353842,187.035767576,192.440338245,194.604398764,189.644535506,190.356632748,193.610812801,191.022083075,193.817119023,196.583401175	B	tan	0.16	308000
342454	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.753449469,210.70023454,210.785513452,205.21682097,209.422750064,206.972133811,208.660680048,213.273742633,208.081660933,209.157376739,213.305886724,208.861838719,209.446201962,209.896502457,208.364249021,209.045903527,215.597443327,208.75252958,214.257609811,213.634907049	B	tan	0.16	308000
341790	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.063829299,207.739880252,208.277681992,209.353282625,211.555554616,213.167839756,212.152819274,212.452944252,210.885717591,214.524210966,208.488512612,209.103385853,208.597906547,209.10890528,210.139889255,210.481460282,211.17310653,216.213453638,215.059926941,217.484412926	B	tan	0.16	308000
343889	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.638113782,183.22033909,180.579320421,184.165594901,179.25604415,181.961281943,182.159781589,180.228412992,184.51942337,185.588874005,185.799129079,179.238099486,183.829321371,185.313896344,184.754309172,184.013907368,187.741798882,188.027799634,186.997162604,186.170917805	B	tan	0.16	308000
340316	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.794795871,183.888429542,185.557683515,188.547344341,192.165512226,188.063249717,187.390340717,192.232166088,188.75796631,191.639316036,188.856485588,190.044674099,192.077762206,191.593742718,192.069927598,193.482976945,194.83052124,191.872212723,195.014936147,195.10626842	B	tan	0.16	308000
341921	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.063223144,215.890364996,214.133683675,213.68177033,213.831528843,216.277213941,214.928742972,217.63012284,219.078029713,219.506915118,212.227652667,213.74214205,219.782606655,219.609880825,219.09174246,215.673391671,220.065797973,216.227526875,221.235752629,218.924599568	B	tan	0.16	308000
343560	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.738138396,212.364906047,208.742069121,208.566480955,213.682639172,209.919302508,209.786448549,213.801307061,210.020057448,216.088047225,211.284015899,212.53827035,216.207643275,211.497807069,212.67900157,215.695916331,213.894503741,217.655274694,214.350367186,221.900790287	B	tan	0.16	308000
342845	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.911842908,186.425813383,185.883640454,191.857684691,190.849147014,189.840933356,194.443006243,192.590031823,189.152009009,188.228707549,191.862104875,191.449108267,194.646096243,195.095792317,190.470868825,188.820520973,194.083372633,197.350770182,198.037241203,197.2758743	B	tan	0.16	308000
343642	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.547140169,213.138734907,219.952581563,218.940618914,217.626805572,215.992483035,221.313603469,216.434650519,217.624315729,216.450882834,218.823368027,217.885110811,216.237538831,221.307351217,218.596706429,219.90846218,218.791757973,222.963723776,218.697275057,221.05155379	B	tan	0.16	308000
341821	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.246764686,179.137693716,183.592882709,180.413582835,182.349810591,181.601590324,180.688530419,185.397560965,183.857125525,184.182921001,186.6658469,182.022241884,185.16594344,186.070404739,183.780613686,186.279677518,184.27956951,187.050994682,184.685042684,189.021875436	B	tan	0.16	308000
340900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.475988375,204.123135013,205.811606726,209.253531498,206.991535002,206.113677828,207.291706136,206.812276209,212.000770607,210.918548418,214.058261786,213.719846257,211.482545199,211.404250612,208.226129348,212.390219986,210.481213569,211.532994597,216.334949535,217.920399947	B	tan	0.16	308000
342325	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.674782589,187.574015934,187.556529536,190.170704462,190.285174106,185.585011252,185.964535095,190.261324977,188.455544654,188.039925152,187.032172573,189.905579143,191.351976547,187.910984259,187.94573958,187.564091264,185.784046314,188.20682254,190.348495678,190.668329921	B	tan	0.16	308000
