ID	X	Y	cluster	func	noise	original_trajectory
351677	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.242405889,208.265279442,206.725060844,207.748920873,212.666804637,213.624160159,210.775520221,208.035629737,204.885016715,212.682473178,207.355900584,205.339921089,207.061255334,207.271321988,206.151344997,211.171922907,206.663252343,207.60455732,216.573870902,213.572241582	B	tan	0.2	308000
351674	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.073704608,180.060144401,177.238542378,178.599911667,185.600792559,186.53340086,184.097043085,181.194597883,182.370294784,186.188853523,183.938586591,185.650775583,178.177519155,185.952244303,185.702935644,184.342708816,183.180120423,183.517531741,187.114916511,184.884496281	B	tan	0.2	308000
348971	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.638289547,190.936890136,190.893813044,186.104944062,188.441447526,193.256565115,191.624320893,194.022270649,187.690016687,194.819296288,187.455847875,195.696681075,189.030885411,195.683389114,189.871221163,187.534630095,195.969062969,191.008133165,197.132968318,195.256373496	B	tan	0.2	308000
350315	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.130795559,210.248324946,213.418959836,220.833443547,216.797826211,219.239810763,216.749960753,222.765190541,214.416868316,216.443326741,218.082099676,219.300126299,218.113284428,214.983267141,223.043543453,214.454185627,218.730871808,220.56429443,226.111921474,219.96561692	B	tan	0.2	308000
351744	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.882697797,186.052934944,195.861550127,190.919957593,191.794128268,189.165655136,191.731622622,189.229491069,198.036879724,191.38380541,198.205542913,197.778366669,189.68311119,197.598135675,193.78147636,190.062995902,192.757707537,194.241344526,196.291175662,197.468692978	B	tan	0.2	308000
349894	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.495509564,216.257642867,219.80810054,216.766095604,221.352618753,216.692049103,214.271765032,216.310796965,215.305689601,215.003475817,220.66360163,222.873372307,219.994810762,213.485697218,220.820745611,216.275788251,223.835413405,220.150561763,218.32062307,221.532489543	B	tan	0.2	308000
350784	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.293631977,193.660244306,200.338171404,197.508673185,192.781101767,195.833662819,201.527026979,202.752965072,199.098433583,197.867620717,195.638116748,202.732547269,200.879924416,198.235026658,202.613678504,200.071482952,203.10358545,197.904471859,203.425397172,202.978536255	B	tan	0.2	308000
349107	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.885783449,196.503699183,202.614083138,201.496050251,205.948811209,201.658810709,203.491049914,206.45466391,200.271078448,198.939648053,200.859765455,199.066257854,208.390266908,199.18261156,204.066041644,200.134283993,203.976259909,205.983630943,204.35593324,206.870245112	B	tan	0.2	308000
348528	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.088142474,184.666616726,181.850033162,186.587203849,188.865907695,183.302957054,186.881717897,187.810118468,190.307679034,190.354744062,185.516017134,187.80424916,192.76756605,190.945415025,189.486564875,190.311361634,193.331229814,190.542119173,193.708299397,195.977521053	B	tan	0.2	308000
348592	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.598350801,198.191764658,207.713706176,202.620684303,202.984436143,200.236509133,203.951978759,205.805189626,206.339032455,209.384608493,201.571290523,207.966719424,200.76999156,209.349674887,201.433422452,204.559129772,205.18319837,202.70212656,212.939873837,211.998468043	B	tan	0.2	308000
