ID	X	Y	cluster	func	noise	original_trajectory
348064	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.941198395,179.315227686,182.785460208,182.727068075,184.258179627,179.829466564,175.859723198,181.946730739,179.105648035,184.603331505,178.378175824,176.853089122,182.039452468,184.398624241,178.640056916,183.00343978,184.033102168,178.023124349,180.908509128,186.60196631	B	tan	0.2	308000
348536	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.341333158,196.858941767,202.980839675,198.039827881,201.516931944,204.434999762,205.226833968,204.565236119,199.514786729,202.253666053,196.317386713,198.47995026,200.137072709,204.157648494,202.583445144,205.11558306,207.175380707,207.127205049,206.999067122,209.949759252	B	tan	0.2	308000
349343	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.458493274,202.29377479,200.439657754,204.284735073,197.725507925,203.989179553,203.27950181,203.403666559,202.608246991,205.645015383,199.830287805,204.802814066,197.009093444,198.411990885,206.338125796,203.437147128,203.190307977,207.407991732,202.190359117,202.996594447	B	tan	0.2	308000
349269	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.113130466,181.938571056,192.147132085,186.084588933,193.180773048,190.578182644,185.36809473,189.383672016,187.881448881,185.189000449,186.498228584,189.692468191,187.726430849,187.192886456,188.980553371,188.986305928,190.532448402,186.895537603,189.115587848,191.32762502	B	tan	0.2	308000
349400	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.571378766,203.297601166,205.831397277,205.326234991,202.608777767,199.198684385,201.179980153,207.957411847,208.212281209,200.280526228,199.457676442,209.131277378,205.70370422,202.29656439,200.140374446,208.985050188,205.484625381,211.206571182,211.262396608,212.353231419	B	tan	0.2	308000
348161	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.195124023,176.959557831,184.334001052,183.375651015,185.093982353,182.230170092,184.330524886,181.312211462,182.010226146,182.766073366,183.30609616,179.752683949,185.212279928,180.479097211,185.016378409,187.238913533,189.031518551,182.65836023,185.136068729,192.078287124	B	tan	0.2	308000
350015	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.153732767,198.121643781,208.228659717,207.63248189,202.731541475,199.843918595,207.60964154,201.170043325,206.962667254,203.801051173,206.180031935,202.473408788,207.346101615,209.33680905,211.057086467,203.666519145,211.66932781,206.046946675,206.187630363,208.817927535	B	tan	0.2	308000
348265	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.660372837,201.527560819,202.749153298,206.673336891,204.019322289,208.082974967,208.211775195,206.859528006,212.169340947,207.801567778,209.021330534,207.886770617,208.583865145,210.887033105,211.014362709,203.48904166,209.020971491,208.702097036,213.672223938,214.605951906	B	tan	0.2	308000
349665	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.181987614,216.453642375,219.214350809,220.087859206,216.547376075,217.30708914,216.441472524,223.236333518,220.148517604,220.607349866,220.575987454,215.73574488,223.723576761,222.794438416,215.818663065,223.522213907,217.852546164,220.522327431,219.888298261,221.078487822	B	tan	0.2	308000
350108	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.74403569,191.705096685,188.780025648,191.867021382,186.041641079,193.39227798,195.358992091,188.399930105,186.40939816,186.737952922,195.037805673,195.33522046,196.665474323,189.973753254,191.614701285,195.586790566,191.610848321,193.389129745,198.644556075,201.328299079	B	tan	0.2	308000
349011	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.860983656,195.280675682,193.714294519,193.311257314,199.435158826,197.086442479,203.781989126,203.783129854,201.638100303,197.329879832,199.086519031,196.256681113,195.350926935,201.031108025,197.18535151,203.538193553,196.202930499,202.610332427,200.21980177,202.009464624	B	tan	0.2	308000
350281	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.937674106,210.037374841,211.213364325,211.214781166,214.875942713,212.754821825,212.375989076,215.828718329,213.116747856,212.388345107,220.842987238,215.588782706,214.020641547,217.873535475,220.626394348,222.607976455,219.27283401,223.399191601,217.26816297,227.554155692	B	tan	0.2	308000
351384	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.114918469,197.123015116,193.796527932,190.881157791,194.206407466,200.533297129,197.223140162,198.180420828,194.867142395,194.57564525,200.649562592,197.759573211,196.112137534,202.069382234,201.243312958,198.174774659,197.748830582,198.465828553,205.326255245,201.396240071	B	tan	0.2	308000
350887	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.801758275,199.777533513,209.789761419,204.314892696,211.457844702,210.589274917,202.523725656,211.679533284,207.46312786,208.45775699,204.918089348,209.070322048,209.013103399,213.054308345,203.63856907,207.00595385,209.285157744,212.390800574,209.471283602,213.523521186	B	tan	0.2	308000
350235	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.45797044,216.158342483,212.403699153,218.924183906,216.73926539,213.455200051,214.223015092,217.639436377,219.266888925,220.582383617,216.292302366,212.60396706,214.626448027,214.062515554,217.35992932,215.076190555,219.252222648,216.919070644,220.993676452,225.802398504	B	tan	0.2	308000
350595	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.462420589,205.749880515,203.630774838,204.507907148,205.767698571,206.6781613,201.137660703,207.210215165,208.63595061,203.391383531,206.608001517,210.142635321,210.886484286,202.762502847,206.168641893,208.251424564,202.797532783,205.953633996,211.936637053,214.79340665	B	tan	0.2	308000
349676	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.486231287,203.206740049,204.755640114,205.832727564,205.982239289,202.906956663,204.54091354,212.95883399,213.231822439,212.301621496,208.396573433,208.09531892,208.279146807,208.610939442,213.951838655,209.214804665,208.797233629,206.815089343,214.331791643,219.527316522	B	tan	0.2	308000
