ID	X	Y	cluster	func	noise	original_trajectory
351675	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.171460347,217.527648704,216.621836257,215.773394618,215.775369585,219.929945013,218.44112208,220.668594439,216.089290817,220.50612455,219.790020848,218.537967217,219.882360166,220.875850334,217.658126822,222.832860526,214.896207103,217.671309327,216.880462528,225.86057664	A	tan	0.2	308000
349133	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.085424692,199.524345047,197.505614492,200.174063742,196.389545758,197.180266186,194.602032564,192.764652194,200.645634611,198.428229514,194.085240467,199.457816256,200.853626964,196.511487641,200.152704063,197.708238965,200.996424097,196.084546312,203.347763642,207.363908773	A	tan	0.2	308000
350096	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.651467375,190.475686946,185.400895002,194.318483414,190.105372577,190.717603437,186.834900179,194.939198212,194.600957186,185.757808481,186.611588686,189.639167685,190.043991808,186.912951887,193.290187418,195.563214767,197.095199589,196.551839111,190.783235293,198.821973511	A	tan	0.2	308000
350813	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.739735949,205.374213885,206.132764428,210.084251538,209.323603001,205.114842958,209.183854138,212.845387066,208.237786994,212.484585796,207.383201921,206.412810898,214.710627769,208.85247414,214.992855639,205.96461305,212.203360512,214.892037829,209.776867029,218.556429378	A	tan	0.2	308000
350088	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.713745002,195.889850765,201.933770079,194.967392625,194.173450425,198.8997214,199.922002369,198.640942777,199.294988258,203.578008483,203.458943299,203.787865501,201.749840553,194.965332044,200.171498724,196.657598168,201.635639116,205.034041973,200.492393152,209.873561211	A	tan	0.2	308000
350430	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.074301916,182.897384116,179.792314504,179.889017589,184.024138901,183.573677957,181.522055168,182.316934839,185.118577181,179.023971616,179.643132689,187.06957572,182.168016228,182.755482896,186.750972347,184.121306264,185.234920499,189.866424178,186.1687322,187.20478927	A	tan	0.2	308000
350317	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.422858847,202.561701087,209.398270679,204.459695137,210.585444021,204.139605062,208.079106223,209.14647538,202.47668756,208.665008488,211.649143959,206.511309244,206.832970334,204.118909815,211.505421245,212.176369654,208.671438065,210.715105159,209.554057289,211.463152703	A	tan	0.2	308000
351314	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.195282469,186.768918961,189.990766475,191.921514607,196.359952417,191.873715072,193.953201365,187.50678626,194.151436389,196.268830555,193.279654583,196.160871618,195.906264188,188.67408335,195.864022952,190.499978279,196.333370993,199.414633429,199.733785265,201.431780013	A	tan	0.2	308000
351124	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.395041033,185.453942469,188.823917972,192.683085125,189.244605188,192.360346663,191.695401954,189.792527961,194.789053428,193.224619562,193.487860404,191.45605862,192.020322521,196.642428568,192.947144493,192.758548895,191.096002128,190.843153573,198.706906734,202.737451026	A	tan	0.2	308000
350244	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.298306082,183.929231113,179.216181465,187.237709766,185.332762127,189.433371257,187.094363688,184.956332261,185.244345066,186.443990196,184.282540929,189.606200569,190.368243365,188.658879505,188.260028464,189.303519507,187.463525171,187.161574292,184.022418059,188.467741314	A	tan	0.2	308000
349405	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.724778077,181.269573733,178.338515648,179.973783451,183.470474438,186.958357179,187.852078109,185.327679134,186.124507357,185.828789203,189.867746085,183.872501904,181.145312231,182.599904736,182.125464531,185.037398211,185.381643594,182.547086387,192.955409127,189.400403949	A	tan	0.2	308000
350505	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.911063282,211.243990076,208.115164811,207.382035176,212.933018181,216.036464217,207.728002732,207.566768774,210.044935876,216.986196294,208.681441768,212.269086746,215.392747168,215.248567229,213.686551323,209.733106235,215.145227603,219.177925939,212.634267848,216.716337986	A	tan	0.2	308000
350716	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.361917676,192.258619416,195.545589886,193.790678236,192.539164552,194.471168604,190.236683935,199.224345607,193.273728359,190.443646267,199.375265755,200.345896482,190.726978865,193.518168586,191.868995026,196.935896898,196.228686059,197.184386877,193.87730347,200.537453328	A	tan	0.2	308000
351109	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.893100469,196.284517104,198.587887634,201.900625169,198.977776944,204.447624762,200.083568699,204.468358504,196.287809802,200.267826641,205.738030784,203.262105435,197.928806127,196.795891444,199.745968964,197.051280882,201.308817545,205.092389858,206.460794622,203.080349795	A	tan	0.2	308000
350633	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.696838381,197.049379998,197.894188959,200.472363594,195.471910843,203.287175604,199.432056737,195.896348168,200.208485241,203.325597993,195.435044856,201.281411441,200.860633141,200.912837161,202.200007732,196.661409612,199.374301928,198.32839236,198.133729498,205.032655557	A	tan	0.2	308000
351421	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.43201634,210.111657017,204.594596277,204.207737015,210.508612094,203.032169904,203.121337999,205.25647753,206.429960532,205.171715149,204.981398012,209.443156563,213.659285194,212.439016384,207.9121816,204.814561322,211.714640705,210.090363506,213.755463991,219.579071307	A	tan	0.2	308000
349988	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.494959499,198.244412072,192.579541251,197.051030087,196.553307342,196.264891416,192.876718812,200.343629014,191.896177243,195.794189465,196.854809552,198.552131967,200.214590557,195.578373732,197.991858593,196.291115808,194.744084948,201.754038299,195.206857649,199.964079045	A	tan	0.2	308000
