ID	X	Y	cluster	func	noise	original_trajectory
143872	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-64.6765596042,-14.2672235877,10.0667604125,23.9282275255,35.0999421107,43.4690833383,46.5109272657,52.7917045339,54.0657715457,57.5426633383,60.985121375,61.832100336,63.1223125422,66.4753676093,64.9212907198,68.2744793981,68.0418888087,68.0889623267,69.5390157417,72.0078154635	2	hyperbolic	0.04	132000
142822	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-102.132882359,-52.6765204246,-27.7959197163,-10.1711249934,-0.423723404495,6.0182114954,12.0414036897,14.8642412843,18.9825021858,22.7310492045,22.0541674956,23.7990154301,25.4754723158,26.6801664803,30.9638750543,29.1997246273,29.9437245836,32.947599392,33.9585836005,34.8468801788	2	hyperbolic	0.04	132000
141136	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-56.2971701239,-5.88706199888,20.2647318878,33.9680952996,46.7983175764,52.0740312268,56.5382417525,61.9541471315,65.994716266,67.7482033731,71.4995224534,71.8833896529,72.5793436873,75.518138138,75.6845699548,78.5950424131,78.7658649443,80.651436498,81.5422391149,79.8607665422	2	hyperbolic	0.04	132000
140091	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.2799058072,125.824741402,151.703533346,165.592759743,174.33242401,184.535762961,188.17719535,193.890219579,195.983072118,199.763550234,200.597852962,203.992968795,204.464829949,206.43451399,206.704735613,207.145635065,207.777771037,208.912859191,209.656010435,210.42263127	2	hyperbolic	0.04	132000
143712	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	90.7469377805,140.588850095,165.380161978,180.386131507,189.933528606,198.304616411,203.244158013,205.775348958,210.19428504,213.307385662,216.850616351,218.560834445,219.06600455,218.907456149,219.895676872,222.933097123,223.644940128,223.257208975,225.691179148,226.565696335	2	hyperbolic	0.04	132000
143508	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	86.0811408218,135.988314852,160.681663854,174.593691097,187.132792575,192.959094337,197.821113617,201.359477342,206.764719886,207.9666009,210.332659445,212.481227218,213.726882881,215.159828142,218.4550058,217.716265687,219.004938223,219.124063116,219.555740293,220.251097617	2	hyperbolic	0.04	132000
142640	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	25.9424092824,74.8961713033,100.183831853,117.538891201,126.362186793,132.39243059,138.885260102,144.093504717,147.230666107,147.516825278,152.30558491,154.394767349,155.908569866,154.598027723,158.259140188,158.58676693,160.041451211,161.902623624,161.005753358,160.788221208	2	hyperbolic	0.04	132000
143411	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-100.020940644,-48.6829853243,-23.589798974,-10.2251285887,1.56341466766,7.41447889818,12.2875842762,18.7787346756,22.0202093472,24.5482623335,26.9864215822,26.3160726022,28.8673181805,30.1332219948,31.4539512776,31.7876233585,34.4289795066,34.3524638556,36.6949430651,37.6097052161	2	hyperbolic	0.04	132000
142378	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-107.017474901,-55.1367204488,-30.2958379914,-15.8514967659,-7.20969222396,0.833682592074,6.20101529763,8.60913059187,14.482791886,17.2972943277,19.3688839023,19.8735624284,21.8657025539,24.8592230306,23.4947125076,26.175945311,25.2378926691,27.5910923454,29.2206708805,28.861776055	2	hyperbolic	0.04	132000
142247	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-12.7413097203,36.9342388512,61.6642297406,76.0463760474,87.7862328534,93.7223354954,100.063865279,103.311188694,108.426381676,111.122567663,112.796570744,112.672050914,114.510159878,118.606734312,118.847203723,120.069258987,121.038688805,122.897666263,122.859715669,123.463750244	2	hyperbolic	0.04	132000
