ID	X	Y	cluster	func	noise	original_trajectory
325761	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.45862235,209.902079874,211.010898467,211.160949295,209.63622785,210.273507232,211.61842386,210.573462399,213.439283961,210.966846702,211.714689586,211.774714133,212.964815465,213.177016981,213.578449129,213.033122929,215.595749935,216.332482874,214.165650066,217.29038636	2	tan	0.08	308000
326026	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.336413468,200.24031217,199.721556679,201.119655971,201.13130736,202.750793399,199.86675188,202.849713229,203.365838497,203.004170712,201.358468727,200.291901681,200.790083954,203.209029356,201.633296626,202.796905548,205.178706149,204.215775314,204.79862711,209.705576111	2	tan	0.08	308000
325861	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.545360102,211.857137442,216.330086445,215.654242041,213.578664657,215.052626662,217.47986179,216.314861392,215.9731585,217.751178571,215.796581646,218.014376726,215.895639457,219.100831689,218.368204457,216.126462941,219.180981987,219.590247295,221.15751478,224.610713629	2	tan	0.08	308000
325970	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.763849505,188.889756611,190.125718106,189.76861759,190.375797782,189.99514216,190.095096113,189.247644387,189.55850604,191.091585057,190.08095925,190.323233058,189.96313765,192.073288417,190.298318395,189.630626315,190.382547825,192.497001115,192.921078988,197.082576039	2	tan	0.08	308000
325077	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.444900763,178.778131663,176.864844688,179.165014156,179.067737389,180.348291159,180.149294951,181.191202931,178.398783158,178.404968119,178.739370915,182.013775653,182.702222843,179.586709643,180.538856562,181.530335362,181.193343675,183.347188417,182.812613414,186.119742924	2	tan	0.08	308000
324536	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.837792127,184.029111754,184.365040613,187.022459418,187.626422951,188.201444272,186.540546405,189.096959622,188.126451229,189.152680441,186.192314091,189.131647685,189.31129562,187.830577593,186.430901957,187.134229457,187.169390342,189.578554048,191.9783292,194.499263539	2	tan	0.08	308000
326322	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.728379347,184.391995307,186.782106131,185.275586135,188.904412419,187.133764164,187.337380141,185.866848999,186.677327264,187.643195175,188.030301944,186.362246921,189.268754503,188.000368196,190.645893686,190.935784749,191.203594856,190.361953723,192.108392471,196.10022272	2	tan	0.08	308000
326370	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.574086129,200.972532448,203.666035513,202.878591374,202.05108238,205.078411843,203.957139171,202.949997211,203.804273701,203.727946696,206.018575923,206.246291672,206.797683928,206.582352943,204.622624289,205.331338097,204.240296365,205.251375998,208.507805849,211.818878884	2	tan	0.08	308000
325657	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.704383191,187.21716349,188.186884419,188.063661387,187.704465363,188.557418906,186.940447473,188.733708093,187.613836996,189.584897029,187.685942447,189.373798536,188.482680447,187.942595094,189.120720725,190.950064445,190.863531916,189.422788459,193.527588011,196.465524231	2	tan	0.08	308000
324370	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.842377857,210.142751643,210.520067332,212.153422666,211.244845394,211.768972826,213.909241194,211.843221249,213.698770355,214.418813247,214.463109019,213.722742807,215.900970876,214.303866063,214.941667428,214.52411401,215.76643768,217.551417607,216.561468831,220.212387994	2	tan	0.08	308000
324958	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.539748894,188.640275779,190.812331037,189.940162383,189.318678963,191.549059698,189.610294108,191.076196777,191.204275014,189.733034799,191.475964866,190.539261266,191.063992933,192.651916837,194.526233895,194.211928841,191.322056213,193.446295589,194.85392714,196.187809598	2	tan	0.08	308000
324608	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.401908286,190.942857785,190.980278203,193.730304185,192.193610136,192.599728143,195.502668576,194.318818272,196.427583056,193.726717273,193.745473095,195.397422668,196.12870046,196.672866589,194.99019449,194.612188886,194.378171448,197.962169535,199.100919394,202.037892208	2	tan	0.08	308000
327420	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.007670595,180.390976485,183.507595455,182.187201559,182.730997953,184.89647042,183.231388456,186.00283169,185.091315382,185.461782099,184.761421821,186.656913698,186.833998618,184.862935277,186.995663798,188.400170487,187.162760432,187.333958484,190.045576846,191.345990597	2	tan	0.08	308000
326165	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.537768371,210.615123294,211.744166056,213.040966758,216.178756604,215.371173176,216.555191683,214.833658335,214.690925376,215.09832445,216.439786674,216.828427485,216.32377989,216.348845435,215.107903534,217.612236909,218.430812462,216.69581154,220.584581031,221.44241643	2	tan	0.08	308000
327668	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.966834151,191.128983797,188.960783586,191.816210348,193.075054156,193.119543827,193.961634305,193.500869177,193.319771194,193.474841692,192.680914001,193.664957868,191.504271358,193.476105124,191.611088957,195.767476514,192.245287771,192.884724887,196.978186579,198.219136747	2	tan	0.08	308000
326642	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.840659662,190.641303231,188.917458626,193.144107867,190.08528098,190.401039399,191.012710219,192.265968739,192.899357143,193.258090164,192.590212944,191.827187372,192.386021982,194.699022985,191.813664386,192.286818685,194.120754975,195.609228535,194.504733967,198.556809479	2	tan	0.08	308000
326020	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.777011155,207.567256312,207.960716511,207.537032814,207.373626207,209.244310258,207.239959573,208.340855778,208.148904466,211.351446297,210.051204871,209.426048224,208.087916011,210.64484394,210.984794566,212.123879575,209.120167211,212.278582991,211.163821596,216.093837556	2	tan	0.08	308000
327886	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.1248409,213.009063091,215.124091068,214.007696488,213.946188438,215.601642453,214.963244219,215.971809468,216.500396603,213.924284236,216.261074973,215.392325323,215.727538779,216.570519958,216.941167358,214.616930661,218.54403403,218.895915575,217.281569428,221.434680993	2	tan	0.08	308000
