ID	X	Y	cluster	func	noise	original_trajectory
309278	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311785	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311653	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311805	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
310447	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
309469	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311349	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311728	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311721	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
311015	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.686248485,196.833477183,197.954467305,198.549277339,198.931573437,199.208306768,199.426318281,199.609798789,199.772998768,199.925456243,200.074543757,200.227001232,200.390201211,200.573681719,200.791693232,201.068426563,201.450722661,202.045532695,203.166522817,206.313751515	3	tan	0	308000
