ID	X	Y	cluster	func	noise	original_trajectory
159408	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	85.4896938292,133.921224486,154.121692435,178.602340467,187.607480696,192.373931962,198.581010137,201.930823197,198.849298945,206.887824373,208.506676649,205.468810163,211.476834646,210.193302308,212.851192931,220.036120585,217.094528134,222.719298099,214.182051956,224.434341172	2	hyperbolic	0.12	132000
159256	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-121.893340998,-70.8368910366,-38.59865238,-30.4381829701,-21.3177562455,-13.2694362432,-6.86068175613,-4.16568981458,3.97906247985,7.00654486948,9.66352201907,10.1851570459,12.9541653717,12.2482403967,9.7730863595,16.0806868921,17.3445227197,14.9290448739,17.6397239796,14.5054606225	2	hyperbolic	0.12	132000
157332	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	94.2844504382,145.513740637,169.563274113,185.300815665,198.831169903,199.947712129,208.286362719,208.620560211,212.4489046,217.434399017,216.076799363,217.586522859,223.460470205,220.962473565,230.155110814,229.871000187,232.067700822,234.10877578,230.679633676,234.268277003	2	hyperbolic	0.12	132000
158279	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-88.3962531428,-38.4377664062,-12.5229462115,-3.04170357646,8.19494667261,11.8811916727,23.828202234,22.884591665,30.0431706157,30.4978524683,29.8426205707,31.9076837295,33.5008834765,42.2314229355,40.2749235552,35.3918032957,40.2201191544,44.4939257916,47.0285994485,40.1601675451	2	hyperbolic	0.12	132000
157437	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	98.6206731358,143.228382188,165.322322158,179.978284994,191.069997648,198.632672463,204.320486571,215.745621264,217.769580922,214.940407618,218.386162975,220.861016194,228.073974147,223.195817364,230.800945321,230.390094661,226.217877997,224.19729824,229.100391002,232.993209868	2	hyperbolic	0.12	132000
157219	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-40.5438000085,16.8817654925,38.7451672679,51.8295527944,61.4350053229,68.9354036542,77.7715270388,81.7335400352,81.885421586,89.5914545121,91.9978509097,92.3963144121,93.2169254192,96.3924099511,98.7169858532,95.2677764997,99.283494027,101.463372844,97.3607039036,95.7391261955	2	hyperbolic	0.12	132000
156712	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-55.4554379942,-7.21441911879,21.1188000707,27.8921957259,46.0547558985,51.6368003555,53.8328796719,57.9046137634,62.3690620043,64.2276939442,69.1225409634,73.9349178221,68.0259867626,72.3465585962,78.3039315695,79.5032872097,76.3900742151,76.3170091167,74.4617272942,80.7243441242	2	hyperbolic	0.12	132000
157310	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	71.0760192808,116.551332729,143.308623891,161.453781862,165.934511653,178.875321007,182.343685441,186.073085822,185.658995048,192.013664297,188.52121639,199.451526715,197.076016352,196.640032515,199.24194086,200.59088038,200.780361285,205.507934243,206.322664665,207.971231583	2	hyperbolic	0.12	132000
156924	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	34.7888182845,80.3830822518,101.680339772,122.758068071,126.434021386,139.867305919,145.012247383,141.926004037,151.749756193,150.904215001,153.705626921,154.160531987,161.40755806,162.991104233,157.728153466,159.799455915,160.207761608,161.026523264,165.690454134,168.721695697	2	hyperbolic	0.12	132000
159686	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-62.8317341822,-13.1102956026,9.95286004451,23.9826558402,35.5048746915,44.0294546439,49.5066658126,47.2889728231,56.7694986137,58.5686724862,61.4694875133,65.8313220313,59.133740601,63.865238964,63.3677698006,65.0419621487,72.4141477815,67.1126831086,71.9959950567,74.5605595618	2	hyperbolic	0.12	132000
