ID	X	Y	cluster	func	noise	original_trajectory
159794	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	92.479214657,141.888604473,168.08576815,179.085739185,187.29035736,198.629962538,200.905311331,208.932681526,212.79557225,213.631207317,208.25069577,218.056697708,219.473487818,215.528767478,219.529186469,216.769392782,222.803138202,220.811709737,224.804063825,223.332548332	3	hyperbolic	0.12	132000
156068	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	36.1462782513,81.1399879516,115.001497764,121.409946456,140.324355131,143.311815337,151.201711579,151.507396412,155.375110951,153.232518433,158.207503306,158.67175293,162.483759905,169.096804569,162.57934071,172.017528907,172.394500332,165.011114813,167.59769252,166.899646962	3	hyperbolic	0.12	132000
158614	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	7.48055265175,56.1277754738,83.0718826909,96.7562474585,111.968806503,113.164026176,123.972933829,129.421960534,130.187173491,137.435521459,136.413202696,137.304542651,136.145976803,136.41849614,143.868465201,138.000784428,143.729506244,145.952536862,149.944829249,143.936700237	3	hyperbolic	0.12	132000
159561	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-72.1770346916,-21.4417047357,11.7028373862,18.3569914269,29.1343296915,38.9624861962,47.7690489265,51.5904545736,50.2637705436,52.2352308642,54.2761045946,59.7216453308,62.9496360533,65.5513744725,67.1754436527,68.5505133272,67.9700858332,71.8164640477,64.7866465847,66.422967926	3	hyperbolic	0.12	132000
157982	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	79.0694928856,135.238280164,156.627393385,169.395167239,185.442580811,189.059418356,192.719776218,199.230347575,202.883096021,200.117830596,206.188565785,208.353218829,212.366868635,208.241008411,213.802279762,214.928359287,214.771003897,215.854187348,217.788442374,218.15036189	3	hyperbolic	0.12	132000
158393	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-127.569851659,-86.8814155694,-54.7278772753,-45.0709705028,-36.8756486452,-25.7087758449,-14.6297123213,-10.5451780975,-11.601170166,-11.9417699803,-7.92010532946,-1.08116916845,-3.77628999377,-3.5957587661,4.26653248774,3.51857607028,2.96371081998,1.25319808842,3.50397714797,6.63818007529	3	hyperbolic	0.12	132000
157765	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-58.3692209418,-0.456804626174,16.9736009655,40.5779414006,48.6076499014,54.9874751914,57.4963130039,63.3032613753,61.2813668032,68.1424462874,72.7771569936,69.4568193818,75.5694584232,78.5818608831,76.0888507086,82.9091073784,82.8537465322,78.5909707202,82.7718712432,81.7299213239	3	hyperbolic	0.12	132000
157312	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	2.62775451306,52.6990719206,74.8762527159,99.0967374543,107.800664541,116.262008744,119.998599749,124.036424739,120.410907081,130.296349846,125.61687509,129.026895909,134.201435538,133.396990359,137.942457154,136.193089072,135.527374146,142.800490771,135.27914462,136.24947598	3	hyperbolic	0.12	132000
157810	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-49.6865072684,-1.49889836061,23.6991946906,41.7591858752,44.9643151087,56.8958789242,60.1161171815,71.6793409113,69.5870443484,69.7439941149,74.5934956575,79.7507430187,77.1682315503,77.57856704,86.013524782,83.1587590887,80.8135695409,81.6408177968,83.6734310885,83.7663879473	3	hyperbolic	0.12	132000
158525	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-59.3703270721,-17.1836952499,16.5541202804,29.0080773432,32.5402388998,42.6162128654,53.4602028431,56.1704846133,59.9104814528,61.6404279788,64.0339980946,63.987438083,61.365157112,69.1632948464,70.7774497913,73.0934691653,69.6531105893,70.2456601168,72.2465001023,76.8243769685	3	hyperbolic	0.12	132000
