ID	X	Y	cluster	func	noise	original_trajectory
334042	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.632271076,195.407691269,194.820288339,193.044639667,198.079218598,194.026324065,195.472047941,193.498574284,193.19517757,193.575527872,193.458777419,193.55184015,198.337262573,199.241575595,198.479432321,197.051116292,199.659349431,200.737726394,201.672420108,204.554213657	1	tan	0.12	308000
332842	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.172990939,205.211531961,206.46166304,209.246148935,209.248157673,211.201598109,210.578806719,210.814168612,210.648895358,208.623632035,209.347418462,211.915552501,212.286318576,206.77653632,209.458307426,209.291329924,211.406896971,212.804685197,212.166193568,212.593341768	1	tan	0.12	308000
335535	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.423888056,205.571219408,202.602537501,203.299499935,202.927262182,205.039417728,206.48670968,206.38103815,207.460090463,205.237865493,205.405170098,206.494140087,205.300884308,207.668297991,206.779129917,205.26164007,206.740453445,211.496209404,212.199750136,212.642408153	1	tan	0.12	308000
334065	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.190687468,200.856571689,201.549981112,201.868380851,202.260651474,198.936659416,199.384630798,198.624894416,201.319991862,201.216404469,199.284552143,203.640883517,202.895810718,203.902379598,205.06808269,205.273456367,205.442932427,205.200105526,206.64270374,205.509706543	1	tan	0.12	308000
332759	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.29108266,209.950539379,207.776670224,210.779175922,209.608508306,207.499420997,213.043063131,209.781188921,207.965090135,208.140507792,212.295349397,212.061400416,213.474335307,209.785678978,212.103084474,209.392132094,211.717608226,214.535251408,214.929029809,217.559000145	1	tan	0.12	308000
334373	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.055426808,182.097791238,180.868626635,182.832009751,184.646229977,181.312395268,184.957785291,181.83352745,183.392913626,186.20704415,186.471105372,182.389200451,185.878063519,184.171536042,185.461296028,184.008482225,186.895853451,184.209278352,188.440505756,188.407423313	1	tan	0.12	308000
332161	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.975302284,212.365364203,209.063564995,213.406491896,211.634720457,212.778430783,211.018957211,210.750337705,211.568679818,214.27047617,210.934407507,212.837533588,214.725091955,212.659347616,215.234836237,214.514151232,215.195940536,216.874309113,214.496720468,216.722131437	1	tan	0.12	308000
332121	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.657789196,192.88676906,196.004821111,198.111415147,193.572952518,197.248252338,196.354701017,196.628654729,197.945665402,198.125394857,198.543410577,196.166722249,197.821260099,199.683974054,195.743605758,197.801461303,201.835443868,202.248318222,200.582609791,205.525321518	1	tan	0.12	308000
334465	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.895978797,187.015579454,191.862185209,188.236493181,190.249176211,194.03973508,188.361888775,192.128614885,188.762477316,194.55599026,189.517623695,189.177936841,193.602880094,189.478535789,192.366643823,195.017324589,193.908288579,192.148828326,192.604812306,195.222696146	1	tan	0.12	308000
335513	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.627533558,201.962834437,205.326548661,206.193500398,207.054722126,208.108609719,204.264642778,205.660303454,203.908805602,209.085126727,206.098892411,209.440306774,205.687156002,207.041336249,208.128532068,206.137974157,209.434943436,207.070086712,209.939816846,212.844691023	1	tan	0.12	308000
334498	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.332971146,207.539979268,211.859874989,210.664691945,213.855656867,214.238206798,210.730485632,214.509059504,213.982487544,215.022780327,211.709240801,215.656558384,212.620284201,214.128631617,212.899473701,216.257828364,216.777304304,214.92568034,217.188467762,217.043349392	1	tan	0.12	308000
332881	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.577286443,209.303554438,210.933150513,208.991975262,211.348148793,209.764021199,213.784416875,210.201553066,213.864333057,215.285222712,213.995946838,211.314539652,215.134463335,214.172794188,216.176592722,215.974963738,216.975131255,215.782144349,217.389797061,220.713407236	3	tan	0.12	308000
332466	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	215.07254959,213.524691501,215.206537477,218.131792999,217.611663826,218.624509709,220.034631324,221.614622345,221.8000276,222.075850375,220.357173685,217.392182296,220.594044406,217.950343142,220.89188452,223.056755698,222.575604692,219.909817759,220.927029707,222.756601339	1	tan	0.12	308000
333921	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.676521527,179.40308586,177.331136898,176.072053615,177.350906773,180.731609194,180.228381262,179.587772231,176.79412029,180.372962614,181.847290427,180.296601431,183.160497426,179.366739038,182.316716013,178.903704917,182.67360246,182.269475315,182.071976598,184.536354971	3	tan	0.12	308000
334224	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.704567038,187.08475117,187.795125897,187.053204042,190.608202754,191.084595179,190.24328154,189.21803609,190.426533729,188.17362309,191.81891871,192.022156685,189.975920872,187.816300975,193.130463304,193.051751352,191.78970868,190.425569418,189.718645976,196.728873589	1	tan	0.12	308000
334056	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.664095108,188.386437045,193.87764835,192.308995723,194.251719526,195.813709712,193.39852335,190.487835033,193.545153176,196.522693653,191.656553264,193.204354028,196.575728282,195.91250019,196.43331883,197.792490109,194.026939692,193.006574669,199.363738725,201.972269826	1	tan	0.12	308000
335275	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.953922248,207.556790297,206.452237281,209.73125392,207.707653419,207.225781984,207.204019884,208.737463955,211.777573886,212.271134708,211.339867876,212.669369341,210.247472466,209.759787487,211.393602566,211.420640519,213.708537705,212.029347031,215.500592166,216.707283115	1	tan	0.12	308000
334171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.776017138,191.013587581,195.679720506,190.736309687,196.01173976,194.291275608,195.039246917,194.959236671,195.863556263,192.888539995,193.271242218,193.137250244,198.070162137,198.290479551,194.331228215,193.192406932,194.667999906,196.984864946,200.409075863,198.335653123	1	tan	0.12	308000
333671	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.370415121,208.583002639,210.980860468,208.128993112,212.917681726,208.707930248,209.774984765,211.769917729,209.569257838,211.806481483,211.157628329,209.818558848,214.291704107,214.535615347,215.289121264,211.664533826,215.736827735,212.103909991,215.459047486,220.04760148	1	tan	0.12	308000
333571	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.459882563,205.149045048,204.47598814,206.870488339,204.593468068,207.049933772,207.800512738,207.423822943,208.203898097,205.219317425,209.371091143,208.640091615,204.187689095,205.930855732,210.199929937,205.022054581,205.791506377,205.884285076,208.928129757,211.584057004	1	tan	0.12	308000
332168	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.774664763,192.065047601,188.963987504,193.490939216,192.90987089,190.628989533,190.620713371,192.937120797,190.337955778,193.567295278,195.015387749,193.337542563,195.091154301,192.398057743,195.640836242,193.219810651,194.567612996,195.235895853,197.101104238,197.32151699	1	tan	0.12	308000
334991	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.634057746,195.762604615,196.788246818,196.3452105,200.491218394,196.374831873,196.16353448,197.084259725,199.201096127,200.747320483,199.171907429,196.699270891,198.753021032,198.696399316,198.318853304,199.687105941,202.921320901,204.001173006,200.986805418,202.717700956	3	tan	0.12	308000
335025	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.305224937,199.224579084,201.824614223,203.95827728,202.72179547,200.559387082,199.81644227,203.920445317,205.427979234,201.631833471,205.696652677,201.7206612,205.189517023,202.790272883,201.381678733,206.846169477,206.42944029,207.303938138,205.903066164,206.941915822	1	tan	0.12	308000
335562	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.55645062,212.208753987,212.3441326,215.840505128,214.558885474,216.837482155,214.467453735,218.081237829,213.667617376,218.066138012,217.809405146,216.125635682,215.25134766,216.870764892,215.317488313,214.874518531,217.361847505,214.785996773,221.422416327,220.629348025	1	tan	0.12	308000
332888	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.262580662,195.934436459,198.447664285,195.639498963,197.358080685,197.277191652,196.930874329,199.505055,200.000739223,198.879002468,197.307483691,200.520972916,200.893533955,197.17787973,200.352248652,201.362835899,198.453193939,198.530693707,199.999499859,205.150399984	1	tan	0.12	308000
334305	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.556720545,196.962168585,203.229054438,203.329561869,200.059670933,202.578252623,202.242138864,199.9535477,200.953986732,202.904100946,203.255322776,201.11831779,201.16398111,203.593445828,205.692458374,205.414554467,203.149223715,206.206851227,204.643301822,209.810431652	1	tan	0.12	308000
335939	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.829009714,187.746909562,185.304169292,187.388613742,189.632597956,186.447029855,189.913629473,190.751542967,187.800062192,191.413808274,187.349965382,186.776025348,190.05769683,189.816397843,186.926970466,187.619476528,191.172783565,189.607195503,191.399977602,193.99617846	1	tan	0.12	308000
332386	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.674427727,195.8145557,195.444813117,194.43676852,195.741609439,196.189749253,198.214793378,198.061757645,199.927031645,199.921837444,200.264911533,200.759865658,199.529127728,196.437040858,197.573712624,198.642843322,201.929316666,198.466146781,199.184961509,207.089026164	1	tan	0.12	308000
332505	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.570419505,210.970863745,211.981456843,214.136707685,212.537319676,217.685290733,213.957851295,212.301655686,216.791469125,216.007683241,218.402822158,213.666981106,216.097473302,218.444959206,218.65077427,218.698793969,218.325252367,218.576090618,219.509437531,220.333889969	3	tan	0.12	308000
332999	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.569337624,179.75264407,179.779060474,184.913282302,186.313415153,182.996871708,185.690277356,182.078286619,183.684617139,187.072458264,185.361186134,187.325288301,185.886434192,183.192995691,183.561732639,186.938804316,189.122933351,184.858732504,186.984275929,189.320636866	1	tan	0.12	308000
333959	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.338500593,207.958231461,209.146196032,211.684440642,211.324275054,210.436752572,209.881016835,209.825914259,208.541390314,212.910042923,211.532522038,211.883334471,209.885138325,210.451175926,214.515720535,211.728028473,211.532885468,213.309959518,215.146743515,219.659912286	1	tan	0.12	308000
334225	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.27802538,181.445451459,183.452166111,187.058956165,186.058547172,187.35686769,188.079107175,185.806283341,189.188940377,187.434111388,186.024123447,187.590589517,187.553594131,189.971516295,187.801728751,189.856514446,189.502190866,192.605529737,187.853367511,195.855895357	1	tan	0.12	308000
334057	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.097423699,193.813143438,195.254780376,196.905501535,196.182759253,198.877897522,201.363948972,197.026856819,199.043557105,197.619563278,199.30692541,201.730785199,199.310660264,200.357086285,198.625303662,197.946102062,201.320956498,199.54242168,201.016233515,205.4731495	1	tan	0.12	308000
335364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.958961313,203.420521676,206.5081641,205.012218295,206.930922503,207.41097891,205.684799497,204.079625321,210.045575265,205.997623014,205.52714679,209.683720159,208.059917955,206.994188965,208.927803337,207.49381758,208.52343112,210.043824739,212.600430442,212.39447765	1	tan	0.12	308000
332334	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.159128385,213.745502609,216.49129634,214.41598674,217.804763253,217.070895028,217.528411019,218.570578405,216.576214452,218.477130115,219.653935868,217.976834336,215.914742229,220.36189417,218.937968375,216.002106072,219.179024214,217.224931001,222.53753234,225.248833919	1	tan	0.12	308000
335194	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.969639402,214.274999069,213.907784024,214.306274562,214.128508581,215.449543215,214.974045293,215.225371977,218.583264439,220.170601159,215.184723528,217.133290783,217.055950699,215.397281572,216.352586232,215.644611524,219.139241784,219.680401879,219.490113322,224.045833227	1	tan	0.12	308000
334227	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.154743251,181.299215123,181.843966815,183.92120666,186.760586054,187.669340188,185.504048307,188.536324011,186.854758786,185.35405981,184.17639662,187.645989275,186.212034431,187.660801148,185.941203692,190.252368913,185.200886485,186.386865799,188.812914794,191.044765595	1	tan	0.12	308000
332107	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.138067883,213.523788308,210.440292673,210.983285052,213.028892809,212.241298757,217.045191146,217.610645888,215.664901718,216.287614989,214.245485412,215.377036829,212.871872921,218.926249193,218.122577156,215.861462367,218.917351663,216.871070352,217.776242785,223.134413601	1	tan	0.12	308000
334254	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.921794183,202.713502109,197.961620175,199.236963824,203.529893965,202.394587665,200.338736177,199.966048828,204.842329445,203.742608141,204.135297321,203.933376095,204.448034978,203.962856626,203.093506551,203.858734434,204.700534656,202.120684815,206.519437835,208.715237643	1	tan	0.12	308000
335369	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.045980291,212.27324928,209.646031456,214.333178053,212.435410965,211.387024043,213.652227764,213.780013472,212.427175302,212.285130872,216.373277899,216.535856005,212.490471121,216.196516211,217.207878145,213.625257146,213.134614483,214.087370803,216.150965741,221.513257281	1	tan	0.12	308000
333587	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.767489581,207.664839208,210.344946243,205.732279629,211.324144777,210.173831111,211.351613728,207.520447457,210.584102437,209.489382078,208.59267085,212.473023172,209.693075431,213.58654064,212.550904811,212.218694602,209.975432091,214.491604247,215.600493432,217.666115287	1	tan	0.12	308000
335182	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.718017554,209.617148976,208.938624235,206.514062134,211.211091987,207.824537227,207.73111465,209.787067273,208.980279938,211.677337711,211.241500054,210.152001165,210.263075894,210.924283152,208.63245882,214.104551099,211.667937474,209.803976247,210.676835202,216.832885505	1	tan	0.12	308000
332514	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.195998357,195.768086169,197.625804698,197.96251965,200.050589754,200.438802865,197.01367335,200.218412688,199.635106723,198.665007278,201.898394103,201.594306245,199.272887188,198.971684358,198.602772118,199.100458519,199.685273854,202.373543614,204.421079906,205.842149427	1	tan	0.12	308000
334381	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.521825117,191.852042609,195.007149723,193.597598562,194.999073155,198.320712238,197.812408605,195.242827719,194.826851351,194.96789368,199.532406456,196.256717622,198.820944774,199.070783288,196.440355857,200.35184877,195.45607391,196.870128399,202.403758487,204.736401665	1	tan	0.12	308000
334214	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.950805916,203.038539984,207.908252811,204.03182834,209.394053091,206.587253869,205.615969366,207.469507351,209.847765797,211.107895853,209.922756328,209.021600964,206.545491,206.742519969,211.58927589,208.288414159,208.010425552,210.301753713,211.915815629,214.620307953	1	tan	0.12	308000
333250	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.057390061,194.395838159,192.385349229,193.919759819,194.1598986,195.985285333,198.211155745,192.697832546,198.377103489,198.721489183,194.028522839,196.058251322,197.577260204,194.18736727,194.001659179,194.562291817,194.307505638,197.374617595,201.839732452,204.451016493	1	tan	0.12	308000
