ID	X	Y	cluster	func	noise	original_trajectory
164334	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-0.734867909132,43.9068711751,76.0341014992,95.3253789186,98.717195092,103.594722062,118.688054209,116.067531493,123.674973625,118.872181923,121.447472678,128.045180901,129.95164586,135.803134244,134.472481055,129.359949177,135.938746172,134.388276415,133.989650736,129.780000147	3	hyperbolic	0.16	132000
164866	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	94.0976332699,133.341250623,164.071011955,182.313543235,188.311402002,198.987507912,195.218321567,201.588202111,206.875680989,206.359544748,215.697109798,215.726924184,223.719781163,211.855354098,225.223418711,222.180682069,215.140643564,221.997942719,228.2604992,230.522582706	3	hyperbolic	0.16	132000
165128	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-4.85553027019,38.7660709475,75.1730089486,87.5442811221,88.2491972688,100.886427928,104.156453832,109.902340971,121.75577168,118.063543872,120.36614112,121.757732974,119.519147608,121.755030685,129.798598004,132.331027633,124.55119372,125.566649664,134.548359244,136.779974058	3	hyperbolic	0.16	132000
166519	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.297682811,185.666030123,205.790851185,226.638483233,223.814473978,241.38627277,238.362082127,244.768265304,243.729974597,257.234395248,255.105995727,250.539445031,261.099584545,254.023268375,255.005884058,261.051011082,263.730346289,267.055468415,261.900867592,270.434585992	3	hyperbolic	0.16	132000
164318	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.9080216401,143.87361446,160.280821479,179.313383447,191.990117888,203.753321354,204.54232331,207.591660271,211.119762167,208.615423803,214.630789584,217.558489438,224.50928363,217.934989844,216.358715263,222.65540783,219.631838449,221.421361133,231.166215115,230.305681815	3	hyperbolic	0.16	132000
165381	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	51.180386383,105.5075362,127.49229788,138.462782527,153.938777535,164.55955109,167.06011629,161.400190064,173.949705025,178.147717554,180.278456532,182.456577975,177.764798676,183.762329998,179.871010854,178.832224291,188.836917684,179.443894789,189.707657425,181.422731357	3	hyperbolic	0.16	132000
165689	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-113.634346165,-54.5048717889,-33.8783325527,-19.1774708627,-6.32330477072,0.387862439,11.2836458302,7.18335142725,17.97662931,17.2153530079,24.0417297909,25.2580340269,26.3239797839,21.3413018704,24.4353260384,23.6435032154,25.4410324142,23.3020431946,31.881067175,30.9799469886	3	hyperbolic	0.16	132000
165402	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-118.316495958,-66.6470070507,-39.6948540173,-23.2773060995,-16.2569569359,-7.07771603858,-2.62986161703,-4.83635491427,-1.30641640998,6.57987019745,4.66290375314,11.4354926107,14.0970255464,15.5276827957,12.404963386,19.0703855569,11.9924468365,13.3717958067,12.3811068479,14.4987258388	3	hyperbolic	0.16	132000
165304	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-96.7895408532,-54.3733822701,-26.1476185741,-19.4039663805,-8.32125891238,2.73400029654,4.1859378796,6.25759403166,11.0688270675,12.4840421572,26.1496531935,29.1768822816,21.3076304728,33.0863119807,21.2725348226,29.3509154783,35.7720254268,31.4497192772,30.0816370227,28.8835928588	3	hyperbolic	0.16	132000
166775	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	75.2393979822,130.073787998,155.26719366,167.563960516,168.753754239,182.674794617,183.106520485,197.214486808,197.435975373,194.429824818,203.942489488,205.86516945,201.883896267,202.167397048,204.042460028,208.368134512,201.128708936,209.645333876,206.994001413,215.098751463	3	hyperbolic	0.16	132000
164709	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	0.457326438731,58.2004425182,80.7075452063,98.395158379,106.029598675,117.02412176,110.984653687,126.213238221,130.30589612,128.607470306,130.515194612,126.107514883,139.289413605,131.25943425,140.052603661,131.256287463,142.472495733,135.167140598,139.854830098,138.899218909	3	hyperbolic	0.16	132000
165504	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-39.0783920866,-0.68292052215,33.5943391127,42.8473359035,48.3402182184,57.3126454549,71.4220775946,67.0087292806,70.3652972807,83.129970905,85.3656430432,79.8702440497,89.1717931555,79.2273695068,80.1338333885,84.0953472566,92.8196511484,84.6879160539,89.1300857418,90.1887825453	3	hyperbolic	0.16	132000
164258	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	35.2378589943,88.989601951,119.739619078,123.121416228,136.125456159,151.624899335,156.207233507,156.888744139,158.733451206,164.773902873,165.370729585,163.669734389,160.79999134,174.189014048,164.605755097,165.677663432,177.39731869,171.408693154,179.731713536,174.647425868	3	hyperbolic	0.16	132000
164453	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-120.384089633,-69.6089132626,-53.6193778819,-29.0908910457,-15.7683216312,-19.9076276166,-7.35929852857,-3.29489617273,-5.22366347115,1.60266515464,7.25595355796,4.21880682048,3.47258440344,11.4519305948,9.78809311289,10.4564539946,4.82717900795,13.2122886568,10.5655997879,9.68937706514	3	hyperbolic	0.16	132000
166469	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-101.635923557,-42.1122895965,-17.4181896877,-9.00815720031,3.36778497851,9.43230413587,15.8993539822,20.7188649445,17.6975276993,21.972045981,23.3259790489,28.5864066257,36.1779448398,37.2739609349,34.6381884669,39.3384801655,38.7365317997,37.0453209631,40.0691108953,33.9638600856	3	hyperbolic	0.16	132000
167521	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-10.5436722946,40.8467241152,65.1420268967,77.6296080156,90.5623490105,97.4363647979,93.5142505172,99.2654298844,111.254954412,104.51656918,113.108118445,119.573753176,113.133212121,118.072991018,119.369661,117.475090292,115.287712782,118.536082139,119.39467386,126.189648841	3	hyperbolic	0.16	132000
166493	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-29.2625098197,24.6617577965,49.3652212609,70.5970206156,75.233551268,85.9565376949,88.142988106,90.56719854,98.7210865645,92.616230086,106.192098061,96.4293151734,105.358156818,109.237007277,110.252987639,108.687699434,102.722979024,104.235813673,116.453381044,115.936409319	3	hyperbolic	0.16	132000
167048	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-27.1939700263,21.786332312,47.8991039548,66.9477042667,74.983937746,76.7679894999,87.0174729295,82.121422345,84.7592569094,85.9517374872,94.9993826899,93.3542442272,94.1441446918,101.328073947,100.950735681,107.56563815,108.660232569,103.973929858,100.66165038,110.922181962	3	hyperbolic	0.16	132000
165677	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-39.2279575752,16.5941859066,35.9160849569,51.7205059361,63.2232145936,76.4555550456,79.6674171073,86.2082379942,92.4846721112,85.9622520467,94.5925806601,89.6517518269,92.5697240017,92.2120529983,96.7736279306,102.09524496,96.0400391656,99.0980474448,99.4267502068,100.416962625	3	hyperbolic	0.16	132000
