ID	X	Y	cluster	func	noise	original_trajectory
165421	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.8229595556,101.348195781,120.835234326,147.370415456,152.583441607,152.302001151,165.94783246,167.645301218,175.426635309,173.085896577,173.487602527,173.732178741,181.459668457,187.573874777,180.295374406,189.142952489,185.088191367,187.362120529,182.532508444,193.002980851	1	hyperbolic	0.16	132000
165741	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	70.1190511066,118.709787276,146.101812168,165.36583552,169.342986769,180.145599101,188.78993282,186.369059333,183.340484567,195.640508504,196.290131613,194.675915915,195.858434745,197.038983401,206.46753122,196.678783927,199.141224458,208.736696733,202.492378799,208.914539741	1	hyperbolic	0.16	132000
166632	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	122.201141075,179.588774739,194.85131653,220.882825173,230.861716328,235.98423418,233.398293811,241.908202863,251.034010737,250.541554399,253.425994655,248.702685146,247.581237837,250.860743604,262.74856156,257.581970456,253.126317308,254.292354916,262.099288726,264.476202433	1	hyperbolic	0.16	132000
164630	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	2.55764632532,52.7956219001,79.0421421825,85.8262653413,98.8752098801,104.742585468,116.294336219,118.024276186,113.642564639,126.946762789,125.583560532,120.96278227,126.282875178,125.782074017,132.114966175,136.978420988,133.645378411,136.595094277,141.315283865,131.714767475	1	hyperbolic	0.16	132000
164427	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.3850267832,96.2881023057,122.181100915,145.085546808,146.690445213,157.484622466,162.744883112,168.089555247,176.2518316,175.069019609,184.074510969,177.30319584,180.85326451,183.801949257,179.117046163,188.577859978,185.045140558,182.412769762,187.902704604,190.578676054	1	hyperbolic	0.16	132000
164802	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	9.16118688225,58.0450743578,81.6114100929,93.3171712875,101.389743186,104.229979383,109.822067538,117.64770759,120.518655776,122.267874353,121.129200643,134.5160327,129.013714522,127.683204932,131.293602759,139.546614244,138.773991258,141.668256674,144.332960346,137.223868357	1	hyperbolic	0.16	132000
166417	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-21.7458370828,30.3162898198,55.9141764084,61.9904925328,81.4263179353,88.8165086811,90.619986969,93.3675227326,98.1951984858,95.1710153244,109.337230818,106.585538581,107.861643805,103.169140832,113.25592635,107.829301495,112.877718123,113.065114313,115.526334779,112.60516746	1	hyperbolic	0.16	132000
167258	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	23.3196398584,74.3847910254,92.3299875376,112.07371202,129.235319556,124.571950991,135.890455593,134.803315041,147.140775702,148.687115115,151.509531604,154.266253802,153.777720155,158.842824477,149.764905176,157.189265981,162.481356428,152.955143926,152.463326001,164.937858374	1	hyperbolic	0.16	132000
165425	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	64.8684695411,110.86069737,133.235419987,157.6649418,161.676830562,169.198327159,184.491956866,187.919757331,189.836250889,188.848912488,192.744078432,187.432918458,188.694634547,189.303206733,194.097733188,200.987893882,203.933729658,197.201292279,198.413407913,196.516552179	1	hyperbolic	0.16	132000
166981	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-137.454305402,-86.385520999,-59.704055815,-46.8091184944,-36.1474790409,-21.8209428914,-20.7746736687,-20.9008178894,-11.6791530844,-15.9739864628,-3.98023023351,-6.49136555956,0.842640396839,1.88845403654,-8.38881643018,2.36838560371,-4.44417089742,4.47139469516,-3.74993627396,-0.243689931286	1	hyperbolic	0.16	132000
164785	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	33.8549358,79.2935189806,101.462393271,122.67206831,134.901468454,140.747075241,142.160996354,151.134313969,152.129203018,153.614253981,148.199293213,158.032355856,150.903500598,160.894755672,157.824849962,164.496690571,159.280956253,163.303408689,162.498422032,164.981101345	1	hyperbolic	0.16	132000
167838	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	25.5870329118,83.0505653877,99.5889809736,112.245527174,131.650471451,137.129016629,144.071867705,144.307210789,150.018559133,147.938588262,158.112841319,149.364973603,161.83363155,161.573816788,164.134050023,162.954017804,161.884035789,159.202979267,162.488006903,162.177809219	1	hyperbolic	0.16	132000
165753	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-45.461417657,8.94691708384,38.8835105442,46.2913858085,58.7437641864,65.4143150878,68.73718468,73.8290289036,85.2831802961,76.768372198,87.0594199469,91.6290935743,85.681112805,91.0338767205,96.5201734751,88.7622388471,94.5528791613,93.9994453711,91.5542863813,100.168430931	1	hyperbolic	0.16	132000
164340	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-37.8308140895,17.687176688,44.0793855453,57.2760888622,61.3226047163,65.9007747124,77.3114950097,84.7219773209,76.5731617809,79.6762908614,92.430517673,94.6533611511,85.6853148194,92.9171280131,96.6187907017,98.4354611742,100.026247078,99.8498342772,99.9366752564,93.5318595146	1	hyperbolic	0.16	132000
164823	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-30.3874711961,23.9646245931,48.1831438976,52.02728567,70.2757453566,72.4235655244,73.6974776493,88.032649053,83.8334424398,85.0494369874,94.4708800254,90.3224416851,99.1696073637,94.1495483773,98.4465605371,101.06203703,101.403075452,102.524133274,105.288171262,96.9770296188	1	hyperbolic	0.16	132000
167078	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.9708246588,98.7951264432,121.848451708,138.889169852,147.032050421,149.797056341,157.768780123,168.694868521,161.744259735,168.899327956,165.93762393,171.765836987,168.879132567,177.808751947,173.171329488,177.806788148,185.003158012,182.593697469,179.379776966,183.210542152	1	hyperbolic	0.16	132000
167703	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-113.710518859,-76.505123467,-49.8459033293,-24.0198944837,-21.0857709831,-17.2829581112,-7.80280448747,-7.61452412964,4.65587478028,1.33046723168,3.75164082968,6.77854024671,13.2130032337,16.299431954,12.2653331005,15.2693067528,7.18413295791,13.2673454869,17.4851231739,20.3179411862	1	hyperbolic	0.16	132000
165987	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-3.77088698708,34.5366980718,66.6680445491,82.9153216567,84.3114751235,95.3493000879,95.8219783919,102.08653782,115.655900363,113.303782841,112.812784455,122.859560695,118.237840896,118.034361326,117.69047607,127.526288837,122.92008867,121.696441009,123.659748444,127.005938569	1	hyperbolic	0.16	132000
166614	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-21.8005401713,32.3716675994,51.9431713415,69.890144454,85.3413034655,85.498714881,95.4336387176,101.655816226,103.149478374,98.5978150523,104.123395848,108.528388937,116.982473548,114.845227467,112.658793478,107.723421771,110.642639314,121.702576244,115.117997266,118.671431533	1	hyperbolic	0.16	132000
164101	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	23.1467243426,82.2348020061,97.067785321,120.527890778,132.156460579,136.945930847,138.352640556,140.884459288,144.108484784,150.053208417,146.970322681,161.133169591,156.133931248,161.465944748,163.735265681,164.293799957,161.343359462,166.323495234,164.601841645,163.93605338	1	hyperbolic	0.16	132000
165682	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-108.279180982,-59.2134693166,-24.4836652003,-19.8444767386,-7.47503802578,8.91790659613,7.10954830383,15.3453916208,11.9098762269,24.1492713411,28.0517123253,30.0516930527,26.5243291018,28.1573114074,20.8419637569,27.1875531516,34.8991713964,34.0726603373,27.1287322735,29.3776528935	1	hyperbolic	0.16	132000
164798	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	129.948209909,181.688647016,200.222439669,221.49043138,227.768416869,242.290523479,243.345270874,253.03517417,244.009405369,257.11374932,258.553772147,260.4725122,261.955193332,254.70364882,267.505676332,257.003426598,263.369488218,259.94993757,266.470584308,261.779959592	1	hyperbolic	0.16	132000
164462	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-101.925835716,-46.1673337381,-21.4881548016,-12.5984918408,2.92128091101,12.7625906705,14.8375404248,24.0694717788,18.8538556564,30.844073207,27.6220584461,26.525940279,28.2945791467,35.2001412334,33.4182614679,29.0437159637,32.3770479063,35.5670446229,42.0975362125,33.7745588022	1	hyperbolic	0.16	132000
166018	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	100.352955911,156.717564409,183.012067925,189.060600307,201.934263312,216.522592144,212.844977712,223.290069467,217.804050627,222.388393034,229.013001215,223.041952945,238.04281815,228.210166834,238.848787126,235.500445179,234.347487157,233.217888165,231.784505174,244.497335717	1	hyperbolic	0.16	132000
166530	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	88.8058186393,139.683892214,164.380194581,180.381782222,184.688982542,189.459165845,198.094698429,202.294281915,210.681891861,204.472738483,203.177029872,216.614164595,211.102810136,219.913627313,221.760525655,216.164354887,218.884616758,219.139450036,226.108133172,216.398520757	1	hyperbolic	0.16	132000
