ID	X	Y	cluster	func	noise	original_trajectory
341391	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	173.476133843,178.123238602,178.405660894,183.276141182,181.210250235,177.742017143,180.267278188,183.77691733,182.219515611,181.231521167,183.138001554,185.951564374,179.551351895,183.823922337,181.960709692,180.889365969,184.850877048,185.491582148,182.448788445,187.397704072	3	tan	0.16	308000
342361	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.340885159,201.293454848,203.349960704,200.362120335,203.887175789,200.45309593,203.00938671,203.397568363,204.698135603,206.82672865,201.109149685,203.289364519,202.938373397,207.507426669,207.14057844,208.348565127,207.388832461,209.736401388,211.953832589,208.699425666	2	tan	0.16	308000
342625	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.733991083,199.432205026,203.777251373,203.982694569,199.47020729,201.251692708,204.358360117,201.010320424,205.201894369,200.528093311,202.048920254,199.609759698,204.794264616,200.695901184,202.535578195,206.96057003,199.924572951,200.295321148,205.937264374,206.02808256	3	tan	0.16	308000
342518	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.843812538,184.564482942,189.182939134,189.987602279,182.736338759,185.933664015,184.213209216,190.104469952,191.296223872,185.507634805,188.052752657,188.984518119,186.725437594,190.793751481,188.186267604,192.934920653,187.491080511,190.735580529,193.004220504,191.29590443	3	tan	0.16	308000
342899	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.286683647,199.398832637,200.685904352,202.782085201,203.544028394,201.494846682,199.924519163,202.158702035,203.099852231,202.434332058,199.577750158,199.811780134,202.981416968,201.31150828,205.292285258,199.468928146,201.948062458,204.568927043,203.502062327,203.953398927	3	tan	0.16	308000
342465	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.833228355,212.653358809,219.098311637,215.978442762,216.243277107,220.197119032,220.645789667,215.447400275,220.165275444,215.201271931,215.574560814,217.995942188,216.397752487,215.92388862,216.207505344,220.565019633,224.014729021,218.580428368,224.309957935,225.661568282	3	tan	0.16	308000
342331	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.139898243,212.458436059,212.243405095,214.652535174,217.71397446,218.80421298,219.853916558,219.263020221,220.277232066,220.071991527,218.410654968,215.819996037,220.665728997,217.433878864,215.089954771,218.519893919,217.047586637,219.214889097,221.236263369,223.928039209	3	tan	0.16	308000
341857	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.076091513,199.319498834,198.501594311,201.765492274,199.065770606,197.519240202,200.88558961,199.207145985,204.753111245,201.546335442,199.340571797,201.137816487,205.283187654,205.107766311,199.870268041,199.485340241,200.796128995,204.23668007,209.387681797,208.243373033	3	tan	0.16	308000
342471	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.649746342,191.768004892,196.711652267,192.747910173,200.78837934,200.310754852,196.905786234,195.883154129,198.720165712,196.025276707,200.712029294,199.836884059,197.74729106,195.675777548,196.075240468,197.312490256,200.136532645,196.440791243,200.292189982,205.584246532	3	tan	0.16	308000
341529	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.232465529,213.852689028,218.498922676,219.595655442,215.026269956,216.828260912,220.783783058,216.980092105,217.945713439,219.55580132,215.761892634,214.837119922,220.638466995,215.698939668,221.041731562,221.086266223,219.848496372,216.682400259,219.991026711,226.800408275	3	tan	0.16	308000
343197	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.341324232,215.017431134,219.407787538,217.760040882,218.527719722,220.511689268,220.73261083,220.254365537,216.276415462,216.210071102,216.286941149,221.196552209,221.904411062,220.815680856,218.332552617,218.225606822,216.407004934,222.529512256,224.618755837,225.209389912	3	tan	0.16	308000
343472	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.382146267,211.331052551,208.027860231,214.017850293,208.326339913,214.482008517,209.874842604,211.975655154,213.703648007,214.534056754,209.070651097,210.773149534,213.017487851,213.227641267,214.032049271,209.659720221,211.845328175,213.357224785,211.765490556,217.492936277	3	tan	0.16	308000
340266	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.553533171,190.161935393,191.551144518,195.831333787,194.117351922,189.98425977,196.761755394,189.950122183,192.655572401,193.770973013,194.915167786,191.074284846,190.314439808,197.239860617,196.072679993,193.80462703,191.711172518,198.221526391,197.562923366,196.463680171	3	tan	0.16	308000
341248	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.829009149,186.064170892,191.08863757,192.419273118,190.665705895,192.681775635,187.230301837,189.664411277,191.681790761,190.005057549,187.47154946,187.719435264,190.306498295,195.305334761,191.62935334,191.059971774,193.438848096,196.044298835,190.671561767,199.376142702	3	tan	0.16	308000
342912	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.364936056,208.726390049,217.22207665,212.178034877,210.743647773,212.910084744,213.624041443,215.952602215,215.945358255,217.720352672,219.298441999,215.404662884,218.179564871,214.556293976,219.101265052,219.755562077,216.492180874,221.409091745,218.823812649,219.16102081	2	tan	0.16	308000
341641	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.062655202,181.430118306,175.88309115,181.465130235,177.349281331,184.051898759,179.348083781,183.507850545,181.542177136,180.012037615,182.267160669,183.109299293,182.566940645,183.493479096,179.397767968,185.259727944,186.33792768,185.852866107,184.742892725,183.314229875	2	tan	0.16	308000
343300	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.907208834,187.921383654,192.859511942,190.49737942,189.63420406,191.388837268,195.4559955,189.565473673,188.982091651,191.855943076,189.955960948,196.67849517,190.85483331,195.172669087,194.335927798,190.655256621,197.877690907,196.049027183,192.320631806,198.641541834	3	tan	0.16	308000
343050	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.526607863,206.154715676,205.362557333,207.180481248,206.221394211,204.002192731,209.308401874,207.481267896,207.490901798,207.449655583,203.542217262,210.67407887,204.94843382,206.072483303,209.700379019,209.426524552,209.134810181,212.444238806,207.829495554,213.177823807	3	tan	0.16	308000
343348	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.515206847,179.361106345,183.470269523,185.798735124,183.518579001,182.466057459,185.645764577,180.678074335,180.928370576,181.133665146,184.258005502,188.788643795,185.739645265,187.333803536,186.12227307,182.295298463,190.321928082,189.628044722,189.276712371,193.650150628	3	tan	0.16	308000
343226	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.372178203,199.501751211,196.892358139,199.296823223,194.868862493,199.674357181,197.332392505,201.545860306,196.765463712,195.442951577,200.224775252,203.413061209,197.86142567,201.050155034,202.37104739,201.77318926,201.302526986,202.499907915,198.951639547,201.599320383	3	tan	0.16	308000
343785	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.573025068,188.219711852,190.651160068,189.391676619,192.658828085,188.478691607,189.485555429,194.864388507,195.461589756,189.262911882,191.558255104,191.309857163,194.96773004,192.046238147,193.581919078,195.696383796,190.531786489,191.525746103,194.033679746,195.673319448	3	tan	0.16	308000
341047	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.542519219,178.862276772,181.719342999,182.427660555,181.202433923,184.298156255,184.093722232,184.261399831,178.746348735,185.389558249,177.797409579,178.591636736,182.065046873,185.353898781,184.03355666,183.333278255,182.034186669,184.138017305,187.694343964,188.089328113	3	tan	0.16	308000
342588	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.859699926,190.973366624,188.223543891,188.388006393,189.428099573,193.61466403,186.99928865,187.37812968,189.846549819,190.764871575,187.785240285,193.803632112,195.943383208,196.19002451,194.571103963,194.21600653,189.45795228,196.395545132,194.530856282,195.131748763	2	tan	0.16	308000
340725	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.144184077,192.353835904,190.181177548,191.287636897,191.486046512,196.989595259,196.645308525,195.099680707,190.515342086,193.078781556,191.173949099,196.515231658,192.720667265,192.512265055,196.451533527,196.191395632,195.488859252,196.003881237,199.159154842,197.826731239	3	tan	0.16	308000
