ID	X	Y	cluster	func	noise	original_trajectory
341223	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.944697975,179.24324817,181.16368631,182.895798709,176.754698136,178.283157747,176.389390608,176.790385283,180.120736598,178.114495923,182.759640893,182.160645784,181.922306848,183.720854815,180.324488099,180.791494163,177.846376434,184.49272429,185.96897746,182.902235412	1	tan	0.16	308000
340092	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.476445439,210.522877969,209.436087791,206.630424785,212.511970191,212.546129246,207.528431559,212.393057153,206.754758177,211.577259594,209.528542735,207.429227541,210.609622355,206.404315886,209.022406167,214.491128194,215.244039143,215.022296248,215.615049914,213.690033767	1	tan	0.16	308000
342776	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.420892763,188.338758909,192.108062702,196.75934116,193.366597224,192.300993246,197.728164772,195.986285362,193.558235401,198.022788038,197.675733384,191.690257248,198.141666746,193.161975475,191.729551399,192.702941322,192.590161623,198.873549593,197.268367146,198.724636653	1	tan	0.16	308000
343618	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.321261969,186.253649875,185.813362472,190.425722682,191.140714413,191.100521455,187.595458086,192.485422387,186.722314852,189.474525574,186.15285076,188.643106949,190.979664102,186.981010068,191.815855549,192.738224779,191.54777031,189.778391596,188.480341749,193.716597932	1	tan	0.16	308000
343856	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.319468368,211.547254621,209.206302665,215.709270083,216.348447733,216.056738764,215.980996139,212.170237481,212.919815689,212.900745125,217.627965792,211.037438073,217.591837759,215.883349681,215.656831135,212.475134969,214.728584489,212.907200063,217.704774212,223.895520498	1	tan	0.16	308000
341373	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.777651422,184.241226102,185.052785861,183.145460502,187.186807518,187.760192583,183.279264099,182.320349878,183.57045488,187.621849294,183.754600546,185.778110958,188.236954311,182.855852176,189.91862429,183.313552579,183.726325244,191.262915001,190.321658885,194.719040497	1	tan	0.16	308000
340315	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.307779821,209.892905822,212.635561427,214.056491448,218.990499557,218.133304134,214.050749744,214.18389188,216.68042307,215.513715701,214.609522537,219.023171923,217.81663511,218.084297135,215.753751197,216.923094543,218.528596027,220.149164983,219.641624256,219.883651201	1	tan	0.16	308000
343261	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.829242114,194.577764075,198.799142591,197.291267799,197.228023977,199.390669634,198.023315156,199.019096451,202.364225774,202.250650941,201.50056117,196.131174274,201.019262302,202.809692806,198.021815134,204.339903899,197.698006897,197.946627989,202.118035365,206.158465465	1	tan	0.16	308000
340999	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.240477624,212.76400809,209.215544414,215.966224949,211.416088435,214.251270051,212.742436001,211.856008344,211.250314871,216.132115911,215.533663357,210.063532836,216.177692508,214.591596486,215.19359571,215.987525445,215.050234198,212.534847697,220.066894571,219.979937921	1	tan	0.16	308000
342967	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.473038717,191.469059045,192.107030169,193.257259634,191.679329107,191.899925057,197.104469282,193.195112423,191.849472016,197.219406994,196.6933026,196.217473023,192.01870345,197.956224595,191.259738511,193.937910687,198.012648006,193.740491159,197.796296872,203.93639227	1	tan	0.16	308000
343383	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.875954231,209.182606422,204.930710308,209.551429497,213.772677806,211.009833087,209.739872116,210.213212987,211.544329047,206.935801194,208.181725185,213.886379969,211.319434648,207.785263495,207.761612318,215.398148675,212.619539761,209.2015884,212.504922322,219.566597922	1	tan	0.16	308000
343331	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.232169857,193.123973592,193.286065596,196.956324962,196.212916636,196.458652318,200.603321872,199.671605264,198.952947968,195.528087081,201.308856936,199.070128517,201.627230481,197.673627382,202.015795788,195.13275693,199.14408195,199.74264086,197.724377734,203.068820763	1	tan	0.16	308000
340528	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.826126474,190.193465318,188.464490961,188.249153013,189.572702725,191.667218291,193.986709837,189.294638228,191.844650264,196.11038753,192.273836603,194.756878231,192.194483962,194.856898446,197.807067712,194.48896377,192.094272157,196.982747643,199.604837426,199.820908983	1	tan	0.16	308000
341620	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.511287687,203.299710616,203.237680656,203.124389671,205.058144032,206.923529388,209.324362079,204.872624676,207.28758145,206.322172948,205.595817447,205.772133438,211.990504082,207.210555492,207.459159615,209.73189171,207.389663097,210.804187184,208.898223997,217.569429091	1	tan	0.16	308000
343493	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.660649916,178.879462084,178.532988767,179.745985883,179.525948394,178.001285036,179.997874371,178.394687463,180.679531973,182.641326125,182.185396856,179.369030174,183.148552781,178.051318983,179.569355163,182.639212985,184.939165196,182.156633166,181.49151722,186.129340829	1	tan	0.16	308000
341842	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.899776933,210.04225483,209.487866243,213.937746744,212.528754655,215.347353649,216.714396192,214.605864502,214.1976456,213.69404137,210.643634429,211.258179394,218.507794607,214.902657817,213.78766156,217.241415605,213.059230692,213.262372034,221.329584213,222.613391809	1	tan	0.16	308000
341904	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.198374822,198.393585302,204.795518866,204.599790905,207.547236971,205.102838048,201.501417986,203.719027471,206.146755607,200.951987533,207.757290381,206.008722589,206.930303852,208.009376944,207.84594107,202.866564397,203.142590274,206.156245547,209.404353913,208.20943622	1	tan	0.16	308000
340947	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.95568398,207.612278658,203.563642656,207.883039042,207.774022839,203.613227213,203.345061212,210.89223827,203.982040639,209.147138508,206.527695709,209.985234742,206.453714966,208.767899987,209.957297342,208.047297335,212.663107766,212.717301538,207.258210649,216.801348598	1	tan	0.16	308000
341582	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.124793738,205.10527125,204.946412382,209.589349889,203.803545046,205.947684543,209.091237473,207.178779095,207.570544567,212.377406845,210.490819267,209.196220654,211.385402369,211.90843911,210.871333427,212.204097435,212.910107764,207.130583558,211.235782743,216.87966007	1	tan	0.16	308000
343380	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	173.804577362,182.549134351,183.585731452,181.87899648,184.204184591,180.099878867,185.597112618,180.388818129,183.921141632,182.11544367,180.457579822,183.476643905,187.732868088,183.956577954,181.199994034,187.776464509,188.263756755,183.205459512,186.214835934,189.114897944	1	tan	0.16	308000
343619	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.268344802,198.59987002,199.874005654,199.265507117,201.689357904,195.901350997,198.234012649,197.512195797,196.89298733,200.698580747,203.352156511,198.054041405,201.609637004,197.412887151,201.44954667,197.092117376,202.333125113,198.15688557,200.061258586,206.659641071	1	tan	0.16	308000
343840	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.383274721,195.746049682,195.451369818,193.768215173,201.046041696,194.29868487,200.421543456,200.91495465,196.675071746,201.400789396,195.554226162,199.599777784,198.869219897,202.53614775,201.767105316,202.555576499,202.631369941,202.664279708,199.590616204,206.176202234	1	tan	0.16	308000
343189	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.617344796,200.537485451,201.324803243,205.165534032,203.558634642,207.286161599,205.920162927,204.54969466,208.025076992,206.384345223,203.942683572,200.754680744,203.948159006,208.48129389,203.749507081,209.039973792,202.864638051,205.476689684,210.321793103,207.906626683	1	tan	0.16	308000
341207	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.398628476,211.915088014,210.445915648,207.611919151,211.109655558,211.909823149,211.816053956,208.234796969,211.950856823,212.139066618,212.191945075,213.041369933,213.004492429,215.21440742,215.507999089,209.51506504,212.446273615,217.279369586,217.567538446,215.969535018	1	tan	0.16	308000
340156	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.818471569,187.133336107,186.154703442,188.309722866,183.389720842,185.789205192,189.911258648,190.952585009,191.205643154,186.740949302,185.938548114,190.365271514,192.581529873,191.175564298,187.661670267,190.506738596,188.538768494,186.588710778,194.591766547,190.849856245	1	tan	0.16	308000
342667	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.625240864,200.551225499,202.542831675,202.124822123,198.844448184,201.29556411,199.79546187,201.293923069,199.149351857,203.990128805,205.127985188,200.454401883,198.540123874,204.153351537,201.697635755,206.451318363,202.429438981,201.573546206,205.415471253,207.198758176	1	tan	0.16	308000
343942	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.358475735,205.182921404,212.278291451,206.665217076,208.558414141,213.970992021,213.50233715,213.905607656,213.134449511,213.165105467,211.117151683,210.300845941,209.617623179,215.602160557,214.882328478,210.127792304,212.029771471,216.960161326,216.794938172,220.566796368	1	tan	0.16	308000
342406	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	213.750808354,214.530305417,218.220464939,214.644850626,213.147069216,213.0642327,215.969461222,220.33061625,213.314168655,214.117107916,219.446529479,216.255509791,221.372928045,215.677273541,221.604023603,218.973315631,219.707376458,220.526826616,222.793359583,226.374672747	1	tan	0.16	308000
343104	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.527973373,180.101085318,183.23099521,183.309507192,184.459444035,184.086361001,187.40192344,185.934586231,190.416228436,186.849478745,183.117258276,187.396077621,187.846934802,189.702193004,189.344829126,186.398085998,188.882695876,190.365268137,192.703797032,196.718157406	1	tan	0.16	308000
343614	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.496921769,201.973043446,199.092314383,203.452661687,200.066585597,201.306492643,202.29636886,198.633186265,201.494549431,198.606999441,205.67513027,201.101017971,204.346998897,203.467725204,202.027709066,206.924323676,204.124354058,206.474589291,208.236823007,207.558167369	1	tan	0.16	308000
343541	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.24011346,190.210502261,190.87566832,190.938532427,187.560467565,192.615812544,193.04730309,189.980239532,192.080160091,194.390000593,191.994047405,195.206339275,192.317717864,189.075740584,189.654099918,191.78277855,190.254118972,197.329535971,193.743786619,194.083938965	1	tan	0.16	308000
340661	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.178665875,207.549729401,215.304208089,213.776333998,211.572540068,215.393847723,212.075722702,215.379275178,210.304964429,213.544708036,210.195371941,212.546723157,217.623926525,215.934633259,215.1796116,212.539874312,218.259208775,215.257400122,213.042350084,223.415323932	1	tan	0.16	308000
340330	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.390704609,194.348699214,198.781079671,196.523844348,197.280180059,192.940389631,199.700323343,199.335728479,197.451251606,196.544952245,201.460115683,198.766989738,200.659548926,202.16269813,196.23881669,200.648498789,195.923134952,199.04542365,202.350931982,206.303332391	1	tan	0.16	308000
342716	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.322061194,189.821070776,189.901622561,195.982634687,189.839928558,195.208767345,195.93209128,190.345535346,196.735744949,189.735465118,192.382302605,193.453658057,193.647097425,197.331909421,196.875323562,193.784176309,198.216022406,192.061169277,200.751269513,200.804730042	1	tan	0.16	308000
341992	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.787717666,217.628948683,220.112893799,217.466267856,220.45186705,221.619112615,218.036862421,220.924742868,215.465933684,222.253175965,222.062485799,221.427464728,220.681332324,223.253256341,217.091678939,222.961458798,220.698429628,223.843452945,226.287117059,221.676698787	1	tan	0.16	308000
343390	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.871367513,197.501385687,196.402513676,201.578752912,200.641253909,200.369301544,202.117177123,201.493257142,199.418173503,201.010654468,197.81059788,202.10118024,197.047741584,198.272714245,197.771912827,204.393004035,198.847315016,199.261596934,200.349021491,208.368621446	1	tan	0.16	308000
343632	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.196620635,209.869667426,217.260327417,217.407761568,216.18876292,211.178929826,213.052669654,212.403377892,216.616682737,212.937158519,212.876493181,212.23327555,217.249297128,213.573411858,218.106885215,219.017047802,219.530422756,218.111614219,221.826014955,220.8074808	1	tan	0.16	308000
