ID	X	Y	cluster	func	noise	original_trajectory
172038	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-90.475201918,-48.2097529972,-12.6128707947,-9.65887953254,16.0258951117,11.6657351466,17.4960611596,30.102670756,20.0861158272,27.8053728006,27.9377924827,33.5734411154,28.8295918432,45.9071621895,46.2415007788,44.7720169064,37.6682823882,49.683126464,39.5363623549,42.6232751373	3	hyperbolic	0.2	132000
172886	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.8333597694,38.072938423,57.7258204885,73.6967327278,83.9828659932,94.5467775755,101.459302189,109.749031069,99.190743508,116.134964861,108.803895681,112.06772389,115.369656207,119.814065749,116.140171368,127.039729746,120.654986665,120.266613893,120.889427977,119.009210983	3	hyperbolic	0.2	132000
175265	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-38.0377950526,2.78116553054,31.1417086754,51.2317873934,52.8065348295,68.1691437958,75.5091790954,80.347964678,89.7335456998,90.7859224997,94.4235377859,80.6379440223,81.4900670793,82.8990213807,84.3223511586,95.4539740322,89.8147525541,102.577352368,89.4733041955,91.4142716786	3	hyperbolic	0.2	132000
172706	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-122.118646361,-60.8815110748,-40.4212359459,-19.2708977476,-22.257955302,-3.97869226134,6.65528369556,-5.71278479726,4.05564770539,10.1670036458,11.2074945033,10.0058704939,13.6193455165,16.5493247044,13.111130503,24.0676171106,18.1960563208,24.382691815,12.7093148567,19.1434112406	3	hyperbolic	0.2	132000
172166	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-1.45880861378,48.9185501844,82.2671336704,86.5325591367,109.963304648,105.057926347,110.974854856,122.533807781,125.552302207,125.591827629,131.499403453,124.849165486,123.939246171,130.70772691,132.24210427,140.157537476,132.017803864,134.013836713,142.517696953,133.424654483	3	hyperbolic	0.2	132000
173630	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	80.358444787,129.027518591,153.982153461,176.302368066,183.650003555,188.33614826,190.554441529,198.923414038,210.815587543,201.525852049,206.534918538,215.572660034,207.255906303,215.593199818,223.054790921,220.815735854,211.405641389,221.434715574,226.891971688,224.529505289	3	hyperbolic	0.2	132000
175139	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-57.12102638,-7.85130632623,12.5084084573,32.4285598619,42.3373039344,42.9691206792,59.3227200075,57.8120246691,62.8725139202,61.1909102916,70.2156359404,65.9753113987,77.5095253687,80.9063928387,75.7801879033,74.9778285408,75.7546891162,80.6296016485,69.874668893,72.4241391523	3	hyperbolic	0.2	132000
174654	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	97.9189578728,161.802846319,172.719466551,189.029444848,206.040761259,205.415270151,224.001885099,225.034359169,228.030955927,226.622665785,229.436226626,237.915328894,229.103449402,237.089434513,231.169731509,233.318187691,229.873595931,236.599975877,246.061926662,238.088172976	3	hyperbolic	0.2	132000
173964	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.6719346959,104.050036445,125.625276949,140.451332685,153.562048839,154.013311063,153.617834277,170.115586517,174.682015797,168.102317683,173.827075669,175.45417152,167.759890324,171.321658311,175.776811786,180.57990958,180.107314498,182.717517553,187.435251075,175.530593678	3	hyperbolic	0.2	132000
174651	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-122.467617103,-61.0597691074,-35.9817848596,-22.9633323295,-20.5315003178,-16.7510523572,0.724293015147,-1.34059485265,9.30001007191,-1.21054405925,7.67034970453,4.33425822694,6.09905405865,11.0523975063,18.2068304761,5.58520800456,22.6812227173,21.7102223289,14.9346144595,20.2749793353	3	hyperbolic	0.2	132000
174590	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	25.8737394797,70.8016645066,85.4651828438,107.051315221,122.811018093,129.854428493,126.056697419,135.55767922,133.866250042,138.283350959,147.94424814,143.981744765,145.485882655,140.440843518,150.273814619,155.980741119,145.881716539,152.52944002,154.566157718,160.17711111	3	hyperbolic	0.2	132000
173752	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	80.8000890837,139.61312219,161.108387205,168.503231838,180.690392042,191.885298282,195.131128384,208.116542409,203.345150306,209.425703705,201.873466587,211.738447157,210.304346157,210.559707081,221.079232058,219.165950588,210.242893769,214.390050438,214.898893626,218.368519616	3	hyperbolic	0.2	132000
172373	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	104.169939484,149.831103325,166.740627684,181.921375544,207.831334905,203.765763308,218.057290103,211.658588694,214.675535595,218.773878773,217.922481794,221.88766604,231.403676532,237.449516838,230.574193478,238.347128178,233.880434079,239.293112909,233.910878263,239.035354974	3	hyperbolic	0.2	132000
173228	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-51.5299843045,-7.48235684611,16.622819443,34.8982193589,50.4101420777,57.9573289146,55.5902906534,67.1421296688,73.3493721433,69.0603204228,77.6881090393,81.8411411474,79.0983026549,70.2485345082,76.7968351327,80.3925693684,81.5170956704,73.6602848572,88.8627358689,84.0126945896	3	hyperbolic	0.2	132000
174364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-94.3329268977,-40.4269266923,-24.9897427765,0.110242032259,7.76366174256,14.415047949,22.4112432529,15.1370193473,30.8495055807,30.556776604,21.6785797381,35.4609660038,36.1616838432,38.1635755101,32.6640661046,42.1131063925,31.2880094084,34.2244226081,43.2136822775,47.4782394418	3	hyperbolic	0.2	132000
174280	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	51.341779438,109.842487886,126.44116453,150.539423661,160.0285102,154.634567256,170.787395557,170.406595059,182.864380426,179.89455496,186.861124428,176.825644863,191.10768133,190.652784559,180.864863203,190.324764325,183.935161098,182.564718888,194.239351833,195.342330462	3	hyperbolic	0.2	132000
172341	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	110.74294766,160.642060008,180.737056553,194.120596261,211.13276756,221.760814983,230.220443509,224.440251483,226.252391961,241.187804242,231.56067354,234.961292389,244.79932922,240.027293068,244.228700518,244.03304815,242.80455694,238.843307624,242.014505304,250.694671254	3	hyperbolic	0.2	132000
173287	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	126.81259308,174.616545994,203.480960345,214.448438191,227.66836484,231.774444083,239.19133426,241.7900997,246.131568389,251.284231899,252.319073852,255.780152793,257.763734529,265.414375288,264.780082294,256.533137356,261.283869515,259.184304335,269.844562758,262.405141015	3	hyperbolic	0.2	132000
174745	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	124.568342156,166.425138083,197.897819588,213.355252989,222.971849644,234.966606205,239.825934275,236.043002133,235.034776942,234.992417094,242.756012226,238.626569275,248.872356368,253.221798019,244.897766184,246.647232599,249.319021489,262.270341787,250.981758881,262.949545086	3	hyperbolic	0.2	132000
173241	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	31.0921243247,75.0779249321,105.490779941,122.483445653,124.452075942,133.946096529,131.738334049,137.003019872,150.369154666,139.845552906,151.405841418,158.306599746,152.555188981,154.876136285,158.633063405,159.510898577,153.952001335,164.331108487,160.980920518,166.009756807	3	hyperbolic	0.2	132000
174245	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-125.766323102,-71.1277370382,-52.0671166511,-42.8255696439,-17.3188894848,-15.1130323348,-15.9815134883,-17.0490791455,-13.84772716,-11.8598415843,-6.0702520052,-4.46826244788,4.45285914994,7.96030890908,13.3067898451,11.6415394611,15.2043165588,-0.200232935857,13.9367155032,12.1168210078	3	hyperbolic	0.2	132000
