ID	X	Y	cluster	func	noise	original_trajectory
172765	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	7.87124794831,67.1005069122,89.3937455161,98.2644641125,112.65076266,121.620029544,113.810378896,122.629420462,127.103244158,125.113732819,128.323750391,130.201707547,137.17284509,140.304115087,134.974891976,135.873423664,142.891436402,134.556936787,142.264304992,136.736308961	1	hyperbolic	0.2	132000
175382	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	90.0238662795,135.056605971,167.666479279,183.82541124,186.427244591,199.039501734,190.653636885,196.776414558,213.635263439,212.212566176,212.384582291,211.279783658,210.279155857,215.459383923,216.592147291,225.753025155,215.907259493,223.661133186,222.802570598,218.993709908	1	hyperbolic	0.2	132000
173429	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-135.465785457,-76.9594013471,-58.0458150656,-40.1700988413,-33.0029026954,-30.791804426,-12.9470336701,-22.5997369207,-8.7838121632,-6.71224728984,-12.7193579742,-9.33529113934,-4.36893587061,-9.44937091525,-1.99098947767,-2.31641897551,-2.4499616161,0.911641448413,11.7498519057,4.59676194269	1	hyperbolic	0.2	132000
173210	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-60.345858898,-10.3112396953,14.2866835884,33.0219086941,50.2937363135,47.2472150422,50.1866254465,64.8216679343,70.2490905941,61.0788415321,69.4159819988,66.0505915011,77.1122581819,75.8768287883,68.5942204961,70.6325866307,71.2125918205,78.2961990929,87.2240383669,75.3067351933	1	hyperbolic	0.2	132000
173690	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	21.582742038,72.9319113159,94.6058584966,115.297317123,132.963513098,136.837685239,131.797882448,142.344961588,148.240827546,142.110480656,142.319951801,149.235070663,156.84390428,159.642247763,162.230252178,162.255829692,150.698236626,166.888724094,166.03601691,159.984815967	1	hyperbolic	0.2	132000
174252	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-73.4451082525,-16.1215550513,10.499667638,21.8112049501,39.5138859394,45.3810242043,40.4045418725,56.5483248153,58.7657885447,50.0523496585,53.8245621532,62.9350186923,65.2753386914,66.698643852,70.8955055214,62.7393308356,61.1294817386,61.5209705582,65.9351622076,66.0463780965	1	hyperbolic	0.2	132000
175149	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-24.7475817731,26.9517129338,38.8759044388,55.2391556515,71.9190246497,73.870656506,87.2559984931,87.3858490414,86.1854846463,86.8389469992,102.694229129,100.855995406,95.7600600411,98.2987113399,110.049367191,108.568210234,105.028443212,109.693186658,99.324672601,104.806674802	1	hyperbolic	0.2	132000
174046	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-120.036394119,-56.2438202229,-45.1192061484,-14.8215497827,-15.9920124696,-8.25931583864,8.74175941249,1.18492844936,4.06024196442,12.8214895941,14.2646156078,22.8498328226,15.3014294987,20.9209550083,17.8743438715,26.5051593862,22.4677447421,14.8363199516,24.4010453891,17.7112178786	1	hyperbolic	0.2	132000
175588	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	119.641717591,165.794813511,194.396379981,214.544842313,228.267720194,235.802092819,238.956774905,236.713602496,245.572126223,241.655096301,245.262162395,254.240674246,246.458866238,255.877813336,260.976450866,257.705317385,255.524398152,256.39414443,267.535285988,265.985157127	1	hyperbolic	0.2	132000
173724	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-116.86028142,-52.1624074484,-34.9356892102,-19.3483970637,-8.75517533948,2.57890578049,-4.03352239769,13.3429971621,13.647490818,5.32203614931,12.3452330252,25.9459534905,19.7452821371,13.5803159287,27.1751001803,27.221743824,31.0141160494,24.8010823643,32.0148917779,25.0136357414	1	hyperbolic	0.2	132000
174814	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	124.529992342,176.001051517,199.63592287,215.773078528,212.332642546,230.00908864,234.433298971,238.189450664,245.366405868,236.359645983,243.1185806,251.025209915,241.55481729,247.508128489,246.351437231,247.096282309,248.66129396,254.241294744,245.28187841,249.94198067	1	hyperbolic	0.2	132000
173087	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-68.574556884,-24.0115602479,8.77180893822,23.9873150919,30.4697485305,40.89304553,39.1244132373,49.3997053369,60.2078387351,56.1187135602,61.5625655428,63.2714936971,59.9733548043,70.2702870719,64.0605819274,72.0333404358,61.2621594806,59.1525666829,67.1664815249,72.7596174532	1	hyperbolic	0.2	132000
173105	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.1560734419,83.2176993458,111.547587616,117.375101389,142.596710999,148.358531348,154.519845142,144.673537744,155.757299628,154.617971701,158.131282552,168.539819564,160.174674066,162.708013341,159.774139921,164.74936373,161.819572294,162.84226035,177.765898982,167.644443136	1	hyperbolic	0.2	132000
175079	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-123.890127531,-74.4374490359,-52.987279357,-48.1732824485,-37.8534799554,-21.4156522019,-14.6387460942,-12.9099324226,-11.9924187776,-5.45878169632,-9.12345866576,1.1923302095,-4.93236454674,6.17382187354,0.924549518031,1.08656531651,6.02546577787,-1.60328013642,-2.45360815214,5.57132695727	1	hyperbolic	0.2	132000
174256	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	35.226482778,75.6684381432,99.2178942857,119.707410453,124.487514287,145.314708447,142.813214342,151.985008938,143.776259996,157.690124413,158.848721016,158.1532679,153.0181146,167.312520423,162.040243356,167.748257458,173.647266419,172.349482133,167.912655338,172.642403729	1	hyperbolic	0.2	132000
173340	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-18.2969936933,41.5744040938,68.1456305499,74.6051216873,83.8325269164,98.2324734975,104.08209014,94.8302006435,102.696899819,106.002165281,109.037010555,114.150440825,119.35329869,117.368430218,111.727860159,122.1443309,123.689317109,116.897874211,117.45886924,118.286081866	1	hyperbolic	0.2	132000
173107	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-124.737673855,-65.412145045,-48.7054814294,-23.3778195333,-26.3705152031,-20.4897976537,-9.29747788836,-7.18916412705,3.84136146554,-7.55319364897,0.593199266853,11.8337229875,8.19176551806,9.49862411724,15.6051998337,8.77551772409,18.4751531041,18.6013439839,19.4440227554,5.70707974126	1	hyperbolic	0.2	132000
173692	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-45.5187114481,-2.12817735531,35.0099710622,42.1597241845,58.1801154499,60.2479679399,73.5269559872,75.037429181,66.0391607813,70.5651059624,80.7048861618,78.8599171819,88.4486018999,90.3641064132,89.6365980656,84.7344246206,80.2668379106,92.6726335518,89.2084455055,81.1888795474	1	hyperbolic	0.2	132000
