ID	X	Y	cluster	func	noise	original_trajectory
172910	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-53.7093521695,-4.3413479839,33.3570823266,37.1968532794,57.3748508444,64.1989640786,59.7238683961,67.0416820826,69.2193790111,81.4480423547,68.7793769355,78.9198871101,80.2752221222,78.6586643791,79.9739656301,90.2990952227,86.1587151959,87.8626151492,84.8663026707,89.9544891115	1	hyperbolic	0.2	132000
175925	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	6.05503290229,49.9447887144,75.9718434476,89.0041996225,104.050036805,120.597032134,117.069813929,115.116079361,124.374676282,136.875397841,133.019725575,129.464217572,137.617620726,137.498175353,140.870286811,135.611865442,139.613173576,143.964342609,142.32289701,144.39658089	1	hyperbolic	0.2	132000
173768	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-21.9416906117,36.2850971676,67.6061556395,75.2994128524,86.6892858775,83.9969925885,91.587489041,98.1013609092,109.944218092,103.114589717,113.421583655,105.154969122,120.757537343,122.578543464,108.09344363,118.720946196,116.782921687,122.351454921,117.071290819,123.404771682	1	hyperbolic	0.2	132000
174582	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-69.6350560473,-12.60812536,19.8042532465,33.1057310559,32.7409883078,44.6080478386,48.6505196461,56.3630824144,51.9581506337,68.1362809174,59.2030935104,69.0893936391,60.1998577849,62.5791794014,64.3093529305,75.3810813013,80.3329588822,67.179608613,66.4598035358,69.3562199732	1	hyperbolic	0.2	132000
173295	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.7004078753,116.615978845,131.807723584,156.277048879,163.827722271,163.013651861,180.06755146,189.264830502,191.981624656,180.586563479,194.754084096,185.203780745,184.729784459,191.146392062,199.958406713,203.097831414,197.793059392,200.115371423,207.463628791,206.464699297	1	hyperbolic	0.2	132000
174217	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	51.3121615724,108.165770192,135.116295384,146.156414176,157.154552971,173.096381053,165.631392277,176.422238044,179.107021479,180.760504202,180.649438988,193.593829093,186.796182634,185.214178931,190.310576439,193.686799924,191.783493106,188.150986091,188.954396197,189.507092934	1	hyperbolic	0.2	132000
174331	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	66.8742703988,108.119158615,138.703422162,158.218856713,157.637205099,165.828687279,170.838076409,180.130580787,184.739715794,180.812650986,187.380535768,183.251423089,183.677300491,192.271709166,189.51570755,186.416618472,198.216805668,203.461598695,199.597173366,194.617553333	1	hyperbolic	0.2	132000
173347	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	52.4377307299,101.180773149,131.456742811,141.463359602,156.946692852,168.282279331,167.903302437,168.992040848,166.047296628,169.939304421,174.115120216,178.238987745,189.601102711,191.415725161,183.41746869,177.455471837,191.138344976,185.660148658,190.934626862,192.529803352	1	hyperbolic	0.2	132000
174741	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	90.3670133721,142.776017303,168.178326496,169.180875755,185.928863276,194.245351253,196.604792871,195.446987064,203.272845313,200.979803775,210.721236418,216.186624045,221.604782062,210.130459427,215.343926013,214.598749659,219.907051297,219.665315429,215.350556394,213.674015735	1	hyperbolic	0.2	132000
175901	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	100.279851125,162.710431613,174.579869409,203.234995567,208.344676445,217.001946009,218.721088012,220.344505711,233.730174733,235.553270986,228.426015214,226.332913163,239.255990395,243.684410681,234.570301422,244.849349994,246.29704787,241.632636717,246.640241676,242.913146814	1	hyperbolic	0.2	132000
174452	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	90.9530483924,150.447109139,167.472074616,191.48735994,205.793213509,205.660173304,210.011321641,211.003302133,211.346708665,220.676152174,230.883645453,219.682399578,235.652075484,230.663614294,236.269138044,229.861860735,229.866388689,232.621393945,235.204406715,237.651257162	1	hyperbolic	0.2	132000
174550	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	72.2261714535,134.239659113,153.798279792,166.207589332,173.951568108,187.22576884,198.957935776,202.268458052,199.07995438,206.386888664,213.0392576,198.83605865,205.908420137,203.608768896,218.552151631,207.373646595,213.644788899,219.008344682,214.43699946,213.004811696	1	hyperbolic	0.2	132000
