ID	X	Y	cluster	func	noise	original_trajectory
348668	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.320471479,186.918038311,189.14496785,195.415313756,187.086698109,189.532901046,187.26739321,188.570412381,194.521662836,194.365903817,196.750767642,192.612924051,197.258394409,194.95431664,195.99590787,198.799625344,192.165708883,195.670788393,194.43796762,196.098500981	1	tan	0.2	308000
350833	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.900421559,191.985078653,190.116261787,193.195437418,192.9096535,200.087895791,192.09824866,191.850294014,195.803941726,193.978515665,201.65515602,200.448861675,201.403707214,202.223707714,201.003867614,196.027060418,194.623132832,201.443644096,204.578573228,204.852022577	1	tan	0.2	308000
349916	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.779010785,189.863461281,195.831785712,189.249333161,192.621533208,190.191467918,191.017935259,196.30157882,191.880174603,196.060262072,190.457866486,193.994420198,193.299177849,193.749872519,197.809043138,191.787373955,197.369743896,190.611271293,194.184049609,195.249666697	1	tan	0.2	308000
348961	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.930240474,204.292704828,201.045212637,204.991800939,205.128626755,203.239058805,203.112112266,206.235450111,208.516324621,208.961320866,200.947543722,204.882041696,201.738060922,200.424467344,201.757779292,202.691502991,201.717169179,211.298029548,208.893114175,211.026892058	1	tan	0.2	308000
350158	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.886718079,217.400735036,219.626103448,216.365765563,216.250463554,221.703163497,216.311599398,220.762860711,218.467673504,213.68484699,216.481005853,216.457921703,221.044053629,215.822846389,216.927762003,216.932227769,222.269199464,216.101567454,223.475385009,225.721190404	1	tan	0.2	308000
350803	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.218693147,197.088984454,204.341045339,201.632438146,205.209427992,200.856435759,197.119737506,199.684397196,206.398215137,204.090510158,199.080798852,198.920202416,206.862746536,203.326684669,204.435032647,207.65264199,200.975100211,200.765016583,210.229541404,204.576419131	1	tan	0.2	308000
351808	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	215.275454942,215.229093379,213.285233313,215.389318431,214.178221262,213.955113335,215.868093853,213.324283005,218.594242555,217.299239762,219.042005369,216.336830084,220.644658619,216.779505815,216.860647096,222.372760232,221.935019842,221.763951443,219.265009086,229.441218347	1	tan	0.2	308000
348625	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.072686893,216.606634781,209.436478161,211.668385522,210.214115782,213.686198662,210.267168685,212.372382867,214.73869874,216.821197518,214.4319899,211.625615323,217.555379454,216.793031358,215.077971172,217.31401136,221.214963178,218.316822044,219.229031321,226.113091032	1	tan	0.2	308000
348852	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.152665867,187.628093995,188.399545277,192.656307805,186.305741197,187.085082613,195.135404934,194.89665608,195.407761787,191.360153527,188.328729352,190.020041413,190.734199859,187.301334095,193.72861483,193.070837883,194.818966966,188.671300636,196.888321015,195.226039387	1	tan	0.2	308000
350536	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.459626397,206.207686427,212.150644288,211.329380475,208.832084875,209.290762202,217.026494328,210.376198197,212.469555167,210.722221723,218.711533462,210.191927326,213.204339265,212.99646648,215.897520736,219.842405118,216.03797352,213.177437922,220.788527257,215.779687977	1	tan	0.2	308000
351397	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.758579112,184.807134817,186.708371327,182.74380049,189.508327546,184.189034672,180.690595907,188.232761824,185.846132364,181.758280496,189.661904009,187.774717156,185.90981123,188.628060107,187.771623274,191.643536803,184.900033116,186.585217569,187.206855501,189.156757296	1	tan	0.2	308000
348880	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.601157802,207.450187343,208.245849939,215.332600529,218.581099523,214.822447929,215.775283057,215.377891685,214.192031052,216.045717766,217.108903709,219.714675546,212.825225137,214.332108521,212.031536503,213.98368493,217.348416603,212.680303473,214.212335388,223.139025095	1	tan	0.2	308000
350677	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.884747054,210.449101413,210.976693788,213.122727169,209.170588518,209.039863441,213.042417185,208.011145889,211.763125479,208.874620455,212.105877322,215.241122544,210.283268539,210.119248655,215.980143435,214.412904727,214.240628879,208.917757458,218.126493575,211.872439443	1	tan	0.2	308000
351267	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.400810751,180.108098787,184.395606159,183.518860691,189.839263804,187.653531379,184.761367023,181.471637513,190.172820339,184.876933784,183.768669133,191.683774111,182.352820805,184.290549267,186.187782573,190.483807054,185.432995237,189.123868626,184.502379302,193.132354928	1	tan	0.2	308000
351452	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.216566197,187.340831739,180.971189137,183.627039535,185.916923422,183.748397078,189.148615601,183.503348147,181.820399884,191.341402329,186.945777455,188.073203872,185.898384077,187.846910638,190.774912249,182.678123909,184.228087479,185.997758661,187.476876045,188.252766155	1	tan	0.2	308000
350580	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.829552138,181.889555085,187.199670529,181.272363348,185.080796878,189.670024986,184.300522303,183.514845335,182.970585117,186.1692159,184.743344884,185.79534975,186.9572115,189.983960601,190.908433099,189.11428527,183.423554136,185.562235537,192.871260334,194.06052843	1	tan	0.2	308000
