ID	X	Y	cluster	func	noise	original_trajectory
350187	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.661746736,186.075938255,190.998186256,184.146176145,191.19900515,191.481550833,193.535199783,192.829114716,192.997316376,193.098386195,193.479828568,188.03345697,185.777698255,194.027598881,193.353988746,191.314379549,187.373507486,188.749381229,194.920479801,197.77345123	2	tan	0.2	308000
349308	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.212372716,183.609672446,191.949802542,185.832664077,187.030372115,188.076941479,192.374038021,194.102600446,192.684175025,190.190527554,194.94535023,191.443566737,190.583595872,190.598308133,196.364196284,190.362723535,192.490443697,197.580839416,196.579751881,197.578433443	2	tan	0.2	308000
349039	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	215.621028873,218.920083985,219.314875879,215.39240323,217.325884666,215.300917707,216.911717549,216.603212135,221.493695528,213.949907263,215.126426116,216.322076314,217.490719104,222.879966041,223.475140428,215.611398192,221.94542282,219.962604988,225.117014691,229.445008502	2	tan	0.2	308000
349416	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.740274553,210.003740318,215.493904198,213.22767049,217.357603202,211.236828845,217.174154552,217.980379804,217.113853753,221.424322955,217.917832692,219.681459484,218.816966215,219.614414561,217.15367416,213.747587411,222.136234633,221.29493953,223.016806964,222.243676602	2	tan	0.2	308000
350868	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.794095263,203.071275236,202.106831712,202.931350502,211.372875218,208.310819487,210.121645043,202.798281163,211.969504019,209.960315891,202.938788921,205.694574919,208.185128176,210.47447043,203.287077047,207.792691186,205.386044564,206.296071779,213.138176482,211.26114415	2	tan	0.2	308000
351360	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.324775264,206.458351141,210.064487114,213.73735566,212.454219332,216.049275685,218.678121333,213.653870565,210.196401542,218.489578605,213.570373413,210.176884137,211.870784897,213.09984237,215.633506154,217.691642599,216.225046175,217.170767399,212.365239559,220.500094446	2	tan	0.2	308000
351286	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.429553575,204.744693213,204.01225012,203.928090869,199.861417621,205.383787174,203.506197958,199.386266677,201.087858304,204.583937252,206.969212345,206.863842974,204.686543481,208.199091568,201.887309145,202.540638173,205.233417187,206.672107958,210.296430087,207.357861504	2	tan	0.2	308000
351282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.811647476,194.806056008,197.805822465,199.605605083,199.092017279,195.892665432,193.496253961,202.650123342,198.442524351,202.652532995,198.772353466,197.968756006,203.917694122,203.430299703,196.1005333,200.026983335,197.707019877,202.569884888,206.714472202,208.703853469	2	tan	0.2	308000
351673	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.305921549,206.140775962,202.889885309,204.326665587,204.438607135,201.793048949,203.631822716,202.301951728,202.935840154,210.134289498,209.856376408,201.37010779,209.044020438,203.097177373,202.057239521,204.47271474,208.03119298,210.670650265,204.004317818,213.67096115	2	tan	0.2	308000
348966	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	171.893119981,174.738271509,181.68892533,176.398408244,176.552782233,177.73139517,181.496047939,182.083721675,182.923178196,180.303072235,178.254741759,182.0805067,179.140857663,187.243054777,182.426257558,183.778700729,183.666639826,187.295974326,185.856534895,187.198539855	2	tan	0.2	308000
