ID	X	Y	cluster	func	noise	original_trajectory,,
324970	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.643630834,194.494772453,197.43619343,195.964154197,195.637328184,199.04172721,196.573076069,199.234702559,196.796415383,195.960330989,196.433796224,197.854799529,199.988195419,199.25521094,197.175467273,201.018694689,198.794946021,198.692551827,200.783236458,203.266860863	1	tan	0.08	308000,,
325528	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.26100035,211.473946636,213.385519156,216.397668718,216.415440732,214.93807678,214.436490424,214.268841071,214.588600994,215.418185708,215.748409409,216.013397133,215.238185222,215.669190532,217.643545961,217.446901477,218.838646546,220.246170188,221.609898361,223.850244415	1	tan	0.08	308000,,
326688	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.81711624,206.864388928,209.351949867,208.166969366,207.000673773,208.334670096,210.249310416,208.454430293,208.202849338,211.168088942,209.480949993,210.040291899,208.817279695,210.958348725,210.691037854,211.275271686,212.633842014,210.228186975,213.193248335,217.268875459	1	tan	0.08	308000,,
326506	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.079049702,190.270756798,191.700735756,191.228328772,191.880612825,192.755429178,191.475155278,192.499880399,192.273462791,192.019255449,195.006877769,192.420932464,194.124716252,195.455519571,194.670020648,192.620416447,194.100884205,197.247506931,198.297580549,199.037959044	1	tan	0.08	308000,,
327449	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.450316886,196.270810997,195.056412305,197.356171567,197.541865486,198.544833146,198.16801934,198.714507192,198.540851663,197.081547115,197.544243413,200.703316401,198.562106194,198.432872224,200.915347189,201.019803959,201.394509248,200.894768135,200.321414338,207.07023007	1	tan	0.08	308000,,
327856	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.597563887,205.575867558,208.981933542,210.184334234,209.496440348,206.980143264,207.666252114,207.448777323,211.349558544,210.495237568,209.725428099,211.30478461,210.031606206,210.450891558,210.703368979,210.530272329,209.528131292,210.892450432,213.995085907,217.181890438	1	tan	0.08	308000,,
327786	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.151139073,212.004580179,211.906988911,214.180115873,214.550698957,214.154607852,214.525511099,212.282444844,212.84475449,215.206781406,215.088731724,216.129457501,215.674078677,214.473129913,216.239023305,217.142916639,217.369098106,218.202640214,216.475019508,220.068882096	1	tan	0.08	308000,,
324270	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.502282008,206.508062816,204.841440948,208.923282,209.612970554,209.21146696,208.91721992,208.950836623,207.104896209,210.672329404,210.643372604,211.073316939,209.214542615,210.267281283,211.630946264,209.985824616,212.226774311,211.893838495,210.585263513,217.084374052	1	tan	0.08	308000,,
324704	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.15725249,191.198187538,195.323424894,194.732407484,194.305966806,195.102882778,193.027791126,194.340631111,193.893354123,195.071996977,196.040635028,195.79030422,197.880961157,194.892805757,195.133224969,195.16554341,195.196901883,197.058058095,199.056707686,203.340729449	1	tan	0.08	308000,,
325895	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.336929773,214.910512615,217.044191955,217.230274352,217.4348465,215.339082744,216.524169795,216.841552866,218.446672116,218.562090326,218.05539596,218.32523772,219.248422026,220.414775447,219.94104757,218.686577181,220.647866172,219.54165048,221.113221886,224.193908993	1	tan	0.08	308000,,
