ID	X	Y	cluster	func	noise	original_trajectory,,
334126	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	202.552218608,205.829346021,204.239864549,206.095915728,202.748185041,202.850384781,208.227440847,207.731397708,206.887418892,205.877299784,209.489116688,206.877771977,208.927858509,209.917145005,205.465177353,207.343737796,210.238413219,206.467689618,208.099796094,213.683646521	0	tan	0.12	308000,,
332549	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.212516647,194.595996909,192.835518207,191.859513686,194.598267422,195.902611015,197.060942882,196.257108457,197.788504534,194.752606042,196.74532618,199.26676726,197.145788627,198.159003329,197.330199162,195.824514789,196.260901569,201.274389765,200.187222753,200.939796963	0	tan	0.12	308000,,
332678	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.251468206,191.53331822,188.84299771,193.013318925,192.834221383,195.384739959,191.204181005,191.665737256,196.387228619,193.51487417,192.484730746,193.814480383,191.399249103,192.748374542,192.145651427,193.119071376,195.79544493,195.874792012,195.068392145,200.575970176	0	tan	0.12	308000,,
332610	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.007005749,194.419295621,196.309695231,195.595456248,195.881185256,198.069119482,195.768833863,200.539435545,199.721276646,195.008737757,196.257847986,200.887042085,200.026516654,200.78035252,201.579277652,198.095536134,197.727182703,202.518580827,202.105478435,205.021803307	0	tan	0.12	308000,,
335936	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.495043864,194.331664193,197.074458205,201.22730891,198.593245484,201.874763634,199.851250086,201.382290928,198.009403691,201.153351927,202.47271233,199.30441167,200.267581533,203.125106453,200.279619777,202.632218729,200.185343991,199.995745171,205.782738207,203.828513743	0	tan	0.12	308000,,
332710	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.429369079,191.394603462,190.435475443,192.732724088,190.760434413,192.827494916,192.736040333,195.786475552,192.132402065,195.554607838,194.441453693,194.728698498,195.29094338,196.692227715,196.802662228,198.344754241,197.073023907,194.709351631,198.659049319,198.822680234	0	tan	0.12	308000,,
332736	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.962973478,186.957700904,186.519888279,191.161832317,190.5857009,187.803057573,186.797190509,192.32833376,188.003562933,190.201681159,189.942208427,189.986990062,188.349630733,190.167304519,189.708595984,192.045391534,188.429569414,190.410615672,195.312178773,196.513083126	0	tan	0.12	308000,,
335745	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.877379028,179.915082668,186.099035277,181.791273629,184.672200932,186.969490318,186.70485788,184.762073252,182.791797862,186.304901207,183.513498192,183.312956005,184.241483118,186.140262144,185.136120656,184.255819019,189.743363917,185.191675654,187.997259396,192.172729283	0	tan	0.12	308000,,
335184	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.182360497,182.866246708,181.805136175,186.45511098,186.057914241,185.881098131,187.938369177,182.158961841,187.686947458,186.977256896,187.543291008,187.105721292,185.217647916,184.227839389,185.37107513,188.078197801,188.331059539,187.799204667,187.125623165,190.018980796	0	tan	0.12	308000,,
334459	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.797367122,213.287990371,215.197492497,218.534740732,218.280423729,217.85914475,218.853664675,218.523415518,216.3441519,220.939201379,215.324546349,220.14167243,216.509680762,215.904787136,219.262114527,220.281343962,220.239097411,220.47155217,220.644692451,224.890906361	0	tan	0.12	308000,,
332524	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.037644768,194.588159513,196.206743143,197.275802771,199.928253925,198.985104045,201.529849177,199.430750534,201.091898572,201.8703472,203.166572563,199.530436156,199.804713549,198.635242201,203.782626578,198.690462213,204.488360809,201.029818422,202.094334335,209.027030965	0	tan	0.12	308000,,
332300	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.088770325,209.72036438,208.569117637,211.077943869,212.628313054,210.502226856,210.31015225,212.197482928,210.814191288,214.595708214,213.420824007,212.676580694,212.545938253,212.844946548,210.151229398,213.647091294,214.853427059,212.138778267,215.765529802,216.432670985	0	tan	0.12	308000,,
335674	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	205.653131525,209.177148026,211.600277049,211.910532677,209.071597564,213.974203822,208.944093155,214.605662155,209.285411947,214.497298786,214.753828037,212.37519663,215.014487222,212.346858416,212.905433762,210.630901818,213.573943542,211.840458402,213.440363032,218.873882441	0	tan	0.12	308000,,
