ID	X	Y	cluster	func	noise	original_trajectory,,
341046	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	203.720182812,208.618347423,209.710952387,211.015829041,208.590544076,212.793494673,213.882119678,211.068841682,214.055400079,209.422093645,214.66396792,208.783402061,210.516426047,210.038039443,211.749556366,211.185665792,213.443861256,209.054847853,214.030236004,217.519933991	0	tan	0.16	308000,,
341800	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.393059497,191.177090908,193.4073012,196.060256542,196.032198227,201.379293846,198.734746758,195.797445106,198.260023547,197.551006915,194.669240122,200.33581629,197.698462339,202.709314645,201.562094717,196.077254485,196.243000777,203.092256408,199.551301085,204.7439783	0	tan	0.16	308000,,
341094	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	210.010476178,211.657314038,210.825569131,210.685425688,212.372142922,212.311340422,208.98687224,214.346542807,212.334027085,215.595328383,212.261738689,215.88457155,210.571017051,210.395495966,213.431089887,214.508510649,210.283404959,214.217809656,218.2661072,222.585826468	0	tan	0.16	308000,,
341554	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	214.388914101,220.107976561,220.208859932,218.015035575,215.267669264,218.169511998,219.069525651,221.753353071,221.131136416,221.686416854,221.45719281,219.00659772,217.579913655,222.782816943,221.608515709,219.215925491,220.179306084,220.015855152,221.027115287,223.265001396	0	tan	0.16	308000,,
343028	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	177.54567597,179.074910697,181.469814835,176.446090273,180.344562423,179.658327202,183.346607342,183.551338593,183.376426386,182.059066238,180.180944279,178.786457931,181.147845069,184.189475654,178.264776762,179.044698402,185.231774515,184.410029896,182.386871371,186.61038387	0	tan	0.16	308000,,
341204	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.120989229,182.095817232,182.965650232,182.214210534,186.422923553,181.980164677,186.776280433,189.851081824,185.381691672,186.955180638,184.529650735,187.992554202,187.048131259,183.188574303,189.467600875,191.060517377,191.417369264,184.434085413,187.685981946,193.72014192	0	tan	0.16	308000,,
343503	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.497458671,183.536095156,183.801817884,190.302380974,184.497977588,187.232417175,188.928739369,188.309281806,191.100567435,189.032784365,191.643369511,186.349220238,190.942132644,191.41824094,191.515984089,193.247277777,190.926746551,193.718733794,191.242717601,198.054045776	0	tan	0.16	308000,,
342247	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.231464309,199.381029551,197.534208345,199.020138889,197.043581391,203.37829092,197.241933405,203.675801827,203.893424874,203.385893367,201.88947715,204.714012203,202.490938323,199.015186248,198.208544796,200.585305362,201.388254046,204.262635835,206.246994681,207.427193865	0	tan	0.16	308000,,
341382	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.720047307,211.571626748,209.834424554,211.565370063,208.292399884,212.854856715,212.302016306,209.47574072,211.646604252,208.629957974,210.834572154,214.419549571,207.276791913,207.764624783,210.360388619,212.278822188,209.552357195,213.160109138,214.663672141,220.65375679	0	tan	0.16	308000,,
340770	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.100005348,190.319682104,185.675111131,192.435199132,193.050647552,186.638942725,191.472696908,188.573248099,191.470737656,193.458614886,192.795751536,189.722576529,191.034326989,193.810015657,187.100561199,192.349173092,191.50793004,190.963524965,192.451411464,197.979029335	0	tan	0.16	308000,,
