ID	X	Y	cluster	func	noise	original_trajectory,,
167527	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	68.5297936311,124.439828823,139.264783013,158.340332973,168.271506281,183.585815075,180.473229958,187.759820157,184.139858475,191.571915837,190.370102677,192.392664334,199.043785496,198.970852268,204.878838167,208.494776475,200.78168473,204.944230432,202.301608625,206.275795756	0	hyperbolic	0.16	132000,,
167201	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	34.8720583143,85.8339854976,121.300946393,126.743665689,141.05126986,145.235330949,149.869634261,157.914861137,154.079135103,160.19915563,163.71310492,162.12451835,173.16097179,177.30010119,165.289267997,166.026717834,175.092894513,179.446452436,173.943122149,181.234730442	0	hyperbolic	0.16	132000,,
164932	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-77.0113955577,-27.8366147132,-4.50230029366,13.1544982974,15.9763723361,35.0221992887,29.9876667105,37.5446659433,41.7093589093,41.7547994117,50.8965879555,46.219794659,51.3043627208,55.5293311076,53.3614775538,56.6777307536,58.9852386125,52.3437809081,63.0416120796,64.8449850226	0	hyperbolic	0.16	132000,,
165929	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-105.553977014,-68.7913794312,-44.2024950585,-28.7294787735,-16.8511505116,-0.590572380249,3.59469084215,0.744711959462,4.98330666333,15.3224006707,10.9562258314,10.0703001159,15.7859285497,14.2750116978,16.0182185079,22.9667776323,14.5678979654,25.6875346317,27.0665877149,28.7803810311	0	hyperbolic	0.16	132000,,
167872	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-27.0430949619,26.1229046505,44.0164324857,61.6985555883,70.0309142588,80.6554813753,79.0977363715,80.884483856,93.38637424,86.4587070769,94.3683327005,98.0737153535,101.549150285,106.160293541,95.6913996929,101.722574224,102.012406794,108.840980154,100.692276307,107.076351119	0	hyperbolic	0.16	132000,,
164818	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	59.5401332594,105.59089848,128.681394064,143.574670247,165.405830721,162.200455753,174.991161586,175.593318818,179.473209159,180.151119304,178.713252854,182.208807219,183.665555143,185.677317225,192.998638196,190.280838197,187.050109967,194.089374938,199.204121958,193.804632803	0	hyperbolic	0.16	132000,,
167690	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	44.092002019,98.6150582697,118.220558252,138.781396598,139.938663591,151.293986847,152.340364635,157.279017768,162.267949726,168.712593614,169.685047301,168.696255692,171.160659307,170.393680001,173.700287652,174.019527413,172.133986107,183.113487362,178.308782825,183.196307801	0	hyperbolic	0.16	132000,,
165002	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-79.2803613037,-15.9800766485,-4.41996472735,23.4146139428,27.0165269497,28.2747888436,37.4166833702,43.5511693599,52.4961498306,46.7017988218,53.1520075688,59.5851632509,59.9279233713,55.8291070556,57.1674797279,62.6122424503,58.7417201908,55.895902163,67.3960075843,69.4818871404	0	hyperbolic	0.16	132000,,
167536	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-129.154656846,-79.1066125307,-60.9071002839,-43.9586856572,-27.9110049265,-25.4429130975,-16.5784886498,-11.1250206426,-14.5322598246,-7.06908288568,-14.6149449438,-13.7939350523,-2.74257234011,-6.13228257017,2.47868547215,4.25426138819,5.2391070993,-3.29858036382,-0.814621891571,2.56461124883	0	hyperbolic	0.16	132000,,
165574	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-77.6329966476,-22.3394640803,-3.34249210623,14.0318031535,24.0477978483,31.7126679736,28.0030784405,44.2596495501,42.2329060902,46.0205130694,39.8843623641,45.4733373618,49.9246231997,47.2108018948,52.0375407493,59.9969864045,56.3077425947,52.8907574645,62.0816644933,57.9579913557	0	hyperbolic	0.16	132000,,
165993	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-52.6065619616,-7.98688645325,27.781840387,41.4049395471,46.7215994441,49.7293163761,60.2198067208,62.9405274727,59.7681830856,68.5642688211,73.3970098938,72.992017602,72.8473768516,81.915138986,75.6711724214,82.8168601223,81.7038428358,73.2786390143,78.9723352705,80.8241140243	0	hyperbolic	0.16	132000,,
