ID	X	Y	cluster	func	noise	original_trajectory,,
167087	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	12.9499063926,55.8249898651,82.1079428117,93.7683751436,105.292598689,117.750764215,124.137006771,126.217484577,131.884994505,134.515131351,128.570862682,130.503335536,134.910173431,135.596053551,141.976321397,146.204160485,134.894614561,136.866367369,145.692941828,136.180374153	0	hyperbolic	0.16	132000,,
165315	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-110.629322614,-52.1038739812,-31.6732876494,-14.3633520236,-8.93007046201,5.71747506391,0.371279048738,12.5501361738,15.9959552041,13.6686036619,23.1999905642,14.5235957568,15.2576351976,20.1516904707,24.3731608264,25.1796327921,19.4474898232,24.9948621974,23.1424432194,24.3873468864	0	hyperbolic	0.16	132000,,
167244	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-120.794881984,-68.8248089725,-45.5617161966,-33.1723631021,-19.4837103677,-11.9968096969,-2.96411920276,-3.80627502559,5.75522842172,5.13482003236,9.1327584799,12.6700553463,2.73197252636,4.83741486832,7.15556814735,15.8747559143,18.2097380854,9.70204972688,20.9128150869,10.1663606986	0	hyperbolic	0.16	132000,,
167416	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-129.556705668,-81.9814129573,-60.6585061797,-38.0086594098,-29.0556809444,-32.6082685608,-25.5831088251,-18.3463944146,-7.77779328979,-10.5248656984,-3.78822469722,-7.57967399625,-4.81241527877,3.60324955363,-3.59592090726,4.73269550562,6.18059556847,-0.745373012762,8.28911162638,2.23641133764	0	hyperbolic	0.16	132000,,
164195	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-100.384321414,-50.1786682752,-17.2650949526,-10.2131003458,8.87814499818,6.58781783359,15.7390494044,17.2324681648,24.9340066973,22.5907996243,26.3792676284,30.7629065226,35.623039696,38.4925530426,30.2223563075,34.0455979219,44.1270423055,35.5875078613,34.4174765129,43.1114151544	0	hyperbolic	0.16	132000,,
164839	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	1.84639348934,49.3958678658,74.9303313169,78.37874114,90.9203138119,102.309561998,101.950290106,105.63369876,114.540051672,114.60320161,121.793882427,121.403466345,118.809272046,130.662750487,121.585861011,128.733001257,121.958860767,135.19015484,135.10123963,128.430524232	0	hyperbolic	0.16	132000,,
167878	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-73.6379832965,-28.6019889665,-3.13364902438,7.94272761443,17.6810085076,27.893073209,37.9685653636,34.4763864254,33.7599953532,48.2717139454,49.390580009,40.0366086313,54.7904875827,53.192048228,46.0484005365,46.6629887985,49.0068459364,58.9849687344,49.1815963233,56.4284759327	0	hyperbolic	0.16	132000,,
167671	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	20.5048573299,74.510755562,90.3499813798,103.99168339,118.461408461,132.442540742,139.017055895,136.933524225,146.435033894,140.958676683,147.286012046,152.9082706,151.546436233,155.381176614,152.203865685,150.75709883,148.704059991,161.140929727,157.900411088,159.705844415	0	hyperbolic	0.16	132000,,
165514	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-56.9366286555,-4.99700048426,27.1356065223,30.6470883948,48.7419883735,58.7599592212,54.0013501929,61.0755140569,60.9090188119,71.1004850347,72.6070585983,74.8533912863,80.6446677022,81.8356393752,81.2945693113,77.1833503544,84.3160358213,80.7817729777,75.4256522184,79.6219046831	0	hyperbolic	0.16	132000,,
166316	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-51.2105598502,3.96532743871,22.2426140607,36.3180413467,42.3511012909,61.1909186785,60.2914277358,63.0689124863,67.0819998532,64.1621370393,72.5167408281,79.429482589,71.3470865578,77.1720688775,79.7555460768,86.6466250698,84.3217332424,84.791186853,79.7262206901,86.6728831357	0	hyperbolic	0.16	132000,,
164975	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	51.0889805212,102.971378354,119.936924569,133.78514927,145.021893778,153.641098446,156.880249185,161.285392621,167.054979399,175.535211193,173.265834738,175.234651078,180.668799003,182.730415153,178.785236975,181.076455641,177.78084533,187.809525229,185.745460562,181.105481494	0	hyperbolic	0.16	132000,,
165125	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	57.8610777635,106.450232334,124.992984804,145.266927118,157.863017069,160.203744357,168.36033032,172.464569097,173.203935528,173.875573097,172.650268999,179.124065301,179.451715224,180.678912083,190.912911289,178.480233169,183.11457836,185.675384425,184.84429234,187.641827997	0	hyperbolic	0.16	132000,,
167866	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-30.0858261528,25.9961525055,48.3271226442,63.3375095439,68.7795391152,87.1010242592,86.4574134437,86.5945253149,88.9566355178,91.6360548772,104.744216995,105.258304854,102.504361636,98.4620853444,105.414441652,102.857342758,107.618679728,103.159756863,110.178120906,107.68311977	0	hyperbolic	0.16	132000,,
