ID	X	Y	cluster	func	noise	original_trajectory,,
341741	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	189.749709562,190.062370772,189.563043865,192.402579372,189.729369804,188.373858207,193.294310332,195.58478697,188.298060614,189.012190092,189.551519426,190.169516129,191.278485381,196.801753801,190.737097469,192.345146747,195.520903023,190.802635681,191.629467368,201.709641513	2	tan	0.16	308000,,
342465	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	211.833228355,212.653358809,219.098311637,215.978442762,216.243277107,220.197119032,220.645789667,215.447400275,220.165275444,215.201271931,215.574560814,217.995942188,216.397752487,215.92388862,216.207505344,220.565019633,224.014729021,218.580428368,224.309957935,225.661568282	2	tan	0.16	308000,,
340874	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	207.711148987,212.767817679,218.184199655,217.855708473,219.165716783,213.044963715,218.74464817,218.757788502,216.933684444,214.659405782,219.857755617,215.592311319,215.676813704,216.582330553,215.887075866,217.540864553,220.891241587,217.379530675,220.815932833,221.345004314	2	tan	0.16	308000,,
341329	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.561002873,194.598786208,192.812668729,195.532624355,194.55665692,190.973018912,196.936991919,197.339908779,197.054152106,194.258233925,190.417009778,192.763909623,195.726284693,191.635848091,198.581280512,196.107447891,196.675794406,195.436515196,197.633956114,200.706172566	2	tan	0.16	308000,,
341814	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.298912537,183.187198228,189.091879395,189.620450884,189.394720613,190.202196402,190.703990006,189.622536068,191.340228734,188.337261143,191.819312805,185.528891526,192.313768742,190.193580619,186.992343074,191.389488988,187.116215518,190.645584174,188.745826057,193.811013764	2	tan	0.16	308000,,
340652	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	188.943851662,189.314981541,193.833165783,193.432765572,189.662396028,194.52956534,194.817623915,195.872634593,196.3607452,196.975367196,194.480912952,195.390535184,191.339314686,197.381132876,191.575481169,198.37240713,196.169936864,194.818118473,200.889408358,200.974279406	2	tan	0.16	308000,,
343529	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.732461743,214.103718294,213.109475406,214.059238996,215.429850502,219.133033548,218.147470451,216.77445866,218.468529367,219.734042275,220.38250716,218.550793909,217.481561422,221.387449743,216.609405463,219.762066421,216.330881304,221.344001321,219.867086465,228.151813511	2	tan	0.16	308000,,
341953	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	195.054694641,196.915256518,197.874853983,200.41858228,200.376517662,199.49980012,198.852427469,198.304164082,196.958471894,201.975131321,194.819943253,198.972660744,202.945571266,200.665111996,202.44864853,198.651083871,199.002699988,199.217725192,204.376347731,204.315706828	1	tan	0.16	308000,,
341130	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	192.9292212,191.609905394,195.787705381,191.417989568,197.656202195,195.126610591,197.382814063,191.41131005,192.118001812,192.913414844,193.024846189,195.321025179,195.988225904,192.346515497,199.29636671,200.206553577,195.107717272,197.203566503,202.192967894,199.022439575	2	tan	0.16	308000,,
343122	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.973211584,205.872394193,208.112738503,202.312542963,204.842582183,205.327024287,209.803039534,205.330864728,204.557817376,211.318439494,207.534228037,207.497439951,208.262377372,210.370913842,210.821083621,207.395363742,205.262288721,206.041414382,213.764854918,209.865611257	2	tan	0.16	308000,,
