ID	X	Y	cluster	func	noise	original_trajectory,,
173809	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	1.06106680556,52.7793014493,81.6645662145,98.5537560611,98.2584695366,109.677773922,121.347725867,122.764848384,116.827525483,128.489339686,122.631498799,134.682428652,124.724455099,130.070857591,135.591637051,139.801390033,138.177764612,131.528265067,134.078425894,143.764514663	2	hyperbolic	0.2	132000,,
175894	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	18.0454842094,52.9933033317,85.1931995336,99.8213879842,106.473493196,126.731144981,116.36842289,120.127259696,136.568116832,129.008881261,141.356652488,132.687753307,144.58983751,132.927778778,148.900397554,143.090144068,145.895951927,152.099425964,147.200870582,148.997337492	2	hyperbolic	0.2	132000,,
175094	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-99.49840947,-51.4553259373,-13.8562771882,-2.50838240313,10.8418922341,4.33685675807,9.13988547272,28.969163685,18.1174425168,22.1686911247,36.1479343235,23.1202218598,39.3124102521,33.8851422771,37.3981540542,43.9256157513,34.6363780343,30.1400317272,43.6824803554,35.6726428179	2	hyperbolic	0.2	132000,,
173724	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-116.86028142,-52.1624074484,-34.9356892102,-19.3483970637,-8.75517533948,2.57890578049,-4.03352239769,13.3429971621,13.647490818,5.32203614931,12.3452330252,25.9459534905,19.7452821371,13.5803159287,27.1751001803,27.221743824,31.0141160494,24.8010823643,32.0148917779,25.0136357414	2	hyperbolic	0.2	132000,,
175612	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	118.558814326,168.062857571,199.967457675,214.352001056,219.191649367,220.787279706,224.90056738,229.884123218,240.601705345,245.400982668,241.895580647,236.380193407,251.808324642,245.001217996,253.284140218,248.125827376,255.930159028,251.240665242,247.801104859,253.899856768	2	hyperbolic	0.2	132000,,
175935	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	105.309673716,150.569403164,173.231068144,191.051138538,200.541876187,205.746338973,221.709676111,213.963323582,219.886843056,229.964121414,220.646118962,235.64446543,229.650679975,231.717846924,227.795172836,239.880372737,243.338801644,244.413414282,242.0491161,240.039161858	2	hyperbolic	0.2	132000,,
172123	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	1.58601303852,50.2942507389,75.8770863573,99.5850255552,109.968305997,112.206921887,113.410547631,123.402121415,127.779081769,136.643698913,126.256748325,135.842516143,133.089545727,130.985821057,138.609608821,145.979446784,147.250157317,134.367289609,147.951866347,138.558275872	2	hyperbolic	0.2	132000,,
172589	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	8.37337638147,56.7915932579,94.366877312,96.8034975403,116.078252161,117.02726534,126.298208476,121.42516825,128.681951485,140.568731263,142.662714668,147.288041851,143.100409652,133.984558531,145.770417082,141.271172342,140.040827336,148.811152933,142.115940851,146.988870387	2	hyperbolic	0.2	132000,,
173733	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	-19.2263012964,28.5706034039,61.1697615524,68.3058503859,83.830507265,81.9355092629,95.6899111944,100.080935599,99.3355782105,98.5773319727,107.155568119,114.482339178,109.111955702,103.470552766,103.580194499,115.486728142,111.531415286,111.764868696,121.396159442,112.178503619	2	hyperbolic	0.2	132000,,
172566	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	95.9020931575,151.044918091,168.326811204,192.436947712,200.60850579,206.266040854,204.205265875,213.983698428,212.514020321,216.392277445,217.134874538,229.062146263,218.048034321,221.48926703,227.251846088,222.181424527,232.847604994,235.187017667,232.24174227,225.586175678	2	hyperbolic	0.2	132000,,
