ID	X	Y	cluster	func	noise	original_trajectory,,
349134	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	206.405053212,210.921264025,211.205592544,211.433651932,212.597668604,215.348068118,216.782487881,213.426217201,211.673639511,218.273082668,218.785683074,213.826733046,216.430698841,213.046411337,212.888769674,212.17490263,213.706179377,215.784179865,218.115123137,220.619548656	2	tan	0.2	308000,,
349622	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	177.938226383,187.193670515,182.445855941,185.630461171,191.26023538,190.83022249,188.615459168,192.35213927,188.665572051,190.897289907,185.791759088,194.007928924,193.098352262,185.453973166,185.659750151,190.994460666,191.53586551,195.282457762,196.957346303,192.147810743	2	tan	0.2	308000,,
350389	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	186.70269236,191.039580923,199.293582161,193.088537868,197.753799781,191.028945927,199.451346051,193.966749744,194.83484807,191.959820765,191.617592365,198.709812055,197.274032578,195.719860715,194.138106923,194.881588963,197.058724052,196.410965964,199.476198365,199.457411177	2	tan	0.2	308000,,
351267	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	183.400810751,180.108098787,184.395606159,183.518860691,189.839263804,187.653531379,184.761367023,181.471637513,190.172820339,184.876933784,183.768669133,191.683774111,182.352820805,184.290549267,186.187782573,190.483807054,185.432995237,189.123868626,184.502379302,193.132354928	2	tan	0.2	308000,,
350141	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.648304553,186.872962668,190.980131197,188.828902174,187.519044367,193.553670439,190.114897293,186.583932938,195.250360433,186.646794102,196.025184237,194.508627604,195.928324711,196.688073219,194.961238471,194.153300264,193.970632347,198.146624218,194.534567799,201.904284026	2	tan	0.2	308000,,
348734	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.329172583,203.336338921,200.370724288,205.176429038,210.328369991,209.891440317,207.945525691,208.293844521,211.331464317,202.345119137,209.642564848,202.764009333,207.858437739,203.029747714,205.85024056,207.457290015,212.735408536,210.098644795,213.315160863,209.302177452	2	tan	0.2	308000,,
349362	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.075385734,194.368875256,194.824652441,198.218219115,194.530096424,201.100909519,195.943896945,196.405847632,202.720870972,201.595569047,197.317092124,203.200914781,200.714172169,195.947555782,197.673868509,201.062680094,206.183377688,202.490646634,200.947922892,208.277800227	2	tan	0.2	308000,,
351857	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.502536492,203.741144023,202.636407084,203.327817541,204.404865117,202.617022286,211.674100875,208.330478558,204.46447117,207.296385005,208.606125855,208.534640172,210.783672063,210.779702667,205.952845391,203.772250029,209.186149261,214.196490552,211.339447367,208.854703276	2	tan	0.2	308000,,
350351	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.537776925,181.416070456,178.438481968,183.537260033,178.134231042,181.937080113,178.939329685,177.115821764,177.647341607,178.756409691,179.319374221,179.682994234,186.062504232,187.976960536,180.079811655,188.139506111,185.291250838,182.736637066,188.148437252,184.96536124	2	tan	0.2	308000,,
351317	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	199.966832968,205.759994604,201.083095688,201.346183922,205.368850843,201.828211588,201.698698208,209.261696052,201.983863052,204.392083163,209.447225484,206.937076643,206.359708582,205.739298971,205.121993637,206.535628223,202.776806249,210.103098288,211.022608871,213.09946028	2	tan	0.2	308000,,
349168	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.549824013,198.394470091,198.753915237,196.304996111,193.966623406,197.113136471,193.295810139,197.34744338,200.924069563,193.349397697,202.760103228,198.416947493,199.878462244,199.926999551,202.108214983,201.634801458,195.525387356,199.450644643,198.19141435,203.813826476	2	tan	0.2	308000,,
349682	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.739220241,186.667172489,186.281038778,184.003172281,185.361893904,192.80389504,184.413822004,184.399222852,188.21459858,193.382668818,192.648958071,187.871723356,188.827757258,190.811893607,195.082202359,188.042554201,186.435115576,189.376466626,195.699199029,195.602515962	2	tan	0.2	308000,,
348620	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	181.834470077,176.036680667,179.155703823,179.216794894,186.386438005,185.08149422,185.296655371,187.341296154,184.28914895,183.050562428,182.938052569,188.281368,184.606425329,183.948565132,181.676453814,181.039783994,181.243011788,183.115283326,186.808087467,191.24439827	2	tan	0.2	308000,,
348503	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	191.449539471,201.125876554,198.304915488,201.123048262,195.792414606,203.969742498,198.121209279,205.163053642,196.742880751,201.706103529,202.668184469,203.840340671,196.725914015,203.938444133,200.236917305,205.158676608,197.424450469,203.070704806,199.146601579,207.381567328	2	tan	0.2	308000,,
351844	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	213.657235366,213.507851596,213.418846948,216.783868658,221.535156185,223.458824493,222.858786087,223.585928649,218.848641422,216.217225712,218.546805923,222.043799872,224.805170991,218.843289273,216.503289956,218.182003365,223.673276532,219.188897238,226.789289987,225.33869828	2	tan	0.2	308000,,
