ID	X	Y	cluster	func	noise	original_trajectory
141671	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-108.970281217,-60.6505307909,-34.5828412958,-19.6696473419,-9.16062485683,-3.34859537534,4.92642584555,8.27004532097,9.44429155078,13.7998707972,15.3357921721,19.5669064965,20.5266186141,19.5509205245,21.9375956421,22.1923112316,24.635604102,24.6531605148,26.0532339014,27.4790336899	2	hyperbolic	0.04	132000
142250	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-27.5221959769,22.7818295357,47.5192402936,63.145089374,72.5498386889,79.3717446511,83.9857375392,88.2555439895,90.7179933635,93.5292987211,96.2859880484,97.7062166929,101.86881917,101.90318427,104.750685677,104.522265778,106.351342054,105.270826976,106.804751075,107.740268392	2	hyperbolic	0.04	132000
141518	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-43.9776280354,7.40564656872,31.2956511342,48.4190887673,58.9985667128,66.1749326754,68.4068917756,75.2780036814,78.0493756884,79.1594024965,82.9088419038,83.8818551468,87.0137677697,86.0260824052,87.6006142085,88.3986337154,92.3420383005,92.0771915083,92.2371272809,92.0058901136	2	hyperbolic	0.04	132000
140826	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-114.14862903,-65.3942593119,-40.825237608,-25.5493300915,-14.2386804102,-8.64395939338,-0.976702461193,2.55297161358,4.74208519689,8.78556780278,8.53325721922,11.2422228582,14.2696861467,14.1489863306,15.4671616468,18.2322506846,17.5602699254,20.6200482458,20.8745423105,22.0271169215	2	hyperbolic	0.04	132000
140592	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-31.2414458481,16.7444177056,43.6434242029,57.2840339971,68.203926922,73.0624419673,79.0993161543,85.4104259421,86.8193109874,89.1750535689,93.0029362932,94.8896354412,96.4497840178,97.2889497594,97.2046512588,98.5699820606,102.230473694,101.981929904,101.092258314,101.609510871	2	hyperbolic	0.04	132000
140404	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-126.613530094,-75.7985033447,-51.0704716728,-36.8569430121,-26.7319162392,-19.3857135945,-14.6784081754,-8.75259993913,-6.79098823845,-5.28020907069,-3.04233169354,-0.446660340907,1.67561369731,1.69777848026,4.48945873739,5.90346014653,6.35208186803,8.73403940502,7.60962651793,9.42671897403	2	hyperbolic	0.04	132000
140660	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	118.216684527,166.800061549,192.86074869,209.265204315,219.680865429,225.017011234,231.154446914,233.772143437,236.540548099,240.017903948,242.53018332,244.809523048,247.999646555,249.715086259,248.235562429,249.30078928,251.12814435,253.99698828,253.5888448,255.199786131	2	hyperbolic	0.04	132000
140420	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-73.0541192661,-22.799362836,4.07722335411,17.282045124,27.7134287136,35.3939103129,40.1038595104,44.5761450243,47.4930436725,49.9490821528,53.7422904411,54.5589608807,55.1050296527,58.0058380375,58.234460185,59.6734725017,60.8523706962,61.0272597352,62.0564218409,63.5883006158	2	hyperbolic	0.04	132000
142579	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	119.946750391,169.569726187,192.325994328,208.371153896,218.267221099,226.972551612,230.075782806,234.989050606,239.055388106,243.145032909,244.358220451,247.451759665,247.582539099,247.457617122,249.97734899,251.27708345,253.560482992,252.795008148,252.609271302,256.230670124	2	hyperbolic	0.04	132000
140664	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-81.9858598046,-32.9212798346,-6.84400517707,7.70014778094,15.7120560499,23.0461182093,29.2251849184,32.5454456249,36.2036565373,38.5848524061,42.2094819316,44.3486159166,47.3627911417,47.702529669,48.053792567,49.3847970681,50.6343753911,49.9469114348,52.2379084803,54.3780867057	2	hyperbolic	0.04	132000
143496	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-100.196245111,-50.6802311932,-25.4563787034,-9.52583513844,-1.01023576204,5.19732366699,12.379124072,13.8033075391,19.0716734584,22.6956526499,25.3490262892,25.1528855423,28.6015306383,27.2366850725,30.0887695185,32.7879317463,33.7101976764,31.5451206197,33.637362481,36.0954318908	2	hyperbolic	0.04	132000
143741	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-77.03508817,-26.0845593651,-1.24557261436,13.1952844363,23.0718529687,28.6088695079,35.702692909,38.8148266764,44.0707549661,46.9574566019,47.7389159639,50.929403725,51.072987495,53.110629588,53.7123688404,54.2452706434,54.6788785844,55.7347258312,58.5523002761,57.6304803721	2	hyperbolic	0.04	132000
142691	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-132.373565704,-81.3430685994,-55.5266398642,-42.1713536092,-30.0440803575,-23.3122077536,-19.4368330075,-15.0017557851,-11.5515590215,-7.56632061683,-5.72805868573,-5.1695652277,-3.06987124692,-2.86563251868,0.769474759685,2.6769885583,1.42468077046,4.4320590365,4.96380395812,6.13211188559	2	hyperbolic	0.04	132000
142355	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	95.8768045056,145.540326862,171.669499137,187.456445125,197.760110893,204.171762271,208.132621722,212.798615514,216.978839672,219.332160933,222.614108623,224.581500365,223.749257106,226.410803969,228.285923975,230.331107854,228.000168444,229.972346542,232.216092825,230.843509245	2	hyperbolic	0.04	132000
141757	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	93.6840672191,146.840962374,170.616526649,185.45944571,196.081261802,201.535879632,206.519697554,211.247491268,215.161490252,218.584300693,220.548213958,223.535144593,222.608082006,226.844410987,227.381945007,226.558301243,228.784765205,230.670962054,229.352663405,232.534925337	2	hyperbolic	0.04	132000
142279	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-0.672274464455,50.5288078412,73.4232221391,90.3654011016,99.3241699938,105.734710162,110.959897537,115.121037199,117.785668673,121.269818036,125.528034894,127.341472526,128.622956769,129.359814251,130.317028964,132.644226231,131.295383219,133.034814853,134.105782182,133.532357667	2	hyperbolic	0.04	132000
143282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-79.6485866239,-26.9348308166,-4.73978399864,9.81607408155,20.6722135231,28.3466617866,33.2225087124,36.7441655396,42.2617685082,44.0683906035,44.9000350592,46.9863101732,49.3921314733,52.8535784685,53.9281611489,54.4621354153,55.1705213119,56.5631388698,57.7684841773,55.8501605937	2	hyperbolic	0.04	132000
142123	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	131.206269289,178.302981083,204.220833321,218.8084088,227.869241444,236.544550695,241.53713176,247.335310409,250.710144679,250.503673927,254.633003574,255.922071161,258.886729171,260.731910785,261.418267346,261.042273231,262.98675636,262.225810626,264.742987801,266.91840899	2	hyperbolic	0.04	132000
