ID	X	Y	cluster	func	noise	original_trajectory
317448	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.104327835,212.396951232,212.220988069,212.666817614,212.83019762,213.594204638,215.04578756,213.453057429,215.396241119,215.461327467,215.064845394,214.826179999,215.506387174,215.072780626,216.096020851,215.724094543,215.940860576,217.385543649,217.029002088,221.740550395	1	tan	0.04	308000
319076	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.595524569,186.895271225,188.737842091,189.830625096,189.3664033,191.142305083,190.921171585,190.467859842,190.825951292,190.912778036,191.145015694,192.171248712,192.36638649,191.791197501,191.832987269,192.173766588,192.483399015,192.886702656,193.469772226,196.614115632	1	tan	0.04	308000
318467	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.945729587,180.983611536,182.178366999,182.620904623,183.188043991,182.006143619,182.167690173,183.096620379,183.019695664,183.989532585,183.045843811,184.703290526,184.964543869,183.734018332,184.342769735,185.41571384,185.142271527,186.530330433,186.770523046,191.038643598	1	tan	0.04	308000
318654	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.40147702,194.489107683,194.961238551,195.919145592,196.530233251,197.174578881,196.238992981,197.233887971,196.703696523,198.207240478,198.42352915,197.544010067,198.448875525,198.652033818,197.893444374,198.767775706,199.590505436,200.213063898,200.655626138,204.02915012	1	tan	0.04	308000
316253	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.802105587,182.547577123,182.331926703,183.902457366,183.804885765,184.384156495,183.65581459,183.562137634,184.425705504,184.996911279,185.240010673,184.672421513,185.201412467,186.191949457,185.212708878,186.714287522,186.426216579,187.077966696,187.739522827,191.847467884	1	tan	0.04	308000
316277	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.360872124,204.937009646,205.435564599,206.43934398,206.473206901,206.344268227,207.458688944,205.923287009,207.654906563,206.899373698,206.928150098,208.046159418,208.131924592,206.984180034,208.44524562,207.764149346,208.462112916,209.448050876,210.159168384,213.995570708	1	tan	0.04	308000
316611	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.300247856,211.889385729,213.135302168,213.711935507,215.765117919,215.987097601,215.163072096,216.270206424,216.358800015,214.985500871,216.005505008,216.66407294,216.237390505,215.954594105,217.533738754,216.651679713,218.193080826,217.518790155,219.959385209,221.336479949	1	tan	0.04	308000
318084	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.468965984,190.562946401,192.047656142,192.073739108,192.906216425,192.419558052,191.632802303,193.071850674,193.412534911,194.05550768,193.563375249,193.125934151,193.025682395,192.807682802,194.743886718,193.454658141,194.713844062,194.803008286,195.431184595,200.389036232	1	tan	0.04	308000
317416	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.790200083,196.676690759,196.197056929,197.760876663,198.192198182,197.838483392,198.232864857,198.991679579,198.252739671,199.847639301,200.143396602,199.531312476,199.99102264,200.645793205,199.908732498,200.398372121,200.622858177,202.143095215,201.362771375,206.437381984	1	tan	0.04	308000
316054	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.827786729,201.444507433,201.656683541,202.340964021,203.702013335,203.694820013,203.657373756,204.578445473,203.379971518,205.379025243,205.647510943,205.193148256,204.131852802,204.497012103,204.49955942,206.203369403,205.495970048,206.580673663,206.8648226,210.490842486	1	tan	0.04	308000
