ID	X	Y	cluster	func	noise	original_trajectory
324863	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.398242412,215.163607673,213.630861912,215.337146861,215.156416289,215.228071252,216.471566947,214.624302871,214.569423502,216.333480004,218.087180157,218.474455122,216.677777177,217.604203548,217.903486645,216.915017918,219.182071795,217.070535855,220.774355269,221.513523136	2	tan	0.08	308000
324824	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.648461094,203.945793749,207.408396029,205.274519933,208.091934289,205.117064651,207.24480563,205.540212404,208.773838911,208.86241509,208.664733911,209.595460601,209.725708253,208.052192263,208.831755759,209.527034844,210.816845341,210.564468389,208.92901894,212.423934	2	tan	0.08	308000
326916	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.228461856,209.867853719,211.679728137,210.283114595,210.87249976,211.751264417,212.410179004,211.824206177,213.591123192,211.410878931,212.538840463,212.937549565,213.213830412,214.911114302,213.668383089,214.346554846,214.987152174,213.289483926,213.818744268,220.081901155	2	tan	0.08	308000
324108	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.936025751,214.06392383,217.847346087,217.923668199,218.422498553,216.674020641,218.211616205,219.008777801,219.159974442,218.299378302,218.440887773,219.733365853,218.636211683,219.427747505,221.318905481,219.379034321,218.906638,222.639468428,223.548941374,223.677793997	2	tan	0.08	308000
324884	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.917060567,212.632576549,214.263782005,217.922724365,217.748903448,217.660320502,217.586059012,217.70754943,216.284309787,219.347455956,219.304387732,217.269643449,218.169920907,218.834050591,217.725905925,217.179813705,218.907708306,218.632488318,221.906702338,224.570130347	2	tan	0.08	308000
325362	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.315165142,205.21696703,205.84374959,209.912505762,209.280612102,209.094908127,209.491651233,207.608615075,208.216799077,207.937870029,210.836877866,208.021305541,210.177027507,208.60817676,210.057423195,212.494954349,212.004410114,211.036977989,213.735628129,216.122955025	2	tan	0.08	308000
325471	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.595506686,208.977760817,208.005486976,210.839847378,209.923151092,210.031352813,210.600581442,213.031406025,212.343093416,211.003653272,210.193903692,210.20150708,212.607172269,211.99131521,212.703116373,212.810249795,211.566658832,214.406267515,214.456325148,217.021362848	2	tan	0.08	308000
326568	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.194724284,212.117131777,214.012977378,213.845840166,216.745272458,216.412996273,215.645293896,217.961042496,217.7696468,214.982772443,216.738228361,217.052805909,214.981644284,217.896148713,217.277820365,216.864789458,219.575486545,217.25676333,220.311540703,223.175309996	2	tan	0.08	308000
325109	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.246379408,190.900023167,192.773671325,195.79945782,196.102543926,193.184657061,194.532413425,195.949010683,194.115727789,197.378596796,197.643185762,194.649188074,198.164344414,195.433817318,197.018237454,198.822641284,195.882587255,199.464072209,197.015155895,203.664269453	2	tan	0.08	308000
326875	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.9009782,196.266740001,198.300090069,197.785451221,196.914033171,198.309051872,198.738221843,198.956015572,196.600398994,198.25714337,198.909508429,198.914622487,200.639829879,200.066414959,197.898927766,200.302399975,200.268312968,200.435215376,201.239563352,204.658660052	2	tan	0.08	308000
324194	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	189.817645882,191.831007815,195.831005689,196.522115148,196.034660174,195.885290961,194.793469647,196.872019698,196.84679245,197.705003041,196.896316864,196.260535677,195.481508815,197.647488227,197.763739188,198.896590172,199.318814628,198.538186756,200.986064917,203.811482956	2	tan	0.08	308000
325018	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.19475417,186.56929225,186.575813082,188.122385815,188.409756372,188.229979352,188.116493937,187.809257052,188.066096297,189.055860243,187.02699045,188.202604971,186.85258985,187.422265961,190.190734732,190.287868534,190.761110811,188.541294506,193.181093668,195.312843503	2	tan	0.08	308000
325985	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.179145062,200.993678465,204.017621605,203.011116578,205.863454369,203.591769281,203.818983477,206.422145813,204.778185627,205.330393042,206.46443148,206.875700347,208.007124859,205.795060885,207.992251515,206.11516603,206.914054681,209.770120177,207.623578725,213.752312172	2	tan	0.08	308000
324062	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.753083224,199.717653239,200.68871396,201.678512834,203.213623504,201.176340498,202.502281281,201.830210115,204.214317479,203.989155181,203.079145256,204.307449445,202.738593685,201.286693245,202.737960192,203.281718194,202.459992633,205.918541209,207.412969304,208.535454046	2	tan	0.08	308000
324716	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.209644078,216.457680815,215.269639887,217.064939868,219.164168662,218.201365315,217.162958078,218.586718441,216.688287764,220.39201053,218.095645016,218.765417447,219.174487538,219.910752897,221.31058137,218.417678827,219.802608201,222.497098431,220.430287575,223.977481187	2	tan	0.08	308000
325130	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.932700933,186.850036026,190.099029053,189.696562416,189.024448625,191.50362666,191.077565113,192.632985265,193.09897105,192.378172586,189.819604074,190.295631171,190.437293012,193.47072652,192.077665034,191.097436607,190.866181117,192.634782394,196.053391672,197.601478815	2	tan	0.08	308000
