ID	X	Y	cluster	func	noise	original_trajectory
151080	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.133161371,124.286341504,146.666812929,166.584331262,171.46919522,177.885729871,184.709771101,189.538731273,195.425363542,194.909915589,201.276665743,202.360403799,204.973656264,204.022140798,201.883857061,207.089983444,209.500792497,208.881511659,208.679945201,212.421281925	3	hyperbolic	0.08	132000
149109	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-114.128244108,-62.7855572651,-41.7410823755,-27.2021130535,-11.3649503817,-6.34360820718,-2.32647824241,-0.294098682246,8.35212656841,9.94252763437,12.2495413977,14.6321189317,16.9434709118,12.9277393923,15.5855745227,19.2846800168,18.6077098146,22.3315540179,21.0049480307,23.9413952629	3	hyperbolic	0.08	132000
151451	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	17.223523528,65.8051121486,93.2790219436,107.182483345,115.871308971,124.570698209,125.911196014,128.544152741,134.374948142,136.461852861,142.919600698,139.160445926,145.607386148,144.643226972,147.064602173,150.57754705,149.988691902,151.270984273,152.811568583,153.007539197	3	hyperbolic	0.08	132000
149244	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	37.6707994184,89.6823194329,115.599846722,128.825343143,134.062751918,143.996626668,152.475603881,154.512927649,158.417204346,162.734734906,163.919517439,167.279764366,163.897016647,166.564379252,171.759678018,170.753369023,167.66412844,170.39342656,174.543045711,169.938991958	3	hyperbolic	0.08	132000
151330	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-116.626201359,-67.5818223305,-43.5088595253,-28.4042691592,-15.7540067344,-6.24998921705,-1.56731950988,2.81802144803,2.74159281394,7.94111591417,10.3981959308,8.8794474039,14.3027094175,15.7025129708,14.432925996,15.7188438346,18.720920135,16.5518342581,20.6185157551,22.8593393995	3	hyperbolic	0.08	132000
151458	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	22.9339229035,70.9471338105,95.143125462,113.02561392,126.335777379,131.885896591,134.484720636,139.573090794,144.213736479,148.949669414,147.43821917,147.787898048,154.881610647,153.378104013,157.142345847,154.920749428,157.822008833,154.135017681,161.179735528,155.895590008	3	hyperbolic	0.08	132000
149904	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-44.4528529418,-0.055523756532,25.2369744166,45.787829054,52.6278546694,56.7601613313,63.270499505,72.9781428672,72.0903177088,72.6520413831,79.0821744496,76.6690251483,81.6007436819,82.828335725,83.8788016434,82.6908175874,88.0148758289,87.5715670906,85.8476768996,90.0396052903	3	hyperbolic	0.08	132000
150756	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-71.9061798142,-22.3961387368,1.01318523333,19.7653983243,25.1852058591,37.9952498255,40.0338004699,41.8318201628,46.2723417203,52.3209868094,52.457239173,54.2692528269,56.2562846787,57.1644854158,60.8057130276,58.4677292675,60.7669181812,62.3298662712,65.5418546337,66.7193286149	3	hyperbolic	0.08	132000
151039	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-16.5272883723,34.5351943556,54.4731672529,70.6182187355,81.5779399815,88.3791621211,91.7325083576,99.6455105008,100.989668379,107.572426354,105.244772818,111.645478583,106.929046921,112.446591134,112.854623435,115.527874653,115.60673625,118.288093974,116.563672019,115.936317154	3	hyperbolic	0.08	132000
149404	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-49.7283948917,0.442171307929,29.8088480291,45.331853946,51.413580099,58.2731808878,63.7120544327,69.8940782155,71.4455560952,73.9992279374,78.4811369608,82.5090905346,81.7115906343,79.3156102635,81.7033158351,82.9853744747,89.4297909516,87.5836568028,90.0837320925,85.1546201924	3	hyperbolic	0.08	132000
148905	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	39.3262056219,85.9546416436,113.925680082,124.312913714,137.612568041,144.865139056,149.500463559,156.422535378,158.127871965,160.258600281,161.662100535,162.456021953,162.885107903,166.892087085,168.112732987,167.735661113,169.41487751,169.373312948,174.730573047,174.173753412	3	hyperbolic	0.08	132000
