ID	X	Y	cluster	func	noise	original_trajectory
325917	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.085520172,200.43118674,201.816329297,204.525024398,203.748034209,204.389977321,202.884629151,203.763556509,202.517589564,205.561688419,205.822186195,206.204602421,204.019385445,204.712469101,205.498691404,204.212481358,207.611895994,206.997639741,208.553488033,210.50134393	3	tan	0.08	308000
325733	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.204263533,217.993454128,217.95640172,216.545924447,216.736329004,217.782048754,219.160539016,220.391693012,217.839571701,220.436046906,218.312604638,218.066784746,221.701093667,220.438195967,219.375075361,219.455654626,220.22017474,222.246482573,224.199911437,226.810326112	3	tan	0.08	308000
327835	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.49362736,188.154099633,191.832162509,191.864372061,191.719389858,190.841989324,191.884833495,192.340197854,191.475424797,194.171161523,191.603580409,194.412908294,192.856640881,193.950036313,193.294967798,193.224232188,193.119841779,193.330539526,196.018853402,197.361369362	3	tan	0.08	308000
325217	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.988044097,214.323926337,216.681098072,214.611793397,215.936863869,214.854741347,215.473139675,219.107168063,218.191899138,216.54370226,215.779199938,216.115066801,216.203847296,216.871421304,217.708042451,218.363674882,217.862349388,219.61953483,221.176798707,222.263597221	3	tan	0.08	308000
327631	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.011166383,181.308207882,179.054061385,182.846772716,181.415859044,183.617704744,182.910767103,181.448446866,181.352550968,183.248698439,183.399631885,184.062986688,185.00489241,182.858119783,182.421150168,185.25277432,185.332012564,186.574929243,184.833767639,190.439681403	3	tan	0.08	308000
325379	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.170461138,205.427041856,206.673070257,205.934746683,207.031146408,207.366289989,207.650815914,205.126694859,208.818853668,205.750864786,206.83642242,206.784460706,207.893673012,207.014293494,206.731687592,208.646434983,208.327390084,208.384919272,209.798318246,211.945958007	3	tan	0.08	308000
325097	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.237458752,193.31265271,194.067208974,195.574757577,198.379132352,197.324085548,195.678071031,198.549174566,196.928603673,197.433666541,196.80381338,199.675245312,196.939840914,197.08422286,197.172979624,197.962382636,199.189078578,198.161837972,200.918910782,202.459215779	3	tan	0.08	308000
325391	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.031681607,206.37163856,209.626006189,207.399834705,208.549335228,211.709976183,208.841407469,211.510212685,212.308175723,209.041473524,212.338414568,209.39822235,212.917332617,211.40171102,213.365035066,211.978976081,212.309478589,212.705237861,213.213532095,215.470847755	3	tan	0.08	308000
324719	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.973027006,208.976584421,208.035670362,210.681628682,209.558210464,208.862270198,212.335509187,211.590814842,211.884224623,212.011512255,211.533520114,211.084435477,209.865649859,211.354623508,210.350198236,212.265034947,211.057069868,214.837276098,215.901963491,219.16395064	3	tan	0.08	308000
326503	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.969485091,179.083316367,176.815364718,178.691339239,178.477230845,178.129278459,181.582598479,179.228091514,180.610751205,179.205751655,180.217226291,179.979568846,180.389332495,181.460743198,180.297023644,183.598133848,182.494668251,182.08374346,182.60897706,185.907320638	3	tan	0.08	308000
