ID	X	Y	cluster	func	noise	original_trajectory
325572	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.211937698,202.618282316,204.446563482,205.639943895,205.437740206,205.344406517,204.757756145,206.518592447,204.373740603,204.316997868,206.308129459,207.269391604,204.139410402,204.637394625,207.093907545,205.190050445,207.384489429,207.829310147,208.527593612,211.409546007	2	tan	0.08	308000
326345	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.633016389,202.892748129,202.713870988,203.227074219,204.092330949,205.104481025,202.299539238,205.76618071,205.006575034,204.350351678,204.539263518,204.625936019,203.704711651,205.859879748,206.486217851,206.236835811,204.930771413,207.279807264,205.857996918,209.764287767	2	tan	0.08	308000
324188	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.869822234,191.401770743,190.178244277,192.09333369,193.689879765,192.200948725,193.976182942,191.604138437,192.444931259,192.194763118,191.459021072,194.752674679,193.895022881,195.665972901,193.742045841,193.413531171,192.802803659,193.823470174,195.713445636,198.403481741	2	tan	0.08	308000
324737	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.660795933,209.191196178,209.601459563,210.191199272,211.384593778,211.458534924,210.568792109,210.331004377,212.381531572,211.466283333,210.602961872,211.790971865,211.779018791,214.828387739,214.546439859,211.59893913,214.735072649,215.346305138,217.049307126,220.56689164	2	tan	0.08	308000
327571	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.874267739,208.761048718,210.667070778,211.161117495,210.932706529,210.753155525,212.668521087,212.840100681,211.86465948,214.35283128,214.493885962,213.564925246,212.177161126,211.828567356,212.125597974,215.119293877,212.741768636,214.760685047,215.228025475,218.353501954	2	tan	0.08	308000
325871	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.64369715,177.155032964,178.059790101,180.454231088,181.69293436,181.2865296,181.873243177,180.518884313,179.013605238,180.053965778,181.290099134,181.635373891,181.077374481,183.122731494,182.3226306,181.936945909,181.427237301,184.900095736,186.055793914,185.483013286	2	tan	0.08	308000
324282	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	198.997284909,202.022618161,202.640846584,200.528242287,200.665206807,201.33110584,204.1563777,203.782521859,201.935571328,202.572482742,201.585046201,202.628176076,205.492981721,205.690388659,202.54131647,204.087129013,205.843913031,204.239260644,207.835692334,211.070415039	2	tan	0.08	308000
324925	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.912384522,180.940517695,184.231052215,183.996659581,183.460333123,185.537111007,185.469889108,185.672802525,185.525353372,183.544007205,184.974042493,185.233718223,182.802826907,184.371475487,186.150459204,187.483128928,187.865197455,185.032191823,188.272807787,191.108132077	2	tan	0.08	308000
324476	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.566800791,181.524929077,183.577623716,184.42762454,185.191521505,187.25085204,185.590802841,184.221127025,185.159207853,185.407280601,186.851897036,185.13953221,185.32446016,186.502691565,187.297876422,185.401131636,186.06163326,188.579728589,190.065313227,194.233482017	2	tan	0.08	308000
324650	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.795374492,187.914694212,186.33488486,187.5867344,188.542533845,188.083342963,187.839431076,188.465282901,190.298002935,189.106824001,191.515539282,188.830870029,190.93557667,189.887627389,191.651363778,190.26297322,191.378990973,192.955806539,192.478734252,196.957577697	2	tan	0.08	308000
327520	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	214.941502998,217.513981955,217.584737485,218.716389464,220.224596963,220.11496295,217.463707946,220.606497111,218.608471145,220.20497653,220.212070558,218.541540578,220.045980475,219.080884921,218.292286077,219.944262255,220.661013981,222.282724957,224.462941913,226.516449512	2	tan	0.08	308000
327491	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.615410959,197.001504375,200.368927544,198.228328088,198.359562628,201.888013303,200.294250499,201.457478485,200.250354877,202.782402115,199.887546321,200.968654483,201.475943759,203.664491478,200.841154703,201.077337173,204.523531996,201.99946595,206.035881344,208.510910645	2	tan	0.08	308000
327220	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.243164527,194.761877049,196.676371274,197.150747183,197.733746592,194.815053427,195.966163871,195.020654523,196.260427344,195.148624064,194.989863914,198.48353359,196.114453689,195.524922049,196.756546544,199.43641611,198.101810612,199.826214961,201.788062667,201.59865727	2	tan	0.08	308000
326856	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.954589189,213.074530951,212.358891782,216.530404225,214.250431914,215.590573074,213.956956662,216.486894079,214.48369868,217.607007571,216.45047199,217.897859732,216.778467127,215.060305757,218.174189116,217.211381532,219.520637192,217.341150789,220.993607947,221.811873157	2	tan	0.08	308000
325399	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.546164226,185.895299933,188.318429398,187.030983792,188.174682244,188.3860276,186.864810264,188.195324393,188.708785093,188.336487511,188.972186489,189.741398027,187.827379567,187.140080844,188.27484689,188.656520963,191.754308989,188.521669126,192.877495286,193.411128035	2	tan	0.08	308000
324189	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	199.874213787,201.712852261,203.825280124,204.480812467,204.281072781,205.259122317,205.340714216,204.069174938,202.387846241,204.155694374,204.564596525,204.326927285,204.628658861,205.797181533,207.310332454,205.1899937,206.97438099,207.330882683,206.82029466,212.009668895	2	tan	0.08	308000
327646	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.647146196,187.330725805,185.313700976,186.919198874,187.688576018,186.465346337,186.201537364,186.822550521,188.222751067,190.149352772,189.415914586,187.419046561,187.529390155,189.920024862,189.050633759,190.81664091,190.250587603,190.374005781,189.887676627,195.593511136	2	tan	0.08	308000
326083	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.897564872,205.440945486,205.965468258,206.815936799,208.773517962,205.417485209,206.234745324,205.76756185,209.263873921,208.134914244,206.769839334,208.183134134,208.871177139,209.893939631,210.238846625,207.82566596,210.611380785,208.781898433,212.471790774,215.670696361	2	tan	0.08	308000
325694	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.363658084,210.893879263,213.609079935,214.675979027,214.425529777,215.25477448,213.430075042,215.703916359,216.365948425,214.937813164,216.264324237,214.783504696,216.432948894,214.639784084,217.963522091,216.543833324,218.367239082,216.425177785,219.697586844,224.183678519	2	tan	0.08	308000
