ID	X	Y	cluster	func	noise	original_trajectory
156880	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-15.0736446918,39.1961796606,63.543948873,77.0602649269,83.0963177486,96.4324542044,103.450653269,106.520757188,104.984332914,110.705692738,110.274370843,111.111542404,119.355667069,119.291097219,121.018732027,121.152172749,125.660977162,118.986263224,126.18867565,128.803346613	2	hyperbolic	0.12	132000
158626	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-41.8773702677,7.73154740797,31.821590605,48.8919525877,61.296964348,67.5550587143,70.3846940486,75.4728076725,76.4536815807,86.6946395734,81.978883545,81.706137043,92.2612988254,86.5907442039,91.2163397216,94.4558387219,89.1416514724,88.7479889816,98.699114534,90.0006901264	2	hyperbolic	0.12	132000
159932	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-101.530572522,-52.5424617827,-20.6628253165,-12.450236164,4.40031475293,12.5926485105,10.4970051028,21.40630412,21.9001093208,27.8986277373,22.5409103561,24.3964227846,30.7155689483,33.49762933,28.5562574502,37.4382822099,35.358655759,38.6354343957,41.5059878523,37.1967523585	2	hyperbolic	0.12	132000
159233	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	129.003543042,183.167296998,204.68730675,217.952272592,223.368176414,235.970958839,244.273834285,247.500295885,246.689271172,253.453708594,250.741626519,251.528316267,257.397037368,256.568866644,264.097975029,257.247176226,265.839947682,265.95250926,264.422473081,259.754045803	2	hyperbolic	0.12	132000
156103	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	69.7407615161,121.485679435,143.893871971,161.00321852,169.018229838,173.997448089,180.177432578,186.483322403,186.874048623,190.632428233,189.730188646,195.650853075,195.699374744,197.474389532,199.8860856,206.025836024,204.792175911,204.374814832,204.965570215,206.034582618	2	hyperbolic	0.12	132000
158647	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	128.037346934,179.535338255,204.746208153,225.659867696,232.418849514,239.500543385,248.530277509,244.658039151,255.263608405,257.247797047,255.969842652,258.15300815,261.925032722,266.540971925,261.598191942,265.653659864,269.147278027,267.247971598,272.368071816,265.515710774	2	hyperbolic	0.12	132000
158952	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-89.9846061564,-34.8806816551,-7.15362034373,5.84141686983,14.3230598415,24.673433202,25.050588996,31.9863872457,29.5059500037,32.4328009438,40.8955037783,40.4545487401,42.5568699149,44.0293490266,42.2271039234,49.9009166906,44.0501308529,46.363055143,46.0311745605,48.0925222237	2	hyperbolic	0.12	132000
158454	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	89.8702110352,136.010601056,169.420825312,179.533600185,187.644597044,193.325727357,203.886960258,208.686363597,212.614041497,212.47673801,211.032252687,218.336790391,220.734768127,224.480620619,222.980315056,226.588381286,224.187512959,221.956869353,220.173670539,228.041524132	2	hyperbolic	0.12	132000
159845	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	120.510135749,171.74976428,194.557886386,205.897978131,217.443420593,224.357605866,231.831401335,233.015977227,244.605235589,247.138835393,240.976340133,244.420613629,246.182064992,247.954532129,246.429606807,252.916822994,258.219741992,258.733353887,259.608784545,254.779255403	2	hyperbolic	0.12	132000
159360	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	124.283011181,170.666374543,192.730868194,214.673029942,216.526332153,231.592538112,230.408793857,240.245206319,236.791267975,246.345174735,249.853105173,247.606285813,250.319553984,248.355948763,248.087800758,250.064933276,258.383199836,254.180184879,254.160513346,258.935297397	2	hyperbolic	0.12	132000
159544	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-66.3300837347,-22.2335215804,0.868135907462,18.7364701365,25.4712495181,39.5517087778,38.7599640513,46.7164598728,51.9055254124,51.4550229981,52.7070784158,54.7387078668,55.1454770091,56.7455619164,65.1157567202,63.9402606547,62.3445824203,62.8061202977,66.8406382072,64.2608340285	2	hyperbolic	0.12	132000
158091	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-0.814595575934,56.47433262,77.9579395513,97.121257367,102.152625397,109.329087536,112.529182679,123.520691566,119.339562045,131.60931715,124.146023467,132.480347947,131.506722189,131.900836582,131.052725714,139.672952411,137.594593412,136.338951098,136.789739042,141.642256395	2	hyperbolic	0.12	132000
159662	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	100.609094193,152.397169825,183.760655431,190.609967139,199.985261582,207.616670264,214.056888132,218.514535542,221.975997165,227.099109108,232.230838379,226.523239812,229.659521636,229.71952582,232.368500929,240.49502648,234.416107462,236.172278149,235.384069215,239.152091258	2	hyperbolic	0.12	132000
156547	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-9.66156360431,38.6086552418,71.9267485893,86.7460064357,90.3002508289,102.381439467,109.254979892,108.908198761,113.341614206,116.983841836,119.018579307,116.098050929,118.870458803,121.432069473,127.166447934,122.506083392,124.231052209,130.826974032,122.37449521,130.894580531	2	hyperbolic	0.12	132000
157657	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-47.8245125558,1.57560729981,26.5482412096,41.1030980646,53.5953281604,58.9156970299,64.7806883146,74.1461504001,76.1074686785,72.6192475224,81.8502763739,83.9253839794,78.887452084,79.3405881927,79.1207601971,86.9781495407,88.8229247329,87.2663548321,88.280899953,90.0233354167	2	hyperbolic	0.12	132000
156945	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-40.1895264434,8.56501234439,39.809667585,54.5164535687,65.7990265838,69.6343057658,71.1823738949,81.0718522628,83.0936918582,86.1802132529,89.8267306136,84.7830416276,92.0884216048,89.310506927,87.908660896,89.7799628783,95.629563813,97.7825382034,99.2919588603,96.4785256504	2	hyperbolic	0.12	132000
157194	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	129.085156371,177.139519821,199.246751347,214.491237037,229.079016649,228.755083248,240.004504882,239.786803486,244.431821757,243.51048187,253.426154803,246.508714593,252.803531625,259.392030965,252.70370231,254.234949422,257.932038922,256.23223921,262.947214531,262.949524875	2	hyperbolic	0.12	132000
157219	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-40.5438000085,16.8817654925,38.7451672679,51.8295527944,61.4350053229,68.9354036542,77.7715270388,81.7335400352,81.885421586,89.5914545121,91.9978509097,92.3963144121,93.2169254192,96.3924099511,98.7169858532,95.2677764997,99.283494027,101.463372844,97.3607039036,95.7391261955	2	hyperbolic	0.12	132000
157002	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-54.2698967549,-1.56865724657,23.9770211875,31.2298253682,42.2014219475,47.3870077943,62.0277094957,61.5666504042,67.7996836972,67.7522740503,65.1909540496,72.5016468356,77.5237495135,77.3800724695,71.7555300657,74.8666986089,79.74325899,79.4162893364,83.836329898,78.9128259555	2	hyperbolic	0.12	132000
