ID	X	Y	cluster	func	noise	original_trajectory
157947	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-39.1207461269,17.1292969284,33.1571083453,52.3345665859,59.1227015196,73.8944704533,76.8990290547,76.2331925675,78.323270731,89.2184070831,83.7413930887,89.0907168343,88.2116757116,95.1065509024,96.0324850471,95.8294056575,97.2950563466,98.6503774047,102.129498924,100.30393801	2	hyperbolic	0.12	132000
159801	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-12.3540103163,31.404176262,59.7251010254,71.3118341546,85.3191059936,96.5487255704,102.749569309,104.287692103,110.130353485,112.465510469,114.720233264,113.466804734,109.38834022,111.390572465,121.558047974,116.032614626,115.983130694,119.36551969,121.775519786,120.149946382	2	hyperbolic	0.12	132000
156509	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-83.2388337682,-35.4134207619,-8.06405944045,3.46499692057,12.3195547284,27.1229650424,22.7490032639,35.1809624218,36.2141786256,41.3820533275,36.0911504387,38.4163135638,42.3502255948,44.3895341594,44.765358199,44.26187462,43.9480970926,50.5708480691,54.3633505771,47.266516897	2	hyperbolic	0.12	132000
158422	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	121.550100764,172.063552711,201.886938973,212.153384793,221.609618083,228.385661542,231.987750759,241.02443052,239.549021849,248.896804642,248.923338073,247.390794637,249.131301647,250.382765651,257.5454208,258.323431135,259.140825577,254.375869809,256.219637199,262.048425952	2	hyperbolic	0.12	132000
156706	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	49.1750086438,98.8993108653,124.689396468,139.618120585,146.937594223,158.407352724,155.292765528,164.283327009,170.093978127,165.277363696,170.958850307,170.319000549,173.558420279,174.04127266,182.21832195,174.519251223,177.573506605,178.691123822,178.530014228,178.831285516	2	hyperbolic	0.12	132000
158868	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-51.3085309071,0.632153097134,28.5698971316,42.7277025228,56.6132403752,59.8452356832,69.4640000769,75.4193985095,71.9805529206,74.7509254427,80.8646914831,84.2732838308,79.1437029294,85.3606610049,89.3546441319,88.2925338181,91.5053367602,86.386009421,91.6290166713,91.4828844381	2	hyperbolic	0.12	132000
159729	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-105.369975343,-59.845445478,-33.6265221681,-23.2712744717,-13.2182950338,-7.19719208094,1.12330268669,9.65054953084,7.75166175447,10.9954189555,10.810272395,12.9227499149,14.1181233863,19.1073673306,22.4355694762,22.6771163259,27.2778625193,24.4135085727,22.5970902203,26.8199343987	3	hyperbolic	0.12	132000
159292	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	118.647315436,175.2148378,196.010599501,209.082617496,220.229480726,224.484792258,230.220086985,238.808925399,244.773667052,239.837140252,245.129600215,250.137335771,252.902015712,247.128856078,257.017236964,249.163927487,256.207733095,251.282703814,260.822547038,257.0746394	2	hyperbolic	0.12	132000
156737	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	29.7398461784,84.2296745929,107.456879401,126.772982412,135.877023229,138.382825777,140.720648295,151.863229016,153.228857478,159.865076673,156.545871217,159.216876089,155.987010677,164.692587885,165.62742628,165.670273448,162.911205234,170.155947985,162.420689427,166.841968273	2	hyperbolic	0.12	132000
158426	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	12.6790717916,62.6690556341,90.253108038,109.901546285,115.171629191,119.740239693,131.391689059,128.268944672,138.383931027,132.734198163,141.617468056,142.245198051,145.349628348,143.439951457,143.306945525,144.284115658,151.106752081,144.08265943,145.989886056,150.670497842	2	hyperbolic	0.12	132000
158736	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	4.61977333828,55.4517487722,84.0663737382,98.6894655254,104.524234318,115.908225188,122.677106592,125.289324523,123.967162943,132.483009227,134.773821733,136.572699183,132.362563728,131.825678901,142.313266781,143.147083358,136.246056286,139.831622107,144.089998461,143.092845611	2	hyperbolic	0.12	132000
157094	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-94.0659145927,-54.0104246239,-27.0732522076,-6.92358906144,1.95843777569,3.85792478795,11.7124799222,17.044108015,16.6761071314,24.9645014603,30.9189887579,27.8040299012,28.1355584085,29.4476091122,32.778803926,34.3907726979,30.0830508061,30.4259556714,37.4965181652,32.6268630411	2	hyperbolic	0.12	132000
157941	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	68.8199125267,117.946272963,136.997163673,156.274818474,169.69869569,175.05607642,181.67248811,182.31100755,188.517739128,184.687527798,192.936027771,197.332577746,196.84086706,193.029339265,194.042411016,194.740725209,201.037451711,203.44453632,198.269280679,202.405546035	2	hyperbolic	0.12	132000
158629	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.704768941,92.698788276,119.033951794,137.604112487,146.921479896,151.864535341,153.971437497,159.984943418,162.050276813,164.549274117,167.843995736,167.672002827,172.337895381,172.425737138,173.102714546,172.13706384,173.650407997,175.512436637,178.023870206,173.535057264	2	hyperbolic	0.12	132000
158045	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-54.6415364728,-9.29071659642,14.427139295,36.2400017561,44.6453289769,47.6118546504,60.3417919505,57.4042993907,67.3527093717,63.984505025,74.2996172603,71.9588645635,73.0494730558,75.607234932,70.9990245264,71.7161600085,72.8613832367,77.0555119699,74.9730854611,77.7802930633	2	hyperbolic	0.12	132000
158060	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	108.946156648,161.596878235,183.774766151,202.501921894,213.474973143,218.601222936,221.679804045,230.448475649,232.142904503,228.341807502,236.535166303,233.01308215,238.76180463,239.555553179,238.607752011,242.804119781,244.366776329,241.866155815,243.648346312,241.221367473	2	hyperbolic	0.12	132000
158075	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-125.090435589,-73.7613031578,-48.7952302466,-35.8217539081,-23.8949746898,-16.4489254454,-7.83949273909,-1.97985441639,2.29292582893,2.10106984276,4.24823156168,9.65194261838,6.11448218459,4.09378223454,9.92106153439,13.6617021865,13.074089356,11.107632179,12.7961016289,14.013836801	2	hyperbolic	0.12	132000
159828	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-37.6819837215,11.2191850811,38.2798904858,49.7871879897,56.1785475002,66.0228740561,69.9145275499,76.467035106,80.5325321639,86.6943680725,89.803243584,87.9861617956,93.7979060517,95.6449745007,92.0970247075,93.5366185877,93.4797764963,90.5496295007,98.7810275783,94.7937343816	2	hyperbolic	0.12	132000
157907	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	85.3211150845,132.269442686,153.656527333,174.838869998,183.652336049,190.584960328,192.738398839,202.48389649,199.669281963,207.97139429,212.782981976,211.002704259,215.280448497,210.970675232,212.470658777,221.134953706,220.472868193,222.138527917,216.255716506,214.805730414	2	hyperbolic	0.12	132000
156974	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-130.024903414,-77.5371141113,-51.1484159769,-32.7630792034,-29.4630923328,-22.3122947052,-17.8318753224,-7.64865725827,-8.65772421831,-0.930623887969,4.45386207223,3.89008801441,6.70168974195,5.95543891572,9.32712157604,9.8211850814,7.33153117897,13.1515675439,4.89372882576,6.26096040232	2	hyperbolic	0.12	132000
159418	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-122.661087207,-75.6821774123,-51.6885745058,-33.9197373512,-24.9126592004,-23.7063209631,-13.5084231037,-11.775061811,-10.4607069586,-1.5033956364,-4.03461648923,2.55888376248,5.21046475381,6.66027925712,1.93681922142,7.6461774487,5.14486650481,8.96393010608,7.67922487698,13.2176239787	2	hyperbolic	0.12	132000
156934	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	90.4811827232,145.233933763,164.01726946,179.851828424,192.541980198,198.780140299,208.947870849,210.380275154,208.963510979,219.711181577,223.614933225,216.995334588,225.445334658,222.218334204,226.545263116,226.89026529,222.853200601,225.154789635,233.685962557,229.438575748	2	hyperbolic	0.12	132000
156989	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	85.2347470797,130.672149337,156.065550421,170.74359254,180.421615492,193.862401945,196.560366838,197.604575521,199.312856722,202.191275983,212.677245286,212.150365384,213.859329539,212.374744013,214.969461266,219.581116012,220.02472389,213.654300312,213.000461588,218.176413149	2	hyperbolic	0.12	132000
156960	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-3.19872248369,48.9722300175,66.6100222767,81.6710723674,98.1662837855,98.6768870258,110.918594438,110.481518999,112.959713905,119.36692943,117.391394564,124.865746223,125.784753558,126.932619876,122.706731379,123.856573943,123.667475904,133.962343179,133.153143109,131.907857918	2	hyperbolic	0.12	132000
158360	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-93.1774540166,-39.7291643016,-19.6412536852,1.90285238153,12.5089099503,20.7742613184,23.7771419818,21.9951795754,24.9809480836,34.3257843166,33.4706392158,34.1844422308,38.5282179783,41.5304523368,36.9643066114,43.1808561151,43.2453393276,40.1875641622,42.4006217254,40.912805321	2	hyperbolic	0.12	132000
158503	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-120.067465198,-71.1345765516,-44.437540922,-35.4662097496,-29.3024931826,-18.7608134798,-6.74558335164,-7.86932048472,-1.87890157791,-2.9472425229,-4.2898897517,7.22261693246,-0.723894878552,0.948107493044,10.9426774638,6.63803839939,9.00200504462,7.15754868029,10.6570464355,8.66795175481	2	hyperbolic	0.12	132000
157569	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	82.0040337687,139.341323323,159.900642705,177.313408609,187.010999891,192.361711163,197.500217426,203.604468039,204.412454713,207.344833515,207.949905373,209.351707503,213.39712927,216.849549097,217.759811031,215.982188084,221.421957763,223.481081984,226.272924239,224.214870723	2	hyperbolic	0.12	132000
158399	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	49.0333820097,101.509953434,130.456805164,144.389069796,149.745340183,160.327242153,160.303074984,173.120686538,168.349271995,174.22294198,174.61468287,175.586896164,177.939706226,180.344900914,181.551431196,186.353221124,183.685318058,181.607188014,185.067907256,182.353089177	2	hyperbolic	0.12	132000
157949	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	95.7453834957,146.889647099,167.885694418,188.962481994,199.773465692,203.27156923,203.51359293,216.690552703,213.363040109,220.209240122,220.264019415,226.998910768,220.226268556,221.678286772,227.902527769,230.194353334,227.293325643,225.260838961,226.011556551,228.146736243	2	hyperbolic	0.12	132000
156397	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-36.26753273,21.3765136904,47.1585923842,60.0479189047,65.6646855815,75.1769230621,82.1345016648,80.4420943571,85.2102870019,88.4366390654,95.377104864,94.0130339686,93.4345704276,96.2764144966,99.7315940186,101.923598501,97.195537396,102.727115201,106.050410691,99.0840895942	2	hyperbolic	0.12	132000
159591	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-56.1579652272,-3.52421924237,12.0675864428,33.6417735319,37.9078527804,47.8464245389,57.845098513,60.9655920948,57.3704689582,60.0402672288,69.8989705548,74.1277845653,67.3428981183,73.2427862548,76.1556163265,78.5726411048,75.3445346497,74.044719985,75.3149184757,72.7847051485	2	hyperbolic	0.12	132000
159582	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-104.108095478,-55.935279562,-30.1484943399,-18.7105814037,-3.20364493959,0.070335675314,8.80195397616,8.92276344201,11.5638887424,24.0290741646,22.3238156493,22.1270460326,25.3994898981,25.1412637372,32.3911689263,26.0943640659,31.1483113758,28.711677144,35.8778994449,26.9440115875	2	hyperbolic	0.12	132000
156638	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	62.8720133083,112.175700518,137.45174455,154.777385394,158.68754817,168.091167685,169.86481526,180.38228203,178.467382562,179.537364892,186.916871903,189.742374632,185.779804163,187.82731818,189.698295348,197.518793604,195.304623646,196.720668747,194.719157665,197.948962322	2	hyperbolic	0.12	132000
159039	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-58.1468617108,-11.6270413826,20.917499774,34.781477463,44.6259849259,51.6358609206,54.5554933648,63.3643516647,58.618527668,65.1608805081,63.8954154326,66.4032128274,73.401867916,74.1588854681,72.9568208232,80.5105578938,80.2444514647,82.356347175,78.1643691436,82.3605123628	2	hyperbolic	0.12	132000
156354	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	92.5443106155,150.585004169,174.285924572,184.783176876,196.876622431,200.904071076,208.744543689,208.812679835,220.146666759,217.13688349,224.153515622,222.172514086,222.973956368,227.812098255,228.237647842,226.473476813,228.849890126,234.151281047,227.16159925,229.732287784	2	hyperbolic	0.12	132000
156782	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-17.6170151827,35.2777329925,57.1808401604,74.6831619712,82.1925783728,94.6374149307,98.4060480636,99.5726426512,108.566395854,108.985439906,109.110192169,111.412529481,117.581085732,110.764517344,118.28471624,117.166671798,116.692063245,114.486249101,116.286085649,118.474108288	2	hyperbolic	0.12	132000
158527	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-55.5235173361,-4.7530354454,21.6765492397,39.3951264901,49.6126834425,58.3489019955,65.8607511667,67.9334683833,72.0754473828,74.230257916,73.1239058983,77.3490738681,74.4180110668,78.2592262663,76.6741657626,84.8812681593,78.2249429912,83.937978455,82.6967161405,81.4771926359	2	hyperbolic	0.12	132000
158604	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	91.4750886178,137.215063488,168.953199309,178.387599323,185.759643559,195.060820187,199.722277596,203.040083395,210.31688891,215.015971775,215.263220258,221.19253323,215.18444466,220.763521746,226.148592337,219.617924318,227.158385291,224.751601995,224.850605135,227.903972289	2	hyperbolic	0.12	132000
159788	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	41.2985614386,100.462252614,118.285213983,130.621967509,149.546344426,148.36462746,159.398235153,164.828879648,168.324746138,164.338608901,165.567708806,169.709190526,177.154184944,176.593270056,174.949526828,177.075993492,182.090764734,181.890724926,181.485560403,176.086579591	2	hyperbolic	0.12	132000
