ID	X	Y	cluster	func	noise	original_trajectory
332261	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	186.626301094,191.376283359,193.151431884,194.43324726,193.387867334,192.860098086,194.590978081,192.570748595,195.432695319,193.87114512,194.30940582,197.698198519,196.302617037,198.72877436,194.333728081,194.123691261,200.067436485,195.968800856,201.767264573,204.786850748	1	tan	0.12	308000
333470	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	184.220251921,187.928568838,191.488938721,191.937386138,190.484878917,191.678634947,195.235619507,193.45920982,190.791841208,196.137136779,194.321019329,191.761825772,196.41782086,191.438551075,196.15523555,197.449250521,196.461592558,193.819307193,199.165076665,200.95897016	1	tan	0.12	308000
334941	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.333945618,194.449811423,195.114909989,191.81354266,196.004331816,193.402705275,193.397373286,195.249001304,194.496070092,194.184842485,195.035350382,198.853911725,195.918382748,196.706262668,193.816466955,195.631032198,196.028847091,200.968549264,196.205133503,202.755353945	1	tan	0.12	308000
335256	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.985651356,176.705277332,179.731649404,179.469326077,180.869783128,177.435513435,182.049046148,183.108335135,181.128538262,178.311393442,178.289022725,182.19448411,182.245151216,182.686295078,184.190587392,183.175470252,183.2106612,183.272261687,183.074201754,187.855682268	1	tan	0.12	308000
334991	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.634057746,195.762604615,196.788246818,196.3452105,200.491218394,196.374831873,196.16353448,197.084259725,199.201096127,200.747320483,199.171907429,196.699270891,198.753021032,198.696399316,198.318853304,199.687105941,202.921320901,204.001173006,200.986805418,202.717700956	1	tan	0.12	308000
335759	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.489564584,191.965101823,192.150797196,193.999143395,197.108872189,192.669237734,194.471274614,198.389616104,197.413443293,197.023278511,198.216664166,196.979849615,194.263378594,193.824783297,199.202227915,197.695132992,198.473154281,198.659207285,197.9679423,200.279810839	1	tan	0.12	308000
335659	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	178.905270408,180.908222795,181.078865756,180.522554676,179.235671651,182.710434495,179.586581188,180.419194509,184.614813446,180.386924429,179.864364666,181.012121135,184.891209748,186.144455524,184.769893434,185.027386554,183.372098354,183.011322621,187.84488168,189.612600161	1	tan	0.12	308000
332751	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.919295302,202.508026064,204.888827479,203.46093078,205.164116409,204.590126902,206.153766322,204.739594213,206.419674457,202.050374853,203.599827806,202.521408768,205.203311003,206.300275389,208.106870706,204.256067973,208.862552459,204.291936537,210.225811478,210.633432162	1	tan	0.12	308000
335830	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	174.467192152,175.875762184,179.032360926,182.358790772,182.797095676,182.728110661,181.291958587,180.865725928,184.252775625,180.697027791,183.279708402,183.587727531,180.608238314,180.069664504,183.772160975,181.033187609,185.721799069,184.131816417,185.96783571,185.333610038	1	tan	0.12	308000
333391	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.755370363,175.726275099,181.679810281,180.403259111,179.285367058,180.782380577,177.667764218,180.131376852,178.996171681,178.341793895,181.670343591,179.347208561,182.669010723,184.01145093,180.942199619,180.663711988,179.607971125,180.843310063,182.702305783,189.640083316	1	tan	0.12	308000
333857	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.162669041,202.729174215,204.574649347,206.167172133,204.964358854,207.591396435,204.450333105,202.640214285,206.684690392,204.699094264,205.924990871,207.297806776,202.918114021,207.243483223,208.862062251,207.697545339,205.962381436,204.847262176,209.843456162,210.578824786	1	tan	0.12	308000
335969	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.871780971,181.470221179,181.564480445,183.694015621,181.654549636,182.812379572,184.820833019,180.763340518,184.478386935,185.079393652,183.883805936,186.440051477,183.220580869,182.201963877,182.391961894,185.598962405,183.226019848,184.187294348,189.588117351,188.321317818	1	tan	0.12	308000
332669	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.480521358,183.825585314,187.688547784,188.392376929,186.716042261,186.207380292,187.380693148,187.754124316,189.41198402,189.28517529,191.443714217,189.737161749,191.956191415,191.911481741,188.40643127,191.861501903,189.525700981,194.664426332,195.07129764,196.059188615	1	tan	0.12	308000
333557	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.685720056,214.854750189,213.072774232,218.368006057,218.084838578,216.28785398,216.936583244,217.368224357,219.49528145,214.076194923,218.897870167,218.737889009,215.669298871,217.07143928,216.956273609,220.991203476,217.794730365,219.928252586,218.670091377,221.460296209	1	tan	0.12	308000
335054	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.105837799,184.361155542,184.204872076,185.762388075,184.95323399,187.71686657,184.754729115,184.803089268,183.483970652,185.909719727,188.128613174,185.032235586,186.326588463,187.418272194,189.268502516,184.793698543,189.233406399,187.867321682,190.739628458,192.725919713	1	tan	0.12	308000
332277	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.512732662,188.013727234,190.375936059,192.356023946,192.015339746,188.530268182,188.188724197,188.733082534,191.689146026,193.790830415,189.979270551,189.308593537,191.576932372,189.438196758,194.61521739,195.418227397,190.87823531,190.586908167,191.870552736,198.481876824	1	tan	0.12	308000
333977	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.462620397,188.082185101,191.97407213,191.329721678,194.160322737,194.853544822,193.831847094,191.730150871,190.590381774,196.236847754,193.052906,191.959839419,193.457678532,195.879639322,194.224777234,194.377587806,192.705385746,197.93569773,194.924317454,199.702435308	1	tan	0.12	308000
333124	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.897527198,181.515162307,183.66469565,186.263373594,186.133112399,185.96447941,187.584767765,188.281073693,185.748376876,186.618471345,183.673666065,183.464388427,184.467143266,188.426011926,189.641813736,189.869727112,186.166182094,189.128410798,190.109218489,191.87633874	1	tan	0.12	308000
332585	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	197.106972992,199.687805142,199.053162819,199.922273693,199.975857071,201.990202156,199.899691314,204.379630294,205.151847622,203.998542312,202.972784825,200.890861749,205.619993517,203.782167565,202.410940547,201.008210861,203.538642629,205.008957646,206.296798091,210.784092628	1	tan	0.12	308000
335147	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.584524643,216.946236405,214.352883875,216.239476871,218.796577046,217.646531211,219.602455061,215.385555977,217.356252338,214.639466256,216.009404728,216.29963444,217.117529773,218.690076474,219.463660437,221.302725496,219.049225021,216.961519239,218.816398432,224.817907822	1	tan	0.12	308000
333765	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.163721817,213.414840856,217.165342093,212.591981025,213.461458999,212.985826129,215.293634566,218.90807898,215.790377541,214.816858775,219.432674784,217.557401745,219.934135761,218.832861672,216.689354454,220.592433506,220.429827008,217.037149613,219.818567756,223.680073384	1	tan	0.12	308000
332257	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	211.080640168,212.604976221,217.571173531,217.439839392,215.343115185,215.166649232,216.696439462,220.183762116,221.340548146,218.267161076,221.31275358,221.068443253,221.587131234,219.714980194,218.412314467,221.855431223,222.045845049,221.605420448,222.893400581,225.397326384	1	tan	0.12	308000
335944	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.795905949,183.142195736,185.382857179,182.671489679,183.698214549,186.005629017,186.237288876,186.812187722,183.635721312,184.670698131,183.785281453,183.795994401,188.779575745,188.437891241,184.302745851,188.313716337,186.474951745,186.968411943,188.727445318,193.898059298	1	tan	0.12	308000
333492	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.715855387,216.973570625,213.888547961,218.343746036,217.072544672,219.998719709,215.910982472,216.667021005,216.245989248,220.713062943,216.951525015,216.940458676,219.596145533,218.330572375,217.695545836,221.202057543,217.984046126,221.798081215,218.964752865,224.354435852	1	tan	0.12	308000
332848	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.522830449,197.031857694,198.135176469,199.414616083,198.119596009,197.918500606,201.590797386,201.581372913,196.758184062,202.576533648,201.474309198,199.313915918,202.920235411,199.026074217,200.823206498,201.075453096,198.718656061,200.533613762,203.619944632,203.372314852	1	tan	0.12	308000
334556	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.440772432,201.919821805,203.456319266,202.645306129,202.593172629,202.422572953,204.044670513,204.140801498,203.980784938,200.939918057,204.892776777,202.334939095,200.755142231,202.795295512,205.952156914,202.911274766,205.078255429,202.393770769,205.418986126,208.614453132	1	tan	0.12	308000
332623	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.69384319,178.497892386,181.240788693,181.631494079,179.048738544,177.400847356,181.399854507,180.309760095,181.428554002,183.833885761,183.330800488,183.564411193,181.37377093,178.778700738,182.668751422,182.523043715,183.484182889,181.493656068,184.031172972,190.151721006	1	tan	0.12	308000
332598	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.532301072,184.774776432,182.110529354,185.126623453,185.782997659,185.764028788,187.860949987,187.011645859,186.633286821,183.055990977,188.493121277,184.208796227,186.138639646,183.589291712,184.369925665,186.34051607,185.038003634,185.861618519,189.303015608,192.567287757	1	tan	0.12	308000
332615	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.558135484,182.964331422,187.744807109,185.464799811,184.822573828,187.417938193,188.273418556,186.197263135,185.76183205,185.399031434,189.069960107,186.174161023,189.25270109,186.459256286,191.643703799,190.688306783,187.47349066,190.775900012,193.839408794,192.076152421	1	tan	0.12	308000
333055	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.94439915,199.681893936,203.125420639,200.298563775,204.326336425,200.479597601,200.585751979,205.207972649,202.767569571,202.171935927,200.439083631,203.912258975,203.208851438,206.582877944,201.488888467,203.787782166,203.859860836,206.961525185,205.50149005,210.473029539	1	tan	0.12	308000
333799	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.696436996,207.246743263,208.184828289,207.254995795,209.266528945,212.073914654,210.801550411,210.74927901,209.358863752,212.343298327,214.074857038,212.601954234,214.15998872,212.20636926,212.936156312,213.133345854,212.642548112,213.175692631,217.188220886,219.927379458	1	tan	0.12	308000
333106	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.425711414,178.189055617,178.061409662,179.529166424,180.527932982,181.086175298,180.665031612,179.344934143,180.498838587,178.885890958,178.35579547,178.275852202,182.826084727,177.770744983,182.861173502,181.246889104,179.041001123,182.888896555,181.687656064,185.771346191	1	tan	0.12	308000
335452	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	213.247186668,211.30589094,214.557303592,216.104083479,216.500735756,214.904372151,216.986184567,215.417984942,217.474795943,218.317703148,214.928196994,217.095373579,215.631214203,215.40684937,216.309168789,218.329952926,217.679971838,220.030538145,221.165191298,223.991884194	1	tan	0.12	308000
332523	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	213.188824648,217.31643394,218.418625505,218.755061814,218.269398647,215.986664083,218.678105752,219.896927323,217.834549032,220.938746477,217.966006773,219.424904171,216.857164445,217.134861892,221.034702672,221.127446867,221.890222803,222.067682936,224.938787418,228.141234083	1	tan	0.12	308000
334741	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	192.756006779,196.995886768,197.41387518,198.167889503,202.654870198,201.389538529,199.82382923,203.86294936,198.610143602,203.58357764,201.033737791,201.839519874,199.794162437,202.690869402,204.768651498,203.805572671,203.21695475,203.726580478,201.594977656,207.433560747	1	tan	0.12	308000
335657	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.123730667,190.36332998,188.27974182,190.679035749,193.366694483,189.425295242,191.207523121,191.492670186,193.997105432,191.988915609,193.70349892,190.744358685,194.954038229,194.19716783,191.728321347,190.764625807,192.053649443,196.042760365,194.456394467,196.967502767	1	tan	0.12	308000
333742	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.780254346,183.942426995,186.260458234,189.485182776,185.566285517,189.063223373,187.429796955,189.339869871,187.506458119,185.92082633,186.85215608,188.525631573,188.203127479,189.398174363,190.340466181,190.078049693,187.774348514,188.985728849,191.826812776,195.951211549	1	tan	0.12	308000
334515	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	180.028971592,183.961772118,180.063974327,183.618896346,184.276153669,182.773545378,181.412989409,182.09673544,182.280401729,187.503473765,182.489070254,182.240228975,182.234450226,183.208840446,184.726252453,187.287294017,186.424945621,189.023159805,185.661635131,192.667676516	1	tan	0.12	308000
335536	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.910013826,206.201939316,206.168163184,208.205906104,209.179191372,208.023264685,208.611992828,209.286609924,211.253653846,207.943340729,211.066150039,206.829599341,211.164209305,210.975513424,213.384958819,208.587979499,208.161398443,209.151255822,214.302805222,215.107616676	1	tan	0.12	308000
332051	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.644662534,203.233236397,207.796110254,205.768926287,208.859107334,209.34717162,206.697089918,207.22281057,206.838985559,209.364156032,206.243227304,210.111467006,210.238119951,208.367688395,207.767200779,208.664579049,210.471004014,209.152272996,212.348563606,211.965647641	1	tan	0.12	308000
