ID	X	Y	cluster	func	noise	original_trajectory
343014	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.75562318,179.604866378,183.406341379,176.457961005,181.172529554,179.864092787,178.781407368,182.093263217,177.648048737,178.187378197,185.241374142,184.527981801,184.820803732,185.240918598,184.231625467,181.824138818,182.598698648,179.852282542,180.71822764,190.629966143	3	tan	0.16	308000
341179	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.636317045,188.177039656,195.610483159,190.372732072,192.362474479,191.513759607,189.416389909,192.999520395,196.330085439,190.669104696,193.691393516,191.211273453,195.722026248,194.184020304,194.122716373,192.330028367,191.809909979,193.979923048,201.030947912,199.585956761	2	tan	0.16	308000
342771	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.7578867,183.045597017,183.147890904,186.277514517,186.506069159,186.33546728,189.662204114,182.305912334,182.64376599,187.806423509,187.210480037,187.777488793,185.237552484,185.730126736,188.344493033,185.962278317,191.015795298,188.177579864,190.146249356,191.348939958	2	tan	0.16	308000
340637	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.526921262,189.446085289,192.588614819,195.302294579,193.50704069,197.363313683,193.336832454,199.131168695,192.455227976,194.232644883,193.595607565,195.485149553,198.733502056,194.030461521,197.025201161,193.555257828,194.210715919,195.216144767,202.758944385,205.852404702	2	tan	0.16	308000
341846	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	176.407056639,180.034290327,180.177956909,177.545738288,183.099361888,183.413724481,182.546911491,180.894883426,178.340329469,180.202352141,177.257494306,184.586527643,177.388494496,181.721260375,184.890926077,181.963182728,180.483754088,183.093547525,184.313413332,187.299171309	2	tan	0.16	308000
342604	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.860273934,207.929189541,204.609846223,204.469474287,207.116215934,209.351841862,209.194474562,212.571918702,209.118931709,205.525308902,205.543075138,208.08869273,212.783800454,213.408051351,211.364225065,206.392014269,214.225768811,212.453598273,211.143137079,213.562075677	2	tan	0.16	308000
340119	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	200.385809937,199.517969493,199.74477677,201.898618376,204.163285199,203.448997914,202.245754731,207.171811898,206.236587409,200.5013179,200.462775514,208.107590306,207.690154546,202.271998431,207.338465076,203.522087442,204.649209107,206.951720175,205.959191039,213.808012251	2	tan	0.16	308000
340560	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	181.884139636,183.503707672,190.288884836,192.112434798,190.425372457,190.372572457,188.525988427,189.798009397,189.084338911,189.091528804,189.453732624,193.680097529,191.485004107,188.565427674,192.331623094,193.395164054,188.785224086,191.179781191,193.372969038,200.358550555	2	tan	0.16	308000
340125	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.306798918,176.141069332,179.346041884,182.227626527,178.801518846,181.901115622,177.843757885,177.712939156,183.077590503,177.331597708,181.549841248,182.133074205,179.465506302,177.178881362,181.919466243,179.131908241,180.786511859,186.682761109,183.917396156,185.022840652	2	tan	0.16	308000
340397	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.215205087,217.027692976,213.422609663,215.89675071,214.61425957,221.156880241,216.051659977,217.606066763,213.938477379,217.937963577,220.492109575,215.114204062,219.516138893,219.86198172,218.262060833,218.131602968,216.812448753,219.999568537,217.773745845,220.755594828	2	tan	0.16	308000
343377	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.140934551,206.230239703,211.360318467,212.708844893,211.09121579,215.202675174,213.723131048,212.616756015,208.315976151,212.111021772,212.473621869,213.040591826,210.984898735,215.166014057,209.728952405,212.852759084,213.156719054,215.254767256,213.146730491,219.732104863	2	tan	0.16	308000
341157	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	179.705451768,183.5988808,184.925072051,184.037189404,183.801674529,185.968710004,189.792679242,185.002948117,189.574037677,185.548932278,190.618619626,183.90203285,183.534691981,189.007812596,185.129170586,185.73568709,189.583872506,188.109596175,193.420904909,196.788957637	2	tan	0.16	308000
340417	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	206.202422228,209.036650713,207.44375782,210.243056835,210.972918485,205.018932138,209.327399886,205.642015035,211.832198114,208.254063472,208.992958989,213.966606741,213.751868931,212.289350311,207.425600276,213.868564148,214.095945728,209.051901972,209.067236882,218.344556395	3	tan	0.16	308000
343859	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.142389854,188.889270916,190.060199096,191.776434644,190.188544428,197.087288302,197.276347702,190.143539871,196.364417647,197.368591354,192.47647792,196.814987659,193.607345312,194.085453965,197.676254882,191.843966393,198.425334532,198.687844222,195.833735213,201.477487502	3	tan	0.16	308000
341790	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	208.063829299,207.739880252,208.277681992,209.353282625,211.555554616,213.167839756,212.152819274,212.452944252,210.885717591,214.524210966,208.488512612,209.103385853,208.597906547,209.10890528,210.139889255,210.481460282,211.17310653,216.213453638,215.059926941,217.484412926	1	tan	0.16	308000
343213	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	185.966967206,186.198663843,189.075371216,187.483629306,183.832082645,190.361065443,189.715016551,185.892413691,186.477982678,189.489593942,185.152785831,192.892125594,192.723547707,189.664238489,187.225965571,188.340506917,192.564994845,187.000132861,196.133503919,194.611821569	3	tan	0.16	308000
