ID	X	Y	cluster	func	noise	original_trajectory
348676	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.821046322,194.636432597,194.258260849,197.324304441,193.346515679,195.273144191,199.776256329,199.009875056,195.093239811,201.593781287,200.139579022,193.952683007,198.941265545,197.45984576,194.33626703,198.099557937,195.83509397,202.351000152,195.831276995,200.617803879	1	tan	0.2	308000
351928	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.591778375,217.442557662,214.876318407,220.930077175,215.285187293,220.021840548,221.319993933,222.677250916,215.777319219,222.188503217,223.266778999,216.981811962,220.776244856,219.933298188,216.955851112,220.325214158,215.924339587,224.08480492,226.244026961,227.391630246	1	tan	0.2	308000
348027	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	182.026037607,185.896835708,183.487838704,188.305501525,187.472575171,183.091621833,187.329617464,187.167369425,191.066103175,192.495139837,192.286091859,184.238042172,193.40322452,193.670214262,188.027641362,184.696312868,193.407201019,194.945829078,187.480454326,196.655381905	1	tan	0.2	308000
350569	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.16399293,214.860122423,219.778811902,222.975488025,215.201595205,219.301293765,222.917789452,216.054104758,221.592298528,222.959599076,214.834202726,221.360438978,218.28221241,221.409317741,218.263189074,221.002248276,221.659760045,226.504569789,226.961747321,225.830861314	1	tan	0.2	308000
348152	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	212.219048804,211.587863473,220.847791552,213.989241841,216.279474931,216.942448509,215.320573229,218.452434304,219.80475278,220.925822671,213.910574957,219.323532503,213.915623397,216.235122528,223.616728111,222.123981836,222.575966391,218.582077313,217.105661983,226.388489385	1	tan	0.2	308000
350430	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.074301916,182.897384116,179.792314504,179.889017589,184.024138901,183.573677957,181.522055168,182.316934839,185.118577181,179.023971616,179.643132689,187.06957572,182.168016228,182.755482896,186.750972347,184.121306264,185.234920499,189.866424178,186.1687322,187.20478927	1	tan	0.2	308000
351661	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	188.532279926,193.616322068,194.041325212,195.50458702,195.395168833,193.00118829,190.630196683,195.549838716,197.787191519,193.477387108,199.508220423,192.083037994,191.262459996,194.292885634,198.74230132,194.783093938,200.218476683,199.477734883,196.224071907,201.190462782	1	tan	0.2	308000
348619	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	193.657560203,202.21041871,201.257884241,205.28514946,202.644714839,206.610959911,207.073762439,208.293299563,199.860871633,205.365862902,200.115417475,207.080687087,204.664067726,202.206112403,202.479122439,210.241910845,207.136626445,210.048101437,209.928083527,207.72459168	1	tan	0.2	308000
349859	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	183.053846641,190.482616017,188.904886227,193.167224072,186.451488539,186.802710536,192.690882664,188.770214855,186.759958193,191.347664121,187.397327586,185.927755061,192.9248353,192.153682349,190.361198624,189.60216371,192.436008132,193.202208649,191.828617593,191.868924253	1	tan	0.2	308000
348201	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	175.832631822,186.241111948,186.568846755,184.274040112,187.793936291,180.880781361,188.97674931,181.787332493,182.497777401,190.453660202,181.781960003,183.282937756,189.958917346,191.245782929,189.364085956,182.638584251,185.621833033,185.18818993,185.726773154,192.336991873	1	tan	0.2	308000
351666	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.340937798,209.300723836,201.562523377,211.633485711,206.644682211,203.38898071,202.72379591,211.779777919,205.070261842,207.984573247,203.440862264,208.866793854,205.410367635,206.574843478,207.672740282,214.350525981,209.068022991,209.738463374,208.471075115,214.921589338	1	tan	0.2	308000
350470	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.199962561,200.82434083,198.128445932,202.985398044,204.5159565,201.001341593,205.902806078,202.110472061,198.625949788,200.623133653,206.130370425,198.79023553,205.521384837,201.762314451,201.656762682,202.317375759,207.564538723,204.430324407,202.155345435,210.802857745	1	tan	0.2	308000
351399	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	204.937326003,201.602365597,211.375050671,202.826802601,204.849651958,205.811255608,205.218132056,212.332159017,203.76915785,203.953077392,212.861650008,211.589252268,206.491571988,208.43164486,206.67736321,208.594070357,214.096388311,210.381553238,213.870850621,212.886273913	1	tan	0.2	308000
350530	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.016109196,206.379433395,210.558506172,213.15870129,211.305940413,210.783766634,212.624668858,214.06015083,217.174982871,213.654179197,209.768861058,211.935951776,213.621742216,213.008959285,216.153397841,218.594573178,214.580797049,215.911862502,214.525430971,220.173986063	1	tan	0.2	308000
350556	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.64797233,200.260113824,193.9350804,195.468401061,201.546378472,197.65772362,196.100840508,199.975731098,199.232777008,200.467116716,197.462438318,202.147063977,201.679335366,203.34396312,200.367659043,196.903401099,197.188476867,199.506725148,206.880079765,204.972917498	1	tan	0.2	308000
