ID	X	Y	cluster	func	noise	original_trajectory
175393	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-32.6888429913,19.8068185676,48.9701984999,66.4920130754,68.3280644688,74.3459418438,92.6341601019,81.4051682822,88.3913585859,96.6868143467,95.9976275851,102.439876094,102.946564377,108.544389714,112.667923871,105.632970765,106.37686269,114.55282773,99.7254010631,116.494032487	3	hyperbolic	0.2	132000
175574	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	82.8606694508,134.074186068,162.055474798,171.883255166,183.140328,185.416453451,205.375540727,208.132258875,210.897157903,210.338807102,201.570756639,215.020675172,221.628347205,213.117121692,212.363333953,214.151534527,217.579642533,212.784838841,224.459187254,221.789670778	3	hyperbolic	0.2	132000
174364	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-94.3329268977,-40.4269266923,-24.9897427765,0.110242032259,7.76366174256,14.415047949,22.4112432529,15.1370193473,30.8495055807,30.556776604,21.6785797381,35.4609660038,36.1616838432,38.1635755101,32.6640661046,42.1131063925,31.2880094084,34.2244226081,43.2136822775,47.4782394418	3	hyperbolic	0.2	132000
172578	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	95.7990326,140.256387717,177.679648559,187.999318929,195.717927681,199.753610136,209.761382253,218.535239093,220.538676837,217.730741543,216.372411694,225.930032639,226.510242393,221.517808858,219.106305664,235.726993568,231.261613521,223.472795921,226.454262062,222.387967253	3	hyperbolic	0.2	132000
174961	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	66.1187481326,122.065725969,142.503685735,169.921920838,168.834118413,181.404448487,179.659017525,197.422409713,199.47020317,198.372308776,194.741502478,208.831595394,209.0722288,208.601146584,211.463313794,204.794336674,204.208431284,208.442204758,215.5099875,207.351278575	3	hyperbolic	0.2	132000
172707	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	31.7728155021,80.1788947536,110.436179891,126.175708745,136.973327545,141.577684018,146.438197349,155.518474176,152.196879182,162.045642002,161.192265911,174.224951924,174.105745326,163.100739544,173.774433181,168.560547335,168.849643297,172.183966505,168.844804052,168.496317759	3	hyperbolic	0.2	132000
172245	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-48.884510117,-13.3817281977,12.8525410374,29.3973000043,41.9329935185,59.8050506571,62.5449723895,66.2123938402,63.5940336024,73.593122021,62.5626146468,68.1017026855,78.7729548509,76.6907582073,74.0570871267,83.6606780589,76.0827371958,79.0829507104,75.5438775244,73.9788673029	3	hyperbolic	0.2	132000
173437	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	70.0451873975,124.580180495,148.878229073,161.807187476,174.97269062,175.594617388,193.81578177,188.678434227,200.492877624,196.587201413,207.730052665,201.868260508,201.51613873,212.908827971,200.939325526,207.751138383,203.194713143,202.728365975,215.084291659,207.75108721	3	hyperbolic	0.2	132000
173561	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	118.080483027,180.928698584,204.747630914,208.978579041,229.912616337,233.271850647,230.071520191,241.899632667,243.103525509,250.826351255,242.039292824,250.877025428,253.023678025,252.360354418,253.8569234,251.589595282,265.297102999,260.017636881,260.500534024,267.558719897	3	hyperbolic	0.2	132000
173187	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	102.42509201,145.559443993,171.983271747,188.729162243,197.198339878,218.335671028,207.170465807,218.071475059,220.365765653,230.589123154,230.509723689,221.47784174,236.130721708,227.589124541,242.072630102,239.034302325,229.041071387,244.934599718,239.10802877,239.815967386	3	hyperbolic	0.2	132000
