ID	X	Y	cluster	func	noise	original_trajectory
175006	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-32.5159230811,13.3956224544,42.5561158024,63.9861772211,67.8294426084,82.113954875,81.4321288392,88.6865903263,84.5736649367,83.9918233114,94.5219388293,97.6404031886,103.512466124,104.793545097,109.018427973,94.7860209267,104.271966016,99.6620874721,108.992120731,97.6071199778	3	hyperbolic	0.2	132000
173865	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	62.9047708582,124.036965483,149.012967598,163.268061151,168.49190758,175.170923373,189.380234562,184.790134955,188.39269946,192.816581906,193.373727795,195.062289052,198.632327044,208.44766198,198.1230721,205.698930823,201.876894526,207.819789628,202.989414343,213.393561639	3	hyperbolic	0.2	132000
174905	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	111.528248896,159.688834873,176.044392078,192.563864587,204.389956469,212.261936485,210.359290169,223.135875693,223.430119422,231.152375701,232.159640185,227.290834117,225.591995593,242.323813351,237.83830466,234.480191351,237.447495653,245.503654817,242.983547577,236.083352563	3	hyperbolic	0.2	132000
174012	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-127.762559984,-75.058903296,-61.6456530143,-35.8878036876,-34.644700753,-18.4118679117,-20.7955940859,-5.57186513454,-14.8541565989,-7.57269592195,2.91351436224,-6.22464750298,-4.42538189055,3.81553054746,-1.66594884516,11.7922343789,-0.356253259915,2.02048105404,7.43471468469,-1.04582125461	3	hyperbolic	0.2	132000
173704	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-103.242827304,-50.072273528,-31.0223515265,-4.72597874976,4.06451762888,1.13072189982,14.3362537316,18.5782478254,25.2080563751,18.7178313509,17.9778881383,29.6755281713,35.3672150498,33.130951876,30.6857801902,28.6074591073,37.0696961487,30.1708492105,37.7612685574,30.5962742079	3	hyperbolic	0.2	132000
172887	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-99.568152848,-41.8937151408,-17.9078865767,-3.66691163434,12.2411624347,13.5522807971,12.3074115413,24.6943958192,24.0436712466,29.4417894024,35.4142760936,29.5394637579,29.5192904246,31.6823709318,29.4237509962,34.6420910221,37.2726555376,30.2043324539,40.5136543645,45.6818395204	3	hyperbolic	0.2	132000
173533	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-30.6609920398,6.37903500558,38.3998214061,44.7452003606,68.7948971785,60.4556190939,78.5284281597,80.1289134771,88.0453853095,77.895111786,90.7986407774,83.8025995722,85.9049455193,84.5113192342,101.343267072,91.1650359328,100.626974155,99.2533068503,94.9052399666,90.1990437197	3	hyperbolic	0.2	132000
172924	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-71.1942273754,-15.5002166531,14.7699942376,19.6480350818,38.984843151,34.2081829292,45.4524208789,55.4107902771,47.7716491029,48.0685441424,61.0911795485,53.1867818189,62.9982447619,58.9571216641,68.4863995765,70.4700320402,60.5475488207,60.7416130172,59.4172076432,64.1845654679	3	hyperbolic	0.2	132000
172578	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	95.7990326,140.256387717,177.679648559,187.999318929,195.717927681,199.753610136,209.761382253,218.535239093,220.538676837,217.730741543,216.372411694,225.930032639,226.510242393,221.517808858,219.106305664,235.726993568,231.261613521,223.472795921,226.454262062,222.387967253	3	hyperbolic	0.2	132000
172011	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	79.5401857566,128.784121248,155.989213031,169.878681751,182.01543256,184.855637834,185.719372069,197.603719781,197.823383582,194.557888502,204.362984395,198.821538087,215.648876732,216.081115074,207.445822816,212.670421556,208.575639257,206.884207506,209.963698505,221.590270243	3	hyperbolic	0.2	132000
173743	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-130.662769268,-72.7526137038,-52.1615930297,-44.5281347446,-24.8678819044,-18.6944490329,-14.2543874031,-8.47185118064,-15.3650497011,-15.2011738963,-10.2970316069,0.192011922424,-1.66213968427,0.667219313024,3.19146366929,0.643491504959,8.27605699463,9.53553614528,-1.26389052248,-2.73960956451	3	hyperbolic	0.2	132000
174237	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-132.480484947,-77.9863211575,-51.7596563858,-42.4738531651,-24.8781441966,-23.0260139189,-22.2220493044,-19.7206964544,-4.86763709833,-6.73676060849,-3.3435815487,-11.1896002199,3.44027040741,-7.11573068604,5.15934786201,7.7189086892,-6.5386917528,-0.830026530891,1.85775805083,-1.08764472412	3	hyperbolic	0.2	132000
175068	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	56.2697767999,94.7017237536,131.262632309,146.733662922,153.614803583,164.26302445,170.817189438,177.578189349,165.670965741,179.694415243,173.756687755,176.792302062,178.017594593,184.917640475,179.549474457,182.220921504,192.612169307,178.45619687,184.053328083,188.868856467	3	hyperbolic	0.2	132000
175070	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	112.009094339,174.831486256,193.08750534,214.869297167,212.460398841,218.514029522,228.986453428,241.133158883,231.78427095,241.778511745,239.496951247,251.526171249,251.007854811,241.891336478,253.603990833,254.381822053,252.545185477,256.026032462,252.409014796,248.464352603	3	hyperbolic	0.2	132000
175311	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-33.1277682504,14.8188213501,35.9897814417,65.0890801523,68.2202736282,68.1190750921,87.4801875986,88.5357931597,83.3016574181,87.3801488084,93.3964656883,97.5425903187,97.0959882586,106.839884444,101.050831345,104.274927338,109.653117251,97.9536577438,102.318187253,99.1593256072	3	hyperbolic	0.2	132000
172349	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	107.578402537,152.657583995,185.031862482,203.955427983,203.27159022,219.938431754,219.131665007,220.728239485,234.653538004,235.417710736,230.952599891,244.417947856,238.804274127,238.061811186,238.054153756,238.883229581,237.824320717,251.481565083,244.11930851,238.447796311	3	hyperbolic	0.2	132000
174561	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	70.8230973512,125.006206614,149.035964348,149.9527547,173.248165102,178.566523243,187.779544786,187.350862214,190.797653496,198.170801715,187.431270346,192.213580948,191.388606267,206.329490446,201.655084903,204.137539465,198.982918973,202.439969522,201.541123034,208.4216666	3	hyperbolic	0.2	132000
175362	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-27.2971269377,7.87185909104,41.5468548297,55.5150299759,72.2850131133,80.2484762289,72.5041633744,76.0189011863,93.6480470238,91.0677762729,91.8549825933,94.2631710415,89.8968642078,101.504495458,92.5609080929,96.0618738001,103.752399456,102.219553806,101.54049634,106.912356469	3	hyperbolic	0.2	132000
172904	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	42.6151191346,99.2336408895,115.490266316,140.144041359,154.744007843,160.259661214,163.060509607,162.006821841,160.862415669,163.589083401,173.443489836,167.426272964,176.58775285,178.632435518,176.210220455,185.170262657,180.376346328,182.31356372,185.924580985,176.168189043	3	hyperbolic	0.2	132000
173186	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	87.3327534102,130.111598575,157.242366806,167.617821446,181.143705437,183.294269898,188.892326894,200.532283828,203.02510673,206.927330188,207.287699712,217.236718657,221.915370853,208.736448189,212.48842568,211.89740112,217.899686144,218.125523201,220.139615057,227.847851709	3	hyperbolic	0.2	132000
175603	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	132.998479872,179.694426982,197.342693115,211.523878977,220.668521458,232.724091544,236.474053795,252.836017711,244.838973416,254.386538775,253.138762658,263.660824447,250.71519323,253.729779632,259.802149423,259.374271266,260.20334622,270.813125078,269.881657477,264.819048584	3	hyperbolic	0.2	132000
172238	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	-59.4834956522,-16.4089036516,11.1105587291,32.7770941088,39.3566098389,50.808202571,43.2567615333,53.6323574516,53.7282460475,58.4018611699,60.8886277444,58.2382933546,59.9308002419,70.9767562737,71.0704723989,65.7936043493,69.0660051562,75.4156324486,65.9981570484,69.4585406616	3	hyperbolic	0.2	132000
