ID	X	Y	cluster	func	noise	original_trajectory
98608	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	201.945724365,176.362612328,154.917347609,140.513157315,125.589914971,110.776602359,102.157934551,93.1567533359,86.7022143575,79.520173614,75.5679350279,72.2358266611,69.9075826678,67.5318866131,65.023085315,62.6191322076,59.14880598,58.2074335695,55.4643864217,55.82756932	6	exponential	0.04	88000
99655	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	242.186596703,215.279428505,197.121568815,178.505872998,165.283207902,153.402534589,142.457045181,133.702232559,124.287640037,121.518974115,114.119481945,110.302004301,109.579093843,104.380733886,100.868420417,101.726836982,101.037115532,98.8881506336,97.2874246511,94.685851404	6	exponential	0.04	88000
97158	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	107.394347678,80.6108675376,61.7689518912,44.2564147061,29.0520477984,16.0225882195,3.75753527685,-1.94218531732,-9.19092865143,-15.6572165915,-18.2803039567,-24.8747597927,-28.0325515176,-32.0919966094,-30.7612671819,-33.938035137,-35.9123624708,-36.7403891753,-37.7391434278,-41.5087022961	2	exponential	0.04	88000
99792	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	145.950794759,121.207627011,100.225904463,81.0129232892,68.2307987928,56.6727333237,46.7080540344,37.2070382587,32.5219583535,24.1816437592,21.8695090605,17.9146229241,13.391524431,10.1216516771,6.50151085455,3.71334867318,4.70230014897,1.54033289061,1.73317890652,0.509800862904	6	exponential	0.04	88000
96724	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	240.158233373,215.037641102,190.488437684,174.001730116,159.138929446,150.763862814,136.682084544,131.02149296,124.552362575,118.111763415,111.360650553,109.064724036,104.08309022,104.268666178,98.6240316808,96.1811886502,96.6493441656,97.2303811043,92.081875286,93.5506283976	6	exponential	0.04	88000
98009	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	195.128771841,171.196363889,151.854018886,134.740092082,120.099178411,106.683452745,95.4217842805,87.6952870713,79.3875007972,74.6917748706,68.8516507291,65.2665828715,64.6313832708,61.5900057951,56.402705206,57.3594134048,52.3516330596,52.8576644238,53.3359554497,48.6544713739	6	exponential	0.04	88000
97946	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	203.635508077,180.11186076,158.79521535,144.126300573,129.049431276,113.38096528,107.344620679,99.1840655244,88.7534018678,85.7214367366,78.3831175094,75.7534237341,72.3248051716,68.9996697356,65.3061082059,63.598904024,64.4288359957,61.3612988236,61.2524742818,60.4211907086	6	exponential	0.04	88000
98455	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	279.333366643,254.625474041,233.239588777,216.430791096,201.968522179,189.006707462,176.90154064,172.049764782,162.819478808,158.873261481,153.927525939,147.540099386,145.109672536,144.531995012,141.405450893,139.142884965,138.835294056,137.204227343,135.3654444,133.251178571	4	exponential	0.04	88000
99600	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	231.564133679,205.939729704,184.640340969,167.347145475,153.272350851,140.842244951,130.669156323,121.157035293,115.610926437,108.898502046,102.570430148,100.524966002,96.8412136257,95.3796571398,93.1939030437,88.0972536527,88.3051435319,88.9750538583,86.933762987,85.5879881639	6	exponential	0.04	88000
96307	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	104.63834591,78.7898859873,59.1211812146,43.9415250343,27.6303671761,14.6244794165,7.26588298702,-3.87882176286,-8.06621991719,-16.0780841944,-19.2128626108,-26.5125783894,-25.9735474813,-30.3802987474,-33.8418820967,-33.7100704095,-37.8609989455,-38.3304424168,-38.5456670525,-38.2931924298	2	exponential	0.04	88000
