ID	X	Y	cluster	func	noise	original_trajectory
99311	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	138.339810679,115.224734416,93.1819983607,75.4657122628,63.2734423989,49.50355201,39.8369217558,30.7313552643,25.2556259166,20.5584694669,13.7047922874,10.7751546018,7.01860544518,1.92652494506,1.08147260089,-0.017159126291,-2.54007608812,-2.74968113615,-3.81679497245,-5.42981885409	1	exponential	0.04	88000
99083	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	153.032220508,126.911307216,109.227744472,88.5757200423,76.6532610321,64.2510891926,52.7305148115,46.3185125235,37.6945361326,34.6742813434,29.4465162118,24.7420095761,21.5683386603,18.7089723535,16.7769927748,15.6168647167,13.0649765833,9.07694729459,10.4501161183,7.72134313264	2	exponential	0.04	88000
97937	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	202.29424858,175.905013831,156.328484099,136.453474876,123.537263876,110.83818621,101.393527806,92.7732872385,85.3760564498,79.3095343347,76.1963511909,71.9945592453,69.1889770955,65.8141596669,61.2814588046,61.9293268054,58.2896082355,58.1860232014,57.8622102916,57.4779709052	2	exponential	0.04	88000
96054	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	230.757260542,206.945190547,184.619101704,168.496378938,156.205658483,144.089614236,130.927872322,124.507139497,116.399332266,111.973407796,106.231543979,103.193104507,99.2502669481,97.9779087697,92.5153011926,92.7903863368,88.7558322983,89.2182655189,87.1217755724,86.6536204204	2	exponential	0.04	88000
97074	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	132.248086454,107.737228456,85.1366594341,69.7099112091,52.6478223274,43.5990574484,33.4063167887,23.1522053174,15.4158971863,11.6925981454,4.82301103854,3.63710451331,-0.868265178859,-1.79340554429,-5.51046473649,-7.86753897467,-11.0477645214,-10.6554377872,-11.6972724985,-14.4807104729	1	exponential	0.04	88000
96645	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	137.929200084,114.14899787,92.843395879,75.4210447348,62.576642681,49.2919324012,40.0139494577,30.1683115948,25.10101827,18.9242032856,13.9437582963,7.03483087283,7.49197608651,3.6763134489,-0.919363809476,-1.51266338369,-3.03467294764,-3.2785892279,-4.07774146714,-4.4834367493	1	exponential	0.04	88000
98948	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	263.205432258,237.451926773,215.473854047,200.831133074,185.966882721,170.784575165,162.868251123,153.623127718,146.4961744,143.255922131,135.453721408,131.301136,131.511977085,125.389857255,125.695957363,122.392579549,119.812643501,119.877351011,117.796925228,115.903239939	2	exponential	0.04	88000
97354	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	54.3789476864,30.2019474129,8.90974848973,-7.20423955816,-21.4020223439,-34.7090262815,-45.6317100495,-51.6484760377,-59.2952429737,-63.6226905388,-70.3979147783,-72.0215493797,-77.0907070054,-80.0378028013,-81.6794838074,-82.3597816122,-88.1283602346,-87.4249768161,-90.1417867879,-90.101192588	4	exponential	0.04	88000
97900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	108.856877858,84.5604178245,63.9690214122,47.0850282691,31.6856634662,19.6102395035,8.42820545739,3.94366352339,-3.97490924387,-11.9279811417,-13.9452044349,-18.6348650489,-22.9648792152,-25.1810528433,-26.2241658983,-28.4364012681,-32.7189907145,-34.0902120116,-32.8913241263,-33.6749790209	1	exponential	0.04	88000
97513	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	264.620217778,238.499487108,217.380905049,199.773954698,186.135450277,171.871581632,163.061485486,154.250483331,146.850534158,141.08795762,135.714462914,134.412336927,129.703479835,128.462981758,126.524292906,124.841919465,119.950211538,118.182895084,116.755838187,116.312092766	2	exponential	0.04	88000
99852	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	264.895172215,240.71700408,219.273862541,203.263690317,188.089941764,173.970447484,167.656245719,157.722810156,151.777905696,142.92214201,138.699406908,135.578053465,132.838362335,129.59911568,126.60440098,124.291180507,122.769048847,124.031943611,120.987884763,122.230136896	2	exponential	0.04	88000
96898	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	58.5373526625,34.0423687756,15.0352258525,-4.50715933698,-19.4103687604,-31.500932561,-42.002029747,-50.0087712669,-55.9524940097,-61.7929021475,-68.2052802867,-69.7451977038,-73.4915032789,-77.9338825238,-77.5003528089,-79.6833183979,-83.2317016949,-83.575053937,-87.1419541577,-86.0854352586	4	exponential	0.04	88000
97806	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	190.193338986,163.819859028,145.712935622,128.285365981,112.359147931,98.1915624259,90.8892901023,81.4643330307,72.835072074,67.8334494766,62.8240197138,58.3816990426,58.3565147391,52.2415082588,53.1152556336,47.8584340235,49.7186627947,48.7499996463,46.0841445561,43.7183314154	2	exponential	0.04	88000
98776	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	19.3774054918,-6.76519449691,-26.3277447031,-44.5189869967,-58.2884598938,-70.3369200898,-80.0279766149,-88.394817202,-94.7718712866,-101.861115668,-106.951354044,-111.338918436,-115.495985844,-114.716835465,-119.023630018,-123.150142255,-122.638750791,-123.991038535,-123.094566647,-125.244838317	4	exponential	0.04	88000
98730	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.525941168,-9.97412171633,-31.9927249453,-48.8274925165,-66.0825312727,-76.1287234802,-86.9022746736,-96.0481072518,-103.384798071,-106.051172151,-113.692578203,-118.98431481,-120.426822178,-122.823976342,-125.981724652,-128.797443927,-128.086696665,-128.473927068,-130.21340664,-132.637603675	4	exponential	0.04	88000
96670	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	32.8661487261,6.66697080497,-16.5075998859,-33.2923980564,-47.7589387133,-58.6246642822,-69.9045761096,-78.7174797713,-84.5570953435,-88.0414957515,-95.0939078735,-99.2775558697,-100.22039749,-105.700409466,-105.822499764,-107.866016082,-108.704088547,-110.038412041,-111.08725132,-115.785336031	4	exponential	0.04	88000
97889	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	235.495642537,208.762011658,189.112027866,172.433054345,160.218534444,146.541793156,135.317753746,129.595967222,118.697894316,115.628435913,109.077701193,107.437807844,103.469034476,99.2156545684,97.4332955733,93.3785059493,93.3552971225,93.9635930496,92.4814152244,89.7999443682	2	exponential	0.04	88000
96086	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.256460457,172.894564398,149.527144341,132.682257482,116.620854826,105.084186152,94.8611519689,88.9983409347,82.4698728241,74.960130393,68.6762401029,64.9216074385,62.6513284219,61.6857937738,56.7638497907,54.3249574935,55.9951991825,53.8336432723,51.8420060392,52.4913211079	2	exponential	0.04	88000
97393	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.7483837957,-11.3833648444,-30.9589440037,-46.9431991191,-62.6303686158,-76.5989825539,-83.7531648785,-91.6695476646,-99.5778167052,-105.545575958,-111.805268707,-114.822018481,-118.938807984,-119.630964459,-121.750114425,-123.91380032,-124.910871859,-128.448316974,-128.626827301,-131.454454819	4	exponential	0.04	88000
