ID	X	Y	cluster	func	noise	original_trajectory
107713	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	98.2802075691,77.4909109104,57.7792008754,39.3423885064,26.5757297603,12.1485359981,2.99167684893,-4.91061347461,-16.7224209648,-19.3681593675,-26.7978985709,-32.1439199083,-30.8681674818,-31.0578617793,-38.9501456067,-36.5331769244,-43.4881647225,-46.3197962989,-46.1898095059,-43.8710493915	4	exponential	0.08	88000
104414	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	187.53106655,161.346594113,143.744740145,122.058685519,108.924856434,98.2784569824,91.1441348165,79.4585594681,72.0061274701,68.3403140753,61.5782000941,62.7937130965,53.2668537602,54.1369045145,48.9915802446,53.0199770714,44.328972163,42.3521310173,45.5714711681,40.5971031832	5	exponential	0.08	88000
104677	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	263.904311763,233.053827584,211.751274312,199.779550811,182.449029844,170.952892448,161.70210886,155.439560598,147.152344834,140.974066902,132.437813271,133.816569583,126.81536979,124.037351621,124.161835506,123.744225407,114.350150816,117.630212062,112.026741911,118.228616848	5	exponential	0.08	88000
105746	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	84.6087009884,58.2712955697,38.7743336212,19.9112370699,0.97274185154,-10.4576385275,-18.6861750977,-24.5643074646,-35.5428595035,-37.8378354359,-45.0714825035,-45.4834150357,-48.1063699308,-52.7734667735,-53.1735401607,-57.9559516413,-63.5857228216,-61.4689249348,-67.1025802622,-60.3960294254	4	exponential	0.08	88000
106607	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.8879915991,-12.7224082309,-36.4681901341,-50.5754104322,-65.7721447766,-76.0532161994,-86.2255883873,-96.9447961751,-105.314632995,-109.125708157,-114.383571605,-115.980341379,-118.571834012,-127.25207704,-123.763460606,-131.407141485,-131.393337111,-134.816923566,-131.461002395,-128.673251921	4	exponential	0.08	88000
105157	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	167.35839282,147.687823872,124.423224018,104.48553032,93.8809970014,83.9344356245,69.7028085554,57.6816986265,56.8127031736,52.8911062884,42.0058398085,37.5291309451,36.4831136447,33.552256677,27.997899536,31.500645627,25.4105925365,24.2890828013,29.0453300351,23.5137241352	5	exponential	0.08	88000
104438	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	73.7621720513,54.6683141645,32.589703719,12.7470259331,1.25149218758,-12.9179648648,-25.8669356563,-33.1451878978,-39.9447327947,-48.5488893535,-45.6998875185,-51.4384053387,-59.9169093052,-58.2367903851,-61.3990496398,-67.1963216295,-65.6498236118,-64.8479927573,-64.114459538,-69.2253387565	4	exponential	0.08	88000
107115	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	138.204303692,110.569107913,91.4254041575,74.1014488403,57.4049067582,46.1956091029,32.4523236074,29.5769018646,22.8247781534,13.6657006524,8.5246106425,9.20854131025,4.4349697113,3.57972251656,-6.22335709352,-0.894003372639,-5.53292480335,-9.95039295538,-5.43646665233,-7.34363298599	1	exponential	0.08	88000
104977	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	276.699259502,252.623625097,232.956369143,213.437010011,201.51011608,194.159991155,179.541768999,168.824600064,165.135853465,157.893899919,152.039145841,154.393496855,144.434948414,141.875275733,141.123561268,141.932437556,141.115391197,141.131074254,138.912964004,132.209886312	5	exponential	0.08	88000
107321	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	154.422042,131.236331601,108.391328614,90.8172554467,83.4502696609,70.9874071625,61.8774978882,50.1873945082,41.4998473924,37.2365662861,28.6252597669,30.6304553162,25.0043011194,23.1533927455,20.3695873207,15.3750454126,16.0298602677,15.3223838688,13.9161339359,9.59896746875	1	exponential	0.08	88000
104066	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	290.040211893,265.457977776,241.954620687,225.490450311,209.856145776,204.854981582,189.869787611,187.818998012,177.974225853,171.977822459,162.755582727,161.741504172,156.474477772,154.73418697,154.479826054,147.203487295,149.626947494,147.965913002,148.566809947,150.071794454	3	exponential	0.08	88000
107296	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.225252688,170.895900312,155.944268279,133.803172869,122.157409095,107.367724073,100.276783252,87.8798641809,80.5185781692,74.2501161356,76.1540102107,70.1393861903,61.3917402591,58.5712353748,60.433622502,55.6344198741,56.6625440931,52.4635375498,49.6446057886,50.2639955405	5	exponential	0.08	88000
