ID	X	Y	cluster	func	noise	original_trajectory
120738	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	217.367623475,203.679742141,173.800654304,166.543001549,153.131099604,130.94174297,130.346701685,114.309260044,113.348608289,110.409181375,106.116502308,87.9330681143,88.1952147238,94.1747353589,87.365005331,90.6566918873,82.2521556524,86.1028254956,86.9254166159,70.5892946447	3	exponential	0.16	88000
123475	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	260.191044634,244.268789708,219.535043991,207.842190037,192.976449864,182.594816413,172.011373455,166.699106369,145.965478108,153.272788538,142.361473883,131.866884493,139.320209486,133.263144538,136.344157502,120.977176234,131.844632964,116.031490335,116.224631875,115.577726694	3	exponential	0.16	88000
122321	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	264.458407647,236.884570944,214.261426515,203.058189791,186.922757055,177.855812016,164.388783078,150.509023808,147.616034738,144.203732421,129.099230967,128.370695447,124.951081245,116.763148531,125.206272327,116.146943936,126.117420434,122.378320248,112.803282318,111.028619137	3	exponential	0.16	88000
120595	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	280.708935807,260.149060573,234.824338347,213.511081697,204.962634433,196.292160433,175.562876221,170.247434305,161.886471856,161.865055488,154.447104176,148.713518986,139.332251943,136.845338516,149.481100223,147.3069275,132.71647623,131.101610054,129.770791313,133.540663751	3	exponential	0.16	88000
121586	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	41.6601442915,18.6399760957,-11.984897373,-29.3709647888,-37.0467449166,-42.6940790622,-60.62602447,-62.7810834915,-75.7446550226,-85.1423511987,-92.6244128903,-96.3790384433,-87.7561614996,-90.5003276283,-90.5721233453,-101.786688501,-108.435741857,-107.946520295,-107.987558268,-98.1789593169	2	exponential	0.16	88000
120311	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	207.341872868,184.526411848,164.958334981,148.345230722,139.305391184,134.08575025,116.092994064,115.785853171,93.9776171373,86.3098866249,81.6774788245,85.7259051695,75.9347958413,77.2810092673,73.2369948098,71.8674643229,75.89670623,70.6416812204,66.4777836963,63.1599184545	3	exponential	0.16	88000
123488	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	102.422815403,80.0274754351,58.6348668723,48.5695349347,29.7158892363,27.9415361526,11.6387779576,7.54225812375,-12.234521005,-7.95760984249,-22.3170931555,-26.9810215715,-29.8984450005,-26.9626653995,-32.3048420392,-37.1653277999,-29.4919150203,-39.1468765455,-26.6896028676,-37.9656559234	2	exponential	0.16	88000
120737	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	29.9692050974,8.0812179853,-6.4873521388,-36.8320428777,-43.9795979354,-65.9022091797,-60.3925513641,-72.7614100205,-89.8528179029,-90.5208638542,-86.5734011373,-93.3389777528,-96.8171010948,-98.7627209908,-103.438304227,-116.011930139,-105.61097229,-112.75944549,-114.041022186,-121.980886526	2	exponential	0.16	88000
120877	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	164.796160201,147.96325887,119.168855607,110.754725985,85.3236137236,77.088604522,64.9904433755,65.4487821293,45.1085040336,50.8434613537,46.8379224883,33.1457698651,34.2964474498,27.1562556654,35.9713979403,34.5693618515,32.4614284406,23.0681193554,17.9516036181,25.0290849773	4	exponential	0.16	88000
121254	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	8.35846570509,-5.77686491066,-35.7236746982,-57.3313562365,-72.9035175591,-86.9790134535,-84.85350061,-104.968133427,-99.3517966565,-112.622714574,-116.406076401,-122.962118606,-116.698880499,-117.984717341,-132.312556205,-134.67442671,-136.864046515,-132.383041647,-129.572612768,-132.045422357	2	exponential	0.16	88000
122124	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	83.5930935237,50.7934768096,31.9667364863,9.97081126869,0.441530449391,-10.0134365863,-22.4702191957,-32.0520408264,-32.3576507936,-38.7072536814,-43.7530738915,-53.3019596857,-60.1132985776,-65.8577318825,-61.4031174289,-64.8712726789,-68.0948914612,-68.1460164707,-69.4051614344,-67.0923515683	2	exponential	0.16	88000
123107	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	296.81794169,260.695787505,253.955678338,223.930755791,208.220786949,197.02111637,201.064887144,182.042728996,183.224007556,169.550640866,162.985433749,163.90188709,167.634345446,161.673792814,162.319772006,151.870455061,156.571671717,144.821189892,152.43965511,146.354147968	3	exponential	0.16	88000
121053	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	191.635863267,165.4286617,150.095388674,125.289700646,115.814373199,95.5710954475,87.7415409897,84.8344569307,80.4064246795,61.0165257817,67.0391038305,64.6426701858,62.5723274223,48.2513658954,53.4996190114,52.1625545802,47.4277054805,50.8406905571,42.1916764133,35.0734292245	3	exponential	0.16	88000
122686	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	7.81715837336,-11.6408372542,-31.4098439247,-53.3065333894,-68.2012542567,-76.2484994537,-97.3657982339,-92.4356861419,-109.510385165,-102.926509272,-111.549776346,-121.468231252,-120.957186836,-120.777016164,-125.352095739,-125.858119326,-136.144618024,-127.550947691,-126.654027455,-137.590959118	2	exponential	0.16	88000
123234	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	153.927309456,133.911797936,103.488877686,87.1197307568,71.2451959517,62.0118069832,48.2403546189,53.9774277334,45.5729481867,35.6791347176,24.1467326371,29.7286387558,23.8956628286,27.4159025986,10.4749722472,20.9246434182,23.180345255,13.7373924824,10.3965695349,4.50929838056	4	exponential	0.16	88000
120974	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	210.249808798,187.615132036,164.55795524,138.399317525,126.426956556,118.854770176,101.407794626,101.73653218,87.9364422623,92.5786638277,73.6696450749,78.6609976313,73.3907086242,77.751874831,69.4503590087,68.0464878916,73.5970111579,58.5083771515,55.5912684691,63.4038720685	3	exponential	0.16	88000
123160	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	16.8265344015,-0.338786508852,-31.0443297675,-36.5542959857,-61.2074286335,-73.4209040699,-77.1104584395,-83.9502060663,-97.7647027117,-93.792266045,-102.080946398,-100.230933361,-103.226962199,-111.001240426,-112.66318725,-122.285249321,-123.084872416,-120.656838381,-126.259044384,-115.54866467	2	exponential	0.16	88000
122019	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	8.09167165901,-16.7145843111,-29.5864906937,-39.8022289645,-56.8400200016,-78.8868641998,-76.3308408493,-97.346255899,-100.038970504,-99.2583282801,-104.645721412,-120.940216237,-109.766520857,-122.575600488,-117.80128891,-125.773905054,-118.676973298,-130.549285018,-124.870508576,-121.459985444	2	exponential	0.16	88000
