ID	X	Y	cluster	func	noise	original_trajectory
122166	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	95.1308414934,66.8300104385,54.3855098479,33.8982816668,16.4245491557,3.6120254493,-5.202672836,-9.17804133411,-20.8716619573,-30.2227170882,-29.7001204883,-36.7171265963,-30.1652010554,-33.399930628,-38.7715435036,-43.3026469687,-39.1065363449,-39.2608045052,-52.1885574733,-39.286991737	3	exponential	0.16	88000
120853	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	267.252521502,239.552400066,216.137887146,189.966750003,182.376867273,177.94329161,152.056974788,151.761944045,139.651821414,142.027069047,139.75411376,138.208997483,123.687593876,124.103009865,114.813008981,119.311974149,113.512334669,108.823438868,120.321214674,109.293822703	6	exponential	0.16	88000
123498	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.4164634243,23.6479968923,2.34197214157,-12.1657496025,-30.5126851484,-45.0492645326,-38.6318095841,-48.5396756837,-60.4401310058,-69.457298762,-70.4119304731,-71.4471824191,-75.4286465933,-90.0006442967,-77.559513219,-92.5633184037,-82.1717862441,-97.0521755921,-84.7083242489,-100.589795918	3	exponential	0.16	88000
121458	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	205.749731477,177.110283565,144.743094896,133.080376401,127.234840035,116.965013051,94.8662466956,91.8085411511,92.028838158,76.9260630605,77.3776824551,61.1995949318,65.0070525608,66.1913574528,54.8253848323,55.3798306207,59.8806325633,64.0118388468,62.6286271766,57.1817755665	6	exponential	0.16	88000
120997	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	209.32433119,176.408327667,158.266856101,141.012396222,128.88783869,120.174466104,97.8417136652,99.0498698108,94.5764135909,82.2777447646,75.4598937038,65.0822228199,69.4898897797,70.0040775505,61.8045655305,59.3502831083,66.6420276429,50.3075986298,60.6847553008,58.9892907262	6	exponential	0.16	88000
121695	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	74.2816509416,35.7363231129,22.9389928733,1.25614583208,-6.97058426478,-16.6026596438,-39.3438204761,-45.1825197497,-37.8723760399,-44.296166335,-65.4437595798,-59.8514122366,-58.1037730114,-59.4632198091,-70.7399955699,-79.8163695212,-67.7747536405,-66.5461252876,-80.9209819931,-83.858062142	3	exponential	0.16	88000
120331	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	223.310840063,198.650399702,188.944440341,169.848499612,155.957468603,140.967280434,134.3433099,119.590926824,121.596871823,115.95825872,100.192426996,96.583058657,94.5461663454,85.6964225203,90.3728927035,89.3577995184,88.5682774076,94.0866259782,92.8688953283,83.6489945651	6	exponential	0.16	88000
120515	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	254.593125429,234.339016569,218.599533809,200.714355285,182.482131935,162.732763646,160.802340712,151.059436233,142.279973185,143.173632046,130.231036997,135.379599804,128.880375792,130.723172471,113.033517456,124.756259638,113.574096552,118.620401804,110.52901208,108.647308108	6	exponential	0.16	88000
121707	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	82.3861705281,52.5100455744,32.9346983034,12.1865486838,3.18973327526,-14.0075888456,-23.3785705271,-32.7268974546,-36.8495546132,-45.7678554524,-44.44675782,-52.6915083885,-57.1409020803,-50.3964025343,-66.5819166416,-57.7913229682,-69.1719098244,-66.0476595769,-67.7687272155,-65.0331239388	3	exponential	0.16	88000
121467	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	242.746867691,216.526268089,195.48489725,182.974920491,165.98653718,152.285120219,152.943875227,147.532187354,132.918807937,133.295311543,118.987152457,114.42234952,111.002994743,109.721064363,113.00062766,106.541581405,112.805061595,100.467207069,106.205886338,99.7752544476	6	exponential	0.16	88000
