ID	X	Y	cluster	func	noise	original_trajectory
129020	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	169.35936719,138.775572034,136.569178872,110.700693758,96.5021568917,82.4753818803,81.2743346257,68.398626826,48.9080440259,46.9068823081,50.6423512246,43.0378529838,41.0034033628,26.5815367396,31.4754222571,31.3052908834,39.2249105744,24.6662360456,26.4974023145,18.5569769907	4	exponential	0.2	88000
129166	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	69.6945337088,54.6865017201,33.0502954248,15.1891293492,-16.5787936257,-28.9821757535,-21.3673258991,-30.9299902213,-55.5360340516,-60.2642672185,-62.9897325925,-64.3896174742,-58.9265797258,-68.9310931368,-66.6958005074,-63.5305638595,-67.5587767405,-78.7624889475,-83.8943655333,-79.5263556046	1	exponential	0.2	88000
131259	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	245.613783616,217.707606441,190.575772359,170.333622055,164.657277586,158.212668269,146.966433476,128.936743174,131.387532721,125.322407816,118.455651297,118.325083695,107.986722135,116.066066515,98.1069261572,102.605284391,101.628643408,96.0458969004,88.429057938,98.9135950082	5	exponential	0.2	88000
129195	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.3283695623,-25.2910602927,-47.91560111,-62.8425778949,-69.3667212341,-74.4705731046,-101.744676952,-106.09198968,-99.8594216937,-110.013569229,-111.510316324,-134.4967199,-124.279196737,-126.257696674,-124.305864071,-136.660410086,-140.710920141,-127.837759796,-136.903005227,-133.119852396	1	exponential	0.2	88000
129652	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	140.89334255,109.800558999,88.8687045056,85.8732367207,75.0050441816,52.602780524,48.3876362315,44.0471103654,18.1221720453,13.1599194499,9.13896673349,20.7187638501,18.498874246,15.646965304,8.52471932584,0.495163606493,-10.5140852861,-6.67574313156,-12.290928322,-6.89753704265	4	exponential	0.2	88000
131576	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	278.394947421,260.412231776,240.822604829,227.434960252,206.020465071,202.708039207,186.039236758,183.220002954,172.728821228,163.333113336,163.122014622,151.546316582,145.99431762,155.50451225,151.910938562,133.104716312,130.078944521,142.492591389,144.717720943,136.4494223	5	exponential	0.2	88000
131169	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	97.8813229382,71.2765379179,51.2825279226,28.7337231229,29.4548661364,20.770570148,10.7134305551,0.341151077743,-20.1707915584,-25.547877237,-16.7942807594,-34.9759334326,-34.8591900955,-45.3728992098,-39.69063273,-40.9219055573,-35.014308898,-43.5699048156,-41.1518794878,-41.134739231	1	exponential	0.2	88000
129526	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	261.641724998,223.654249636,202.914500823,200.696039744,186.679315438,162.652400478,158.750067517,135.425314276,135.722356913,122.793942551,132.145778261,127.893241376,122.885836125,115.03387253,111.254874135,116.396572838,102.783788914,114.605768697,108.067758506,109.006213584	5	exponential	0.2	88000
131883	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	134.792107296,125.156345345,100.976304061,82.1329965171,64.5074461997,47.6332610553,37.280740939,24.8951365976,22.7583772629,33.2196439483,8.27656441661,5.42436612278,1.35310628104,16.3142927968,2.1107950926,-0.218575246255,-8.25741349828,5.30651344012,-8.09225697163,7.69831886204	4	exponential	0.2	88000
130786	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	48.8250532426,31.0934127217,3.31109003984,0.768563155116,-27.2677554429,-44.8331209898,-57.1075661436,-61.1918553128,-64.81953513,-59.2330750566,-68.4818597401,-86.9089804773,-71.844149488,-72.3564060976,-92.3635152912,-76.4543527315,-86.7961111446,-82.4369151761,-97.5410803479,-89.4574469861	1	exponential	0.2	88000
128227	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	260.000740783,245.568614421,226.994529179,205.559281056,193.763513525,187.558463411,169.630814769,153.869609435,150.450314908,136.977653623,152.254813178,141.960141374,136.018246936,133.768790426,129.983485322,133.238849901,124.981550467,115.050534662,128.302976873,133.26082552	5	exponential	0.2	88000
131841	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	37.0629186717,10.3182540584,-8.18487010415,-45.8772463305,-59.1649076549,-56.1135009552,-71.5122140975,-86.8720954814,-85.8050267502,-99.0527435679,-96.7358550517,-107.378051005,-103.185838254,-114.097549418,-117.212333718,-119.4940518,-108.337868496,-110.533966453,-116.558081885,-123.398350069	1	exponential	0.2	88000
130900	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	243.356224982,219.578160286,180.035927991,171.546138923,154.914184173,149.658595488,129.376373274,120.583538728,116.915811226,106.768725855,99.8707768469,101.679692524,94.2723669854,95.6304603995,106.997926171,85.1116485793,101.286334134,102.821209556,91.8862722542,82.7851858401	5	exponential	0.2	88000
129066	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	222.146537087,203.711003588,168.569030147,161.199850828,142.185386775,135.057953965,130.60728854,110.444922536,106.985306889,105.57929726,104.324170678,101.066029434,84.5851236569,90.1807801508,86.0560986709,91.3331571648,88.8528224499,78.4938024065,88.2167806736,88.4299387295	5	exponential	0.2	88000
130877	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	120.5793571,85.7739787915,64.8864349697,44.4527748389,29.9362196303,30.3059563831,15.4912595245,4.63434282769,-11.3697410445,-18.1814202908,-14.6599057925,-8.46736519858,-11.8284534713,-30.57725526,-32.638619666,-22.0791117621,-20.6245621242,-34.3703399873,-29.2930949824,-36.9981348044	1	exponential	0.2	88000
131703	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	38.3982358694,15.1892048254,-0.518642790898,-24.4601402536,-47.5697049141,-43.8404123596,-62.7219176182,-61.1529436509,-69.1119907365,-82.2250217027,-76.3051214688,-91.7987475108,-96.3960534907,-93.3734814713,-95.1198974578,-111.570820191,-95.9211486107,-94.6337654296,-109.455252304,-103.472085275	1	exponential	0.2	88000
131927	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	196.701836098,167.180530492,156.473127913,129.770917144,117.91849876,117.540607496,103.73530077,83.4012061755,79.1152775801,76.2370299928,85.2094967095,71.5354451941,74.6334959664,55.9786912874,53.5885820549,71.047319706,64.215466981,56.4713422472,61.534704126,61.6245357806	5	exponential	0.2	88000
129342	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	117.50368987,106.051745256,69.7138790543,68.9217401529,37.2068855499,27.0121275266,21.2325861269,17.2074713692,7.74503191423,5.97372803255,-14.0698720621,-12.7485533312,-5.50831121427,-14.8320571149,-7.19896771412,-13.5806731671,-11.7008085606,-29.2262891013,-26.6370147311,-22.7868243305	1	exponential	0.2	88000
131552	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	215.140846358,190.707319305,169.418862307,154.59058664,133.427586082,109.653992204,119.474832144,107.681953444,87.5623741155,82.0554648905,91.3226594787,90.6635771545,86.3192186128,66.6971945424,73.6387497915,75.9671662598,68.5967511964,63.896430148,71.1870220253,59.6480678161	5	exponential	0.2	88000
128353	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	235.510076821,212.885279158,190.18964092,166.477219866,170.854338487,158.160571471,143.362777986,127.425483394,115.138942224,123.451058187,109.556990724,110.907872102,108.76546228,96.7337171747,109.530330552,88.2005639671,89.4563435954,92.9191071933,99.118475054,101.024571265	5	exponential	0.2	88000
129721	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	56.9086557232,43.1800622804,11.2706745739,7.95931710999,-16.4735923887,-21.1267970821,-28.4474661146,-34.2046576438,-58.2710251142,-47.1017795114,-52.2470531923,-55.2395631182,-55.2198784829,-68.9916041006,-71.746357577,-73.4139747326,-84.1461061737,-80.2875122984,-69.8033103906,-73.2321830512	1	exponential	0.2	88000
131216	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	177.968642694,158.487999158,139.961898624,117.194170809,109.436149499,91.0978936128,76.5283498165,83.1426220047,63.6843339177,53.7738642844,47.7472626253,41.5315046875,51.5668747441,47.6702861265,32.9208830638,35.0791362803,45.9456133593,34.416516312,35.026393515,27.4818637922	5	exponential	0.2	88000
129140	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	172.812265952,153.215681132,132.767080378,126.406922777,99.2417074756,100.810735008,78.6390544992,80.4718142911,69.5516756357,55.267175385,47.1699733397,42.9610199579,51.2513069291,53.7562339021,41.214967188,50.3396221876,42.4817838779,34.1151297025,38.7538507813,36.9960105594	5	exponential	0.2	88000
130708	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	65.9977902235,38.0592936718,29.0255260182,17.7264177495,-12.7957260263,-15.7389184379,-36.3727345193,-24.3915133071,-45.289682411,-36.8160999982,-58.4771277458,-46.3997214488,-65.7750164929,-62.4806564973,-70.2024703106,-57.7485233828,-63.0549171921,-59.4945340417,-66.8540674668,-64.9233760612	1	exponential	0.2	88000
129160	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	249.036498021,219.509615164,201.675301983,195.095520765,161.118319158,156.267760415,148.717045199,150.787176377,137.386339051,124.208977865,123.947546046,110.019241232,107.4580687,118.932171834,107.217790012,99.2425710699,107.863377506,112.781264522,110.059642696,105.593027688	5	exponential	0.2	88000
129376	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	283.859159448,259.627662547,247.971754163,218.275747233,211.592840447,205.066877782,195.812068893,173.585559496,178.693620425,169.509742592,168.116289422,162.438945123,162.487652064,143.9513387,149.448372972,155.872489141,150.887037096,154.458419113,138.565199092,154.191517061	5	exponential	0.2	88000
128293	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	167.712593452,132.272202521,123.809579891,104.361239183,90.3148570759,66.5857183687,61.2208984312,49.6424638211,50.0004015939,47.3866438266,38.1818284091,37.1995293759,20.9678707971,30.1676238856,20.9468648914,24.8846511312,17.9538263053,18.9609427955,18.8873145946,10.6307420052	4	exponential	0.2	88000
130964	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	286.413362321,247.561155414,237.86472689,209.202864997,194.162558971,186.666930804,166.481865312,169.467412322,168.914503525,157.808792454,156.009612506,143.279382726,150.834817347,147.345854921,147.67472784,131.426283963,132.666771927,124.218443564,139.890828911,131.313625139	5	exponential	0.2	88000
129395	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	130.579469054,103.672569586,76.9813776678,66.0120603575,52.6440113839,44.5394510478,30.063187402,21.0546441727,4.47314821918,17.0226981629,7.10304900929,-9.14760970953,-7.55643468945,-6.77276139782,2.43544486485,-2.58449817134,-10.1689982939,-14.7254983517,-3.17078396511,-11.5413339342	1	exponential	0.2	88000
130681	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	20.7003715751,-7.58389844883,-29.1933933564,-39.2832358663,-43.6736864342,-56.1551796046,-80.9283039604,-91.5871478037,-92.6667527361,-92.5717731819,-92.162102609,-106.116247691,-116.252382712,-108.189580105,-116.907585498,-115.030156437,-115.326333841,-119.208512123,-120.588400016,-131.992652765	1	exponential	0.2	88000
129901	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	272.565546098,240.778739533,221.149130722,197.331998248,198.333665501,166.438195655,162.435699897,161.72575544,160.572491795,138.930742746,148.213339704,131.14453143,133.172235106,130.726598957,137.272973024,127.759747891,120.721792612,121.341454689,115.873529735,123.310745671	5	exponential	0.2	88000
129284	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	297.840765692,273.734068356,251.46963843,229.050229736,215.57866165,192.186938239,194.756191121,187.923034508,167.069990484,177.829988067,162.226700025,153.891979731,146.75470746,160.542545594,149.807716396,148.005292217,155.160911288,139.453715356,148.224111274,142.011731345	5	exponential	0.2	88000
131084	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	1.20701867697,-20.3530337203,-41.5731895733,-57.9055410385,-62.4550242213,-74.7835872568,-87.8191634127,-109.506587721,-100.831953139,-104.986979055,-121.585710799,-117.555855751,-129.941652537,-137.590954981,-123.685003986,-134.512900176,-129.614361937,-148.049549095,-129.124321663,-139.55410012	1	exponential	0.2	88000
131374	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	44.2452898936,8.56982085313,-15.2812657221,-18.50942999,-52.3439148305,-52.7435272662,-64.5152784313,-73.1569099735,-69.9843483099,-94.7561307019,-96.8409700913,-91.0947200437,-102.978292586,-104.826670649,-105.210090284,-108.837449706,-107.316131259,-106.186933003,-102.80219601,-116.667923055	1	exponential	0.2	88000
129432	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	241.27329454,215.742182709,194.59367603,169.805510303,156.014330847,133.624018624,124.794504957,131.668771299,106.901144973,119.705546534,100.270769478,102.262679456,97.5544458145,84.3306425029,96.5890050817,89.9645972091,81.6390736598,90.3634332436,84.4672016993,88.706894089	5	exponential	0.2	88000
128854	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	68.7293181626,52.1310071245,18.4901171791,0.693450859532,-4.90678019029,-17.9935667283,-33.2961152226,-47.0747201756,-42.3486030598,-44.9353564286,-54.1382618363,-71.0561198021,-60.1637133676,-78.5633018403,-62.3109553675,-80.5401967607,-76.4263635048,-72.7711057424,-78.5426494522,-80.8625792637	1	exponential	0.2	88000
131810	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	108.588950008,93.974444958,74.8765729584,41.15414002,27.7202769867,29.2013005035,4.15872770514,3.52812921801,-13.8427195259,-0.932064736278,-15.4350397844,-12.6660410414,-21.4678494249,-36.2560586071,-34.5550455584,-23.9879946703,-26.8186756809,-39.598963178,-29.6155092522,-43.1399307952	1	exponential	0.2	88000
129788	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	50.2668966173,25.5279137263,-4.59073741249,-9.87935273203,-30.0402970738,-33.3374193289,-48.3442566595,-61.0902458972,-77.0930114345,-64.4744001258,-72.600331726,-92.9161414232,-90.6193945222,-90.6272114986,-102.353157901,-91.0358554035,-91.9535586635,-100.95410846,-105.529304121,-106.143191011	1	exponential	0.2	88000
129708	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	94.8023391031,76.0203135793,61.6208663005,41.7151971237,16.509891045,2.82338441536,3.50841712823,-3.65559081239,-21.9478979631,-9.9545362675,-31.2598537148,-26.8888247549,-30.8007739082,-38.3329450138,-30.4469948401,-32.8328258563,-41.7149019039,-52.1237129077,-40.3464105589,-49.0596462511	1	exponential	0.2	88000
130967	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	151.474800226,110.79449372,106.2308739,86.836289686,73.8442264433,54.3599151804,53.9544637737,36.1666923748,37.4981887563,17.9093754266,21.0114807084,23.4026869256,3.32504411998,9.60275306803,14.2253814289,13.9013464645,-7.39202072351,10.1269655048,3.42339572151,-11.0258753438	4	exponential	0.2	88000
130554	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	18.4107275457,2.22074227497,-37.5122196965,-45.4051700908,-59.8093880432,-77.2930978762,-92.9173889287,-98.744662682,-90.8990823582,-102.802605265,-118.042583991,-122.045863297,-109.686784136,-123.808506417,-115.800428568,-131.864123984,-122.313258871,-117.0589476,-129.311333912,-132.837907867	1	exponential	0.2	88000
131615	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	150.578841415,116.202919251,103.951864553,91.9065443196,68.248911561,66.8814705169,40.6918795197,43.5908706999,45.8960464621,32.6018745566,30.5613374076,27.0095923622,12.9724389419,13.9489485108,16.7984738497,2.67779388776,13.5111620452,14.3791988713,13.2488216818,0.0701277930516	4	exponential	0.2	88000
129784	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	145.355097017,114.770896733,92.3787287131,79.5471276973,48.7296399325,41.294505438,34.0602009998,20.2403035741,25.9838063486,16.3951494391,20.7577367297,14.0202564794,-2.96452921395,-7.6489351801,7.58547446115,-6.90992109618,-15.0067346939,2.47649902309,-2.95675140894,-9.13314543124	4	exponential	0.2	88000
129043	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	86.5758711595,69.5515596974,60.4008672192,33.4757524522,13.1812162246,-3.99423951588,-4.17921358196,-4.38107918978,-18.3802327765,-22.4765580064,-27.3192261938,-38.8475026189,-37.1670854837,-39.1140241204,-37.5508644103,-44.1105674351,-36.8214816083,-45.1181019354,-39.0306877449,-54.7367694912	1	exponential	0.2	88000
131327	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	13.3759999142,3.59867043757,-20.6047589741,-45.8694324749,-57.4485836138,-75.4089546316,-73.297861469,-88.8295863758,-93.7571066767,-104.925626342,-112.151891705,-118.100373671,-113.396872264,-119.972615209,-122.617455798,-115.682369776,-114.904442954,-116.738768442,-119.516192867,-123.707034621	1	exponential	0.2	88000
129509	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	14.589445573,-29.3711254627,-38.0052018228,-54.0864365742,-68.905867349,-89.5799365521,-83.5365425809,-95.8543047638,-98.4221194153,-124.789730372,-116.483885527,-115.018285748,-117.190273073,-128.008008024,-125.346840351,-131.099593649,-134.160704997,-145.582958276,-132.09693867,-129.216910022	1	exponential	0.2	88000
129919	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	194.85385209,178.831712838,146.029860559,124.477337608,114.551501263,114.836850695,104.759073406,80.1713609496,81.9081834322,80.6407890824,68.2315889404,60.5716118759,66.2911606757,66.7441372208,48.5307186801,63.8950014752,60.9560695603,52.7356170818,49.4008249908,61.4029108877	5	exponential	0.2	88000
131628	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	51.4199018947,30.2056559795,0.0913764693527,-10.8333853599,-38.0827792004,-46.1939721377,-61.9821117849,-71.97529497,-62.9270766264,-69.1712177153,-86.7366551544,-85.9935119402,-88.685604514,-78.4808189976,-101.501428465,-87.5905044792,-105.669860958,-98.4704745671,-91.7220916242,-107.927397306	1	exponential	0.2	88000
129853	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	130.255634022,108.058303164,81.1663469164,65.6217893092,45.315057741,32.4165333994,20.3700498917,20.3883693233,5.019606458,9.47898794224,3.23530359918,8.15397796307,-8.98355952346,-10.1309125742,-3.13825411878,-9.24304664211,-9.28752900976,-8.84439717129,-20.5261187613,-27.6068049005	1	exponential	0.2	88000
128409	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	246.150801973,214.535053919,204.183831521,175.389164569,156.95727044,151.874237406,134.586707232,142.464479349,126.315749736,110.626672403,106.814964981,119.437633598,98.2782361395,104.270569314,105.639191396,94.8455518346,93.9457277076,108.517648678,103.354256696,98.3308650665	5	exponential	0.2	88000
129030	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	78.8552904719,48.6045360799,37.7628588755,11.4114496597,-1.64887561583,-20.1951999922,-22.9034137967,-27.1450080291,-42.95420031,-36.5245325866,-41.8353665598,-45.8677491451,-54.9837506931,-63.7528977745,-64.62320396,-56.8891310645,-62.3070960329,-61.4080612529,-55.7039507732,-58.7798484028	1	exponential	0.2	88000
129810	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	149.701010889,137.292201159,111.958356047,99.1701234452,70.9099578215,53.2028671047,61.8029597084,43.1427995971,29.9652203112,28.100270596,23.0281876026,27.8100205364,9.92386747359,27.6238685498,10.8879392542,16.8316445836,8.52859215001,12.9923588853,4.72672518054,13.5899416111	4	exponential	0.2	88000
130213	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	127.773374929,111.071735993,85.7411662117,69.0584937162,53.5138273013,51.7573966271,36.243854362,39.0879303828,21.9160981678,13.851572299,3.70471144705,-3.3988701173,8.80547189568,5.0891328869,-8.75650813273,0.61595578375,-0.295079392922,4.28300322187,-1.9352557019,-14.392266484	4	exponential	0.2	88000
131498	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	55.9244533839,36.1884210979,10.1219399015,-5.05860299469,-25.7288789201,-27.3124666187,-58.2190757901,-61.9728928165,-62.1037563456,-72.5595428937,-67.5159257899,-80.4098637468,-85.7772770624,-93.5770807227,-88.1199167962,-95.7308989929,-95.2894252915,-90.1201845927,-87.8812752098,-90.7973540014	1	exponential	0.2	88000
129171	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	85.5325572995,68.2110412395,50.4130342302,25.3933172134,9.70763628546,-6.25781847737,-6.04660915683,-26.3428749816,-14.6013422748,-25.9223665363,-24.1183780993,-29.8408494937,-39.785805992,-43.7494015763,-55.1889312283,-50.1922879793,-56.4632963279,-46.5391031707,-47.43054263,-49.4284281635	1	exponential	0.2	88000
128128	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19	293.214089607,268.540775452,231.83155716,224.618841834,210.728457798,190.396293038,184.397838006,170.243447679,159.69024918,156.685450581,148.181525288,163.221224895,147.746218483,142.271166076,143.550584028,145.953126183,130.972511357,141.47009218,131.24690604,148.624261546	5	exponential	0.2	88000
