ID	X	Y	cluster	func	noise	original_trajectory,,
104203	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	174.679911853,147.892628563,128.370339201,103.128398325,90.7775968949,79.3276031951,74.1728767501,63.8054978145,54.1499206912,53.5979057826,46.4652365095,40.8238397488,35.9443107638,34.7293584692,32.7882611397,34.3996687757,32.0164902855,25.729988717,27.5595247203,22.9735963289	4	exponential	0.08	88000,,
106165	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	167.976565911,145.729646711,128.010369072,108.763559087,90.0370047101,80.8056847513,74.855106331,59.8810186729,58.1762874602,50.2872184031,49.0453564376,37.4463090942,38.8933899395,36.7744453675,31.1171982211,29.9234221102,26.9618653131,27.0123251404,28.4352312509,27.1447540757	4	exponential	0.08	88000,,
107776	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.30728767,184.777134586,157.506495948,140.953188935,129.4108585,116.96449637,110.588095012,101.640022339,90.8885007045,86.6024851564,84.0652010633,74.3810901996,75.0248399318,69.8282575291,64.434042365,67.8841691536,63.4416353664,59.7934566388,66.1137630578,64.5205048405	4	exponential	0.08	88000,,
107813	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	60.9170629163,33.2135728027,15.0092472244,-5.30295803948,-17.6108959488,-33.5008343199,-41.8540115626,-49.8002242948,-56.1032195522,-58.9874950525,-66.2237497551,-71.0586596214,-78.6205074485,-75.5157772297,-78.02006162,-86.1138791637,-82.2595660112,-87.6717168679,-90.0078139692,-90.3760350319	4	exponential	0.08	88000,,
106641	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	267.150697232,239.092653869,219.990817682,204.748056706,183.448690615,175.98625103,164.856560091,156.394420204,144.550460982,142.97543346,136.626781783,131.07357746,129.836161341,126.985754294,123.087701156,119.504578767,121.093118094,118.409582509,118.435287093,115.133562019	4	exponential	0.08	88000,,
104711	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	184.171387989,157.751175481,138.013407111,121.421618821,105.157996,94.0152655881,80.6395620415,73.3875494905,71.9011579596,63.388111839,60.8770753608,56.4277099336,48.23720925,50.5988372112,46.7388692243,43.4835010145,43.1263311973,43.3205340088,44.2158993213,42.9816907117	4	exponential	0.08	88000,,
105424	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	25.3693191402,5.53737181775,-15.9841355939,-38.7666049648,-49.3006755785,-61.2165288182,-71.740932528,-82.4436858297,-85.2923907553,-92.068583454,-95.9362491744,-102.663243206,-105.229807995,-109.864132749,-108.935148224,-114.783700252,-114.014520677,-118.940299844,-121.461433878,-120.516276276	4	exponential	0.08	88000,,
107225	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	141.455502048,116.175593633,93.0964537351,83.1082211642,66.2296987488,48.8685476838,44.5193702419,32.3854074064,29.0806214293,21.028508656,19.3331618824,17.201519133,7.51536350659,9.19326632422,7.94966954482,5.6290631162,1.45101597927,-2.0581416092,1.91486673967,-2.54404493976	4	exponential	0.08	88000,,
106786	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	57.1847952363,36.7382368272,13.7559645991,0.816133635306,-17.5398393996,-27.1726923243,-34.99583044,-43.6814904586,-53.780931853,-63.3270809217,-61.0172783607,-67.6215878627,-73.621029487,-72.4706663338,-75.6281442019,-83.3537118542,-77.7211650211,-81.90499961,-82.7868161462,-83.8391431593	4	exponential	0.08	88000,,
105540	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	242.69129555,222.237513753,200.113406387,186.702617889,165.383803693,153.96439479,141.527804266,133.166203222,126.185293948,126.445815662,122.010108543,116.355536893,110.772093436,111.729288389,108.222852297,102.954380839,105.103363355,104.38297795,99.5388937501,100.028570386	4	exponential	0.08	88000,,
105830	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	23.6084590814,6.42549843529,-21.7007337205,-39.5753123931,-50.5917265441,-65.5214151219,-75.1723357024,-77.0015137013,-84.0625843981,-96.7798133419,-95.2782430707,-103.021133308,-104.336095934,-106.975891453,-113.670139701,-108.934537975,-116.415233636,-116.984712665,-117.338793363,-119.482773448	4	exponential	0.08	88000,,
105047	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	286.892199077,260.800870013,246.257110828,228.107109725,206.940305065,202.371729674,187.388985473,178.617067043,174.698564168,165.529113554,162.939265728,158.742414852,157.082026954,151.102204577,153.738714666,150.912166487,149.497439733,144.523106496,139.308073655,145.32478928	4	exponential	0.08	88000,,
