ID	X	Y	cluster	func	noise	original_trajectory,,
114380	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	196.759776129,172.417745723,149.159539841,131.997100168,123.849908629,109.239715859,102.49211577,91.6127169315,90.0438080946,72.0409461344,67.5899579367,70.2233516718,66.2954319524,65.674193261,56.6495900935,60.834946682,52.1634010322,55.6233700606,51.0122258523,47.6942708491	0	exponential	0.12	88000,,
115002	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	236.151658439,213.095836981,196.43471985,181.699780616,163.008979005,147.604608257,143.369454051,132.537083439,131.620636926,126.872049351,109.556557881,115.482606793,107.608502047,102.977841904,107.230888733,103.47212026,104.860075827,95.8473983541,103.241593997,92.3010654876	0	exponential	0.12	88000,,
113122	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	17.243895905,-17.0175344281,-31.3697255033,-56.675316958,-63.8679318165,-83.3132840045,-81.6161153437,-94.584030128,-104.531742948,-105.287172316,-109.962137812,-112.539170154,-116.609403932,-125.061536719,-123.827968565,-127.859930316,-135.787157554,-129.957481499,-131.841042289,-138.590030904	0	exponential	0.12	88000,,
114808	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	298.322113497,264.934480117,242.935776848,230.828445637,209.991263266,205.0047988,190.680940754,186.923322917,176.532912642,166.949607893,166.209012996,163.612259952,153.917582681,160.569530566,159.286623994,157.645846877,147.732637079,149.273606137,149.753563107,145.95346203	0	exponential	0.12	88000,,
112508	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	131.447589255,113.065772501,91.0997973589,67.0806898139,56.8090040215,46.5638897127,35.5746336151,24.4536460646,22.2575506034,14.7243433121,10.1988571465,6.40379028179,-0.550890614035,-1.42924028658,-0.237853175183,-12.1857068044,-10.7455198344,-14.7466571124,-10.9762168112,-13.5813050544	0	exponential	0.12	88000,,
113796	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	216.801704259,195.359644257,172.031994459,153.492162945,136.409865634,135.842743162,115.720360048,109.633963858,108.863763973,98.7042269881,96.0936844496,91.5300380927,90.9751782963,87.8498046398,87.8309478364,81.3625788339,73.9292383175,81.3949014482,79.8354588792,74.1224147421	0	exponential	0.12	88000,,
113097	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	155.341144433,128.103703931,100.951255661,93.1064135464,73.1292177248,57.4752956091,51.6328943007,43.6104718825,38.5602056263,27.7228489191,26.8191605796,23.2242879176,24.1005618263,17.3568060148,20.0364756598,13.0163474055,6.74122615403,13.2601274548,5.35148775446,11.7686598725	0	exponential	0.12	88000,,
113098	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	269.316372891,239.835967033,217.225303064,205.382043328,193.746434779,182.389955997,172.924654574,160.00420319,149.132629996,148.295358396,135.227257959,134.915335633,135.236167281,126.475851073,126.038448631,129.926101421,122.951129447,121.795689286,116.091669518,126.918150736	0	exponential	0.12	88000,,
114699	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	241.463519155,217.970097187,193.295515144,171.803328729,156.779977835,148.215765475,140.05216562,128.127352519,124.744044902,115.550640644,111.375480977,105.979895454,104.451815803,100.798321403,95.2505975453,99.5827404663,96.2031988952,89.1954666049,95.752102586,95.5167821291	0	exponential	0.12	88000,,
113164	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	81.713896247,61.2111522664,43.5096932714,20.9253717745,7.8498754421,0.240425302292,-12.1064175332,-24.1641651169,-31.7209486914,-38.7941902652,-37.6513204209,-44.6369182298,-52.112595034,-48.865266063,-47.8760378145,-58.3784859173,-54.4710087474,-63.7681333726,-53.498984699,-64.4137929047	0	exponential	0.12	88000,,
