ID	X	Y	cluster	func	noise	original_trajectory,,
123533	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	57.7753162538,21.0800733768,2.49772394167,-5.44253748337,-19.3753666443,-32.3500070948,-49.6589750251,-52.7985997741,-58.4698118774,-74.6107496638,-73.2525097702,-81.8882846793,-86.5321518885,-84.2097765704,-84.753586651,-78.8823374541,-87.2437924832,-91.2232028539,-98.2277076139,-97.1427027814	2	exponential	0.16	88000,,
123721	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	269.206954216,253.819657458,221.086720849,215.544009426,189.610169976,187.94660224,166.603911698,162.046562256,148.752607207,144.453666339,150.752437297,138.146327449,136.395674973,138.629996451,132.803711229,128.505764553,127.727188739,135.832051124,128.566655635,133.729730621	2	exponential	0.16	88000,,
123879	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	193.880971075,165.0393173,137.420847891,124.897560509,112.356321116,104.885909424,83.832939211,88.8279928863,75.0906850483,78.8579892922,68.9121500619,67.2620001004,61.3944230459,46.7571404771,61.3841269523,53.6913469298,53.5913100895,49.5346623592,54.9603882931,44.7162553583	2	exponential	0.16	88000,,
123225	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	285.405814272,273.084890951,238.385625497,222.841656221,217.485126327,202.21441685,199.537766211,174.846282644,184.228053633,167.562148675,171.665186941,162.192934885,164.087375176,163.347330941,150.877054514,149.050950364,152.765558866,149.410828893,153.552910397,149.063795733	2	exponential	0.16	88000,,
121990	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	273.416840007,258.144702001,238.194889794,217.944702662,201.192211788,196.039551136,186.723574211,178.909366917,172.27842731,161.82368702,151.244003024,150.345438201,149.192958407,141.988589462,145.54573908,133.114130161,141.560794708,134.63391176,129.327240867,140.848309581	2	exponential	0.16	88000,,
122581	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	15.6926380126,-12.2634639333,-34.5157343554,-53.0328861827,-67.9138075835,-79.3713709663,-86.7063457966,-93.5212641582,-104.643705593,-115.115461839,-123.291711331,-128.114231,-126.70598368,-123.816899476,-127.753768416,-132.933447339,-130.483419768,-137.916231874,-136.78359551,-138.303140055	2	exponential	0.16	88000,,
122797	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	84.7809682203,55.6997272215,35.7440407449,27.6820770856,3.09875773325,-0.809510289977,-20.2757902669,-24.4071429446,-30.9003283289,-33.763452281,-47.2907671004,-42.6998871643,-43.4606565581,-47.8431313227,-58.994072452,-60.0918013804,-62.4088012901,-49.7583101112,-50.8506184818,-65.3667959973	2	exponential	0.16	88000,,
123637	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	222.312764354,201.998675702,183.012464341,162.583907139,150.734862464,142.856559533,120.989277671,125.355860647,114.416125379,114.286910006,94.869211829,103.265230645,102.067304523,86.4765578284,88.5227090044,96.4524990168,86.8286984283,92.6840040587,84.3079989961,80.7392382217	2	exponential	0.16	88000,,
122222	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	44.4486078572,19.1617186222,3.90962527679,-13.7897727084,-37.0088102052,-54.3840812206,-52.3807010989,-60.6801735616,-68.7884407084,-83.8798086031,-84.3513616691,-78.168710564,-91.6896053022,-96.7479610139,-91.1766440824,-92.9121873418,-99.9551018541,-95.6450819289,-100.467431604,-102.167036407	2	exponential	0.16	88000,,
121132	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	232.46798191,197.216879416,182.070503897,169.071477139,144.388622372,133.094941026,131.371899608,123.664124195,110.944960927,108.050465318,105.483092186,101.24285477,82.0677748997,84.8481286439,81.7094111606,78.6705445451,89.5564426872,87.7593152116,81.2106325504,80.6334015304	2	exponential	0.16	88000,,
