ID	X	Y	cluster	func	noise	original_trajectory,,
130960	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	120.312412212,90.3947078749,82.6859043545,55.7074977852,37.642882486,22.7870134368,19.2161479746,23.490459353,11.7997056389,3.47008789102,-14.2164193507,-6.35094189178,-15.8387139319,-25.0453399916,-19.0748910325,-10.3002944378,-26.7701966667,-30.1695155767,-13.2401179729,-14.1899289655	5	exponential	0.2	88000,,
130266	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	81.746871873,46.7391206556,39.5533485048,29.657045935,-5.53269020855,-3.14927840148,-10.1087953436,-28.1324347711,-29.3084898669,-47.7719750412,-35.6375029938,-54.399519731,-56.4502456918,-55.2061670076,-48.0709061566,-61.4993553878,-68.7079439548,-59.1748788155,-58.0201724934,-65.5777576588	0	exponential	0.2	88000,,
130424	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	166.421855638,153.883244037,123.172464612,123.042987665,96.3520368822,78.3525388351,71.6701504221,72.8875642557,56.6867526633,54.650195821,44.2440007834,53.1346496979,51.6795391761,29.7431565605,35.5139846606,38.64395202,27.0624202497,40.9881341772,24.417665262,37.1236082067	0	exponential	0.2	88000,,
129468	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	2.11179034451,-24.814174502,-38.9489387917,-59.9922713964,-69.4254595519,-81.3615269313,-89.3446845387,-97.8638601503,-107.829916515,-116.326434676,-112.075949503,-112.862204605,-120.206793941,-123.314281019,-133.573509705,-139.520460241,-136.99617037,-126.707476085,-130.69586238,-131.435829393	0	exponential	0.2	88000,,
129231	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	204.628145367,159.642605211,158.011275267,125.184221255,114.428861714,111.148632067,99.8365654778,84.8022007004,81.5193861742,77.1939936441,60.7321334265,55.0333456715,66.6283717104,53.895352045,58.6441781522,55.5562805873,59.8418402053,43.2587069284,47.9244861083,48.1025702936	0	exponential	0.2	88000,,
130934	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	111.870221345,89.3460322465,52.7816012291,49.284822829,29.2501247465,25.8836492859,-3.07407309524,-6.88467851429,-18.8938248431,-13.8525103659,-28.2418312,-27.1154601362,-16.4060012181,-30.1182336683,-32.1058549901,-26.5665030236,-27.718628848,-38.5859191133,-36.1428444024,-42.6423615556	0	exponential	0.2	88000,,
128672	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	108.621729912,72.8132212023,49.8804199139,48.469266853,17.4725478817,19.9242989473,-8.85916118674,-16.2413086605,-8.92573522343,-11.9791725292,-18.9700766815,-33.7780279406,-42.06542111,-36.1409031455,-46.3507813165,-40.3787271362,-41.2028440985,-38.07398495,-38.1705227016,-50.3488530542	0	exponential	0.2	88000,,
129388	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	208.130414313,179.763083889,170.221372463,161.788689722,129.445109258,115.647084772,116.141602187,98.2865386665,93.9921725305,86.7568226739,91.3150828422,83.6660276216,91.4642027857,90.3432539648,70.3049515906,71.4797910227,78.7314209948,76.9596347938,72.4321788323,65.3601120743	0	exponential	0.2	88000,,
130713	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	86.5112884364,66.6476760839,51.1422861558,43.5690513432,21.8122555929,3.33964686092,-2.33351336212,-10.5450153807,-7.33556050304,-25.8112673373,-31.4535059597,-28.6560420423,-28.1660982835,-36.6765957251,-42.1649664312,-35.6205552423,-42.9939078358,-38.0500856467,-37.040887791,-50.2386076649	0	exponential	0.2	88000,,
131854	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	119.593412055,92.5703761763,70.1616883338,39.8527522465,34.8760150871,12.6622510287,19.770845187,0.448854970007,-3.51066809354,-13.8998439789,-23.4935782984,-31.0428132902,-18.8946269073,-29.3793800195,-23.3219371016,-26.4305143324,-36.980323884,-24.5880482745,-39.9764763102,-38.4920959927	0	exponential	0.2	88000,,
130947	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	128.450254291,93.0636083364,70.023392274,61.1757948292,49.1248317642,24.1483342917,25.6805311268,22.5933764621,17.2115970929,10.504547564,-13.6480710723,-0.527117462254,-18.7898540796,-15.5052355121,-27.6534431313,-24.4790193994,-13.1271693456,-11.8431558668,-27.5570374861,-29.4471102849	0	exponential	0.2	88000,,
130094	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	14.9861229678,-23.0187472158,-30.8487138018,-61.0759911165,-75.5742873171,-78.9537878144,-86.9996317622,-105.084824337,-107.834562634,-111.507009301,-113.506611519,-115.460880502,-132.100244441,-138.900905212,-137.654870696,-137.744554358,-131.021772213,-139.634628925,-147.99053109,-140.407114055	0	exponential	0.2	88000,,
130097	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	64.0712215359,31.5040400713,-0.055402212355,-9.00531004353,-25.7339689471,-25.284370702,-45.4455911068,-47.988048881,-51.2828057746,-66.7626157029,-62.4673037974,-73.8354568394,-81.7818971295,-81.9074836833,-75.3029595797,-78.1621298227,-90.8924407359,-82.9559187163,-90.8227840117,-88.8827467572	0	exponential	0.2	88000,,
128877	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	234.919062798,200.736023185,175.623935288,174.23414931,152.906197948,143.338147316,141.583611009,125.637231098,119.511453869,117.825651308,115.125500411,93.5927712516,98.2558573929,85.7410115986,89.8717604017,90.711587397,79.9544887989,95.0769414512,95.3104998378,93.2215391994	0	exponential	0.2	88000,,
128679	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	165.032827035,144.799319649,128.162328136,120.72171317,104.901670464,94.1588564617,82.0714445334,72.5111153366,51.3606785377,61.8922258231,60.3097682399,39.8785039388,33.57216306,34.9166642125,47.2185690966,43.2467888755,32.2361019771,31.3364847423,29.470666754,24.7053942323	0	exponential	0.2	88000,,
130006	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	103.606645917,77.9501732167,65.58161638,51.8024908309,22.6671673064,10.0380750271,12.2541537052,-12.425267282,0.511893743963,-21.6465226473,-26.4571577398,-27.0238503049,-27.0569995465,-34.3544299641,-26.659910474,-26.7976377519,-27.3364055899,-42.4947287995,-40.0931905487,-49.5467705716	0	exponential	0.2	88000,,
131261	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	96.9385525197,74.1019113793,61.1425589366,42.8589028406,20.327343344,21.9345878731,13.1230767096,-0.305915455079,1.83788632793,-7.62686117878,-23.923316027,-24.6013936394,-21.6254961166,-39.5876394662,-35.4472523841,-32.1879154384,-42.0423451054,-35.4269814604,-34.9103475005,-31.1866642122	0	exponential	0.2	88000,,
130490	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	258.688261786,222.857054379,211.668577545,198.96949025,174.65474756,158.526424344,149.47297609,144.378778522,149.803454933,128.239610025,125.084617271,125.104231681,117.406028988,123.822390988,116.907775528,115.712175657,108.167428631,110.740324791,106.022268677,110.266714152	0	exponential	0.2	88000,,
