ID	X	Y	cluster	func	noise	original_trajectory,,
131883	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	134.792107296,125.156345345,100.976304061,82.1329965171,64.5074461997,47.6332610553,37.280740939,24.8951365976,22.7583772629,33.2196439483,8.27656441661,5.42436612278,1.35310628104,16.3142927968,2.1107950926,-0.218575246255,-8.25741349828,5.30651344012,-8.09225697163,7.69831886204	3	exponential	0.2	88000,,
129989	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	170.811437965,139.835384595,124.792415245,103.994496415,85.0263688366,76.4500664402,73.1675994255,61.0152090404,37.9199088718,53.0604047659,32.4980432558,40.1299582263,20.1372424574,30.5036058347,16.31956564,14.4107418806,22.5039032675,19.4550863873,26.2229848434,19.3362776167	3	exponential	0.2	88000,,
131498	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	55.9244533839,36.1884210979,10.1219399015,-5.05860299469,-25.7288789201,-27.3124666187,-58.2190757901,-61.9728928165,-62.1037563456,-72.5595428937,-67.5159257899,-80.4098637468,-85.7772770624,-93.5770807227,-88.1199167962,-95.7308989929,-95.2894252915,-90.1201845927,-87.8812752098,-90.7973540014	3	exponential	0.2	88000,,
128448	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	12.9643737381,-7.09593468716,-33.0895173791,-45.2194652245,-72.4402402044,-79.6402122615,-93.5005993019,-85.1439842148,-104.224241813,-100.331734373,-116.371921712,-108.856245221,-129.613802109,-130.234669866,-130.624863502,-127.966258779,-132.193019881,-121.029726732,-138.880049813,-137.217795383	3	exponential	0.2	88000,,
129961	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	127.69316077,105.683689575,75.4467452126,52.2028928478,38.3587983527,42.5467050951,31.8383845389,21.8011263256,7.76508480358,-0.879381369656,0.175089276069,-4.0039229154,-6.81005124445,-6.3184504714,-10.3462159569,-18.9554969244,-17.6895187623,-17.8930199427,-8.73250649493,-21.6191390011	3	exponential	0.2	88000,,
128705	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	138.016633521,113.605466541,77.0458885419,59.4515503378,50.1839328651,33.9819923693,40.3312500334,25.2382840262,23.855116334,8.60410398651,14.6171608012,-4.75820761655,-4.92921124007,-14.5038348818,2.2631759776,-19.4231330596,-11.934835974,-7.25691886615,-9.42406241732,-17.2396869291	3	exponential	0.2	88000,,
131478	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	17.7388542987,-3.8516342422,-15.3199889231,-51.9923362194,-64.9879853095,-58.7944464466,-70.2718368825,-94.2713060492,-103.14503584,-110.695435803,-114.523334527,-105.042673115,-108.655154348,-116.275120608,-125.041460292,-118.055749626,-129.750483061,-113.211464916,-131.489877251,-117.69005679	3	exponential	0.2	88000,,
130202	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	242.476570111,220.234207015,191.968317411,162.060574891,151.631665788,142.469673926,142.888354208,117.44720248,110.021284945,121.713741352,99.0566990165,97.6446127881,97.9157111535,88.9504741193,87.2880668273,91.5546086679,94.468974939,81.6271031053,91.1646013049,96.1274354441	3	exponential	0.2	88000,,
131759	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	32.694812651,21.9655362323,-19.8962989573,-28.7175346229,-40.4561222905,-61.9259432137,-53.8228540627,-78.7734178823,-77.1688395046,-76.9033553392,-95.0402721974,-88.7290230978,-97.1711166601,-110.343405679,-95.8879539728,-100.069051278,-106.131281388,-96.7826335367,-111.906739505,-112.875079082	3	exponential	0.2	88000,,
128587	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	43.9627007844,-0.0518682656625,-21.4378317558,-38.0649423702,-49.4492928745,-50.0147378168,-62.8776785336,-69.4038113425,-85.902938322,-81.3678130873,-84.4367936272,-101.048030141,-103.778473206,-100.705158299,-115.395215859,-107.175818096,-108.759567128,-111.582766495,-105.027674686,-112.856907736	3	exponential	0.2	88000,,
