ID	X	Y	cluster	func	noise	original_trajectory,,
104409	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	210.346206245,183.226103278,160.529902099,146.870216915,135.113049381,121.841954307,107.58740801,98.6597620786,96.4048912835,85.0855314147,81.6192472098,78.9988427493,77.9047630019,74.1781422001,66.7778467992,68.9527862689,66.9473924939,67.8800913624,61.2111042416,62.621665331	3	exponential	0.08	88000,,
105391	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	187.631270329,155.628506142,134.707326078,123.952865259,105.688571612,93.5080453095,79.9786693697,77.1181148937,67.2946417996,60.7853291569,55.6868868309,55.6718664201,50.8618662048,48.5519285705,42.2511216637,41.2815534651,37.17326086,38.020477271,37.1043107599,41.457811707	3	exponential	0.08	88000,,
104929	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	14.5695777283,-8.70545627038,-30.1312367898,-41.9034791344,-63.5303947074,-69.9483554089,-81.8508238763,-88.6151732326,-100.190146635,-106.67479548,-109.568346915,-110.454063549,-116.620807622,-114.819206335,-119.087549492,-118.217562633,-122.352806899,-126.317517369,-125.258966152,-126.295908099	3	exponential	0.08	88000,,
104078	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	90.380375545,66.2223434049,45.1590931492,33.9452762888,18.7058698764,6.14659484176,-3.83043131882,-13.3503316548,-23.0501200771,-24.178692113,-29.8137581465,-35.4061474421,-42.3764244888,-42.5715553375,-41.2244717748,-45.1235426123,-52.4515539007,-51.3122824871,-48.3369934367,-54.7970444672	3	exponential	0.08	88000,,
107082	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	160.892562284,136.640156239,113.53642783,97.324045132,77.4870064624,64.7831573022,59.078877071,49.1854720716,42.8739236591,38.074419727,27.5186264641,29.3040654944,20.8349394217,25.2740651252,21.7447757303,20.5303185313,18.2209744513,14.3765897855,16.2085927727,11.8134867135	3	exponential	0.08	88000,,
106569	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	194.471234814,170.908804094,147.247697693,129.595766187,120.403315258,102.07269238,95.743564411,86.7643544161,79.7994900971,75.3381441616,71.1309023808,67.8669393133,66.8812494799,58.3647116294,59.9816852026,57.8128241378,54.8151069631,52.6329256972,54.8010106554,51.7535656754	3	exponential	0.08	88000,,
104528	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	200.099055867,179.640654717,157.304121123,142.10012974,121.023305576,116.756757961,107.217121893,95.1389600302,85.2658255455,84.2818559992,80.937597022,76.1517831037,68.0215855385,69.897590647,68.6589409548,62.133015482,59.3988113806,57.0052717003,56.0646860216,60.1490653749	3	exponential	0.08	88000,,
105026	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	209.775629207,182.938352932,159.401870131,141.068992741,129.047450519,121.706421748,110.888014768,101.474890347,91.2490151016,86.6416316524,84.45248819,80.1093399221,76.7132768781,67.0418435628,65.5034570772,63.2756988178,65.9163794058,65.2141957156,59.5140827597,65.5535517677	3	exponential	0.08	88000,,
107279	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	57.1480486311,31.8047482373,9.44772579198,-6.29008033815,-22.9163877029,-36.3429492333,-39.2270606605,-55.3094479782,-60.3250636704,-66.9893862246,-70.0000452815,-71.3880788104,-77.5964969747,-77.5974029864,-80.1132385038,-79.3588060698,-82.3419991216,-89.5074337532,-90.0360970301,-90.891648098	3	exponential	0.08	88000,,
104043	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	154.776349234,127.78809365,113.880704264,90.3724785504,79.8451785312,70.8393824381,56.5624750711,50.4614837321,40.6202595477,32.3856748568,27.9555384232,30.1988145562,23.0672118235,23.3586224795,15.3002643385,18.4613465326,16.3072647314,17.1327629903,7.96370240522,8.31851614097	3	exponential	0.08	88000,,
104876	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	69.4727253132,42.6319416219,19.5514717958,5.58845085993,-11.6520335039,-21.4236025958,-35.4006086547,-40.5232737748,-48.1456687866,-51.1586067676,-54.3022614459,-59.0981311464,-61.1320193881,-64.2481827139,-70.8248363945,-69.9213555017,-72.707540335,-77.6005536775,-79.6409435448,-79.7508274483	3	exponential	0.08	88000,,
107322	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	163.702839225,141.852335068,118.722399453,105.260343714,92.7382171716,79.2217937451,64.4230669072,62.3530496581,54.0596898515,46.2708666047,38.2450270371,36.2870873498,35.2321457075,30.7798475063,33.8076063039,26.9353165399,24.8449905995,26.9027340018,21.611685533,24.6499736278	3	exponential	0.08	88000,,
107324	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	37.6896359455,16.0908939079,-6.61661838257,-27.9312579285,-36.8441721977,-50.3063979057,-63.0462704825,-73.0112278229,-80.0151259398,-82.6017089337,-86.7367841445,-90.5413116562,-94.7628830709,-100.010190123,-101.939839076,-101.388355953,-108.375945733,-106.979390193,-110.237220782,-110.834653226	3	exponential	0.08	88000,,
105262	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	255.642735633,230.448993646,213.693503879,189.060888809,178.540806966,166.202014415,157.782218432,147.364806947,139.768592285,138.305031497,132.678444862,127.3605613,120.020335504,119.25058287,121.027342892,118.848440345,114.848710015,113.80688387,110.508208117,108.050241587	3	exponential	0.08	88000,,
