ID	X	Y	cluster	func	noise	original_trajectory,,
112724	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	233.397028959,217.455222459,191.527958837,169.6360887,164.958502051,149.232092498,141.841912646,129.277507316,118.554401353,109.281423817,113.354992655,102.381517649,106.774061657,104.422705967,93.6283833919,98.5065993685,98.409440829,90.7962045238,95.5410327394,84.7907859465	5	exponential	0.12	88000,,
114728	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	241.979709137,215.549946032,202.072383251,177.869975423,170.730316735,158.820172088,147.361898741,133.892573193,126.602606189,125.333447938,120.262062021,108.027080267,107.004971646,103.211028775,99.2378981195,99.8785064575,99.6507949992,101.063071084,102.238493755,99.2484847026	5	exponential	0.12	88000,,
114894	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	170.890324777,136.291164504,115.443738764,98.1347026435,92.102855146,81.4860574173,68.1748021419,61.5716597494,54.9507688099,45.8488053241,39.0703712079,35.4686956053,32.1054907115,31.9346170702,29.8567900152,29.1259691752,29.9267541998,16.9253951953,27.143032345,24.5840163474	5	exponential	0.12	88000,,
112399	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	24.9178345117,-1.89307510724,-21.1867252305,-35.1711361632,-50.466913902,-62.2987201867,-76.5501327656,-75.6794291734,-87.4967770508,-99.3556223725,-98.2735203939,-101.487534594,-108.385210683,-104.958332711,-112.67767795,-108.850755201,-110.518331319,-111.115902811,-122.48575362,-111.893735534	5	exponential	0.12	88000,,
112327	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	242.797160148,215.31401217,193.563523007,180.667013309,164.636733794,155.273055454,149.18862767,137.552745922,135.65052906,121.064237019,117.077387169,111.366358745,115.398339831,102.530394373,110.232584185,108.138494772,102.475598561,103.454228237,99.2713144066,103.978350074	5	exponential	0.12	88000,,
113168	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	135.007983517,98.1432076765,85.0769665727,63.954630224,47.9622688072,34.2986602809,26.6948091469,26.8276637157,11.953633414,12.320743023,6.40566923665,-5.83442901961,-0.708128919387,-1.96345374421,-12.3171895347,-13.3629504518,-17.1144869715,-18.723456271,-21.217645638,-21.770953657	5	exponential	0.12	88000,,
114627	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	104.106158507,88.5471519127,65.5541833167,38.843516959,28.8392412279,20.7994017454,7.43071093473,-2.54840502031,-1.33327767564,-18.4404731129,-15.0780479326,-16.7023632069,-20.361606176,-32.6154723941,-30.2727352204,-37.8162130172,-30.8065084104,-32.4742756229,-34.0792128509,-36.4917105818	5	exponential	0.12	88000,,
115748	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	63.8495068721,31.4229525524,14.6769590687,-0.359335750953,-23.5945958101,-25.8063999838,-37.3274318222,-54.0761480792,-61.9908878417,-65.0741400702,-71.482534565,-75.0442135602,-71.8868155658,-81.7820107817,-76.326438866,-85.3304290847,-85.2972087653,-79.9848024252,-85.6669428912,-88.9687160214	5	exponential	0.12	88000,,
112147	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	82.2006455587,56.101283992,39.0609187974,19.4321459718,5.52054531363,-2.35007509766,-10.9754278,-15.3027330573,-24.1339443147,-39.0294230733,-44.0465484001,-40.9613930413,-49.2250167009,-49.8507911747,-47.5694880407,-50.8871328461,-56.4012151542,-56.8817076282,-57.9978127691,-59.5646114146	5	exponential	0.12	88000,,
114903	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	42.9182369366,17.8061574124,-10.904978375,-28.6990101658,-39.5334920742,-52.3029649493,-55.0343171301,-68.8093107853,-78.8627750044,-80.9628492963,-87.4738244328,-85.6983659261,-93.683292795,-99.9200293823,-97.9630305919,-104.386127125,-98.3983753327,-98.7226451453,-101.613990033,-109.146809711	5	exponential	0.12	88000,,
113184	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	50.1752861866,19.4935435927,-0.764766634713,-11.4598103031,-28.8169096874,-45.7010349013,-53.687918131,-59.1984966485,-66.1650032809,-72.1388594862,-78.1995884158,-81.029583798,-87.7329771018,-81.4794004885,-83.1201974508,-88.5399451991,-88.9294144348,-95.0521209358,-93.8185712374,-89.6527053635	5	exponential	0.12	88000,,
114242	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	182.121941127,155.439009797,144.140614708,125.369512091,105.247968578,95.8940052287,78.7027480614,74.9089997881,64.0841699861,63.8571372123,55.2693574226,59.4852701584,55.7237782465,44.4375970411,41.8906232927,49.1069447237,37.8255798433,44.9409119697,37.3681486066,42.9120933073	5	exponential	0.12	88000,,
112545	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	255.543384997,236.064504727,206.094274349,195.894705595,184.516594179,163.584557891,159.175806686,153.380632251,146.010865945,132.104850031,130.427410935,133.35726573,119.622388598,122.187659405,125.296030081,122.177626726,118.153367695,112.04142862,110.060687148,115.691956844	5	exponential	0.12	88000,,
113314	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	126.323160237,101.067654369,91.2498943075,73.5256552949,57.976652555,41.4775265429,37.0261839602,21.0107625469,12.596162944,5.267688941,4.24529233167,7.9829337501,-2.43165408722,-5.21749862466,-2.03683774708,-7.3970696729,-8.42625598965,-14.6655481952,-12.6225754711,-11.0880328963	5	exponential	0.12	88000,,
112485	0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0	122.713875465,101.401113739,80.6747740687,56.9810598419,48.9053913963,26.7680410972,20.5130676989,14.627116155,11.1179634506,4.33136279887,-6.01322811438,-10.7522916084,-5.00639687022,-14.5838642352,-18.0309504539,-13.9328104905,-18.8413370197,-26.9776956976,-17.4305924075,-19.7025828816	5	exponential	0.12	88000,,
